Catalan	Western Lombard	probability
d	d	1.0
f	f	1.0
j	-	1.0
p	p	1.0
r	r	1.0
z	-	1.0
ŋ	-	1.0
ɣ	ɡ	1.0
ʃ	s	1.0
ʤ	d	1.0
b	b	0.311
s	ʃ	0.051
u	o	0.051
ð	d	0.801
ɾ	e_r	0.11
ʎ	l	0.851
n	t	0.192
s	ʧ	0.2
w	f	0.212
ˈa	ˈaː	0.092
ˈɛ	ˈɔ	0.062
ˈɛ	ˈɛ	0.522
β	ʋ	0.802
k	-	0.053
n	-	0.093
ɡ	ɡ	0.753
ʒ	ʤ	0.813
ˈe	ˈa	0.123
ˈe	ˈẽː	0.123
ˈo	ˈu	0.543
ˈu	ˈø	0.143
ˈɔ	ˈu	0.103
ˈɔ	ˈɔ	0.653
i	i	0.244
m	-	0.164
s	ʦ	0.084
t	ʧ	0.194
w	w	0.214
ə	e	0.074
ə	a	0.584
ˈa	ˈãː	0.144
ˈo	ˈũː	0.224
ˈɛ	ˈe	0.204
l	-	0.095
u	e	0.065
ɾ	r	0.815
ˈi	ˈɛ	0.065
ˈi	ˈi	0.605
ˈo	ˈy	0.145
ˈu	ˈũː	0.085
ˈu	ˈyː	0.085
ˈɔ	ˈøː	0.105
ˈɛ	ˈeː	0.075
i	ĩ	0.756
m	m	0.836
w	-	0.526
ˈɔ	ˈũː	0.066
k	k	0.947
l	l	0.677
t	t	0.777
u	u	0.857
ɡ	-	0.247
ʒ	-	0.187
s	s	0.618
ɲ	n	0.158
ʎ	-	0.118
ˈa	ˈa	0.738
ˈe	ˈɛ̃ː	0.058
ˈe	ˈɛ	0.288
ˈe	ˈe	0.408
ˈo	ˈyː	0.088
ˈu	ˈy	0.558
β	b	0.198
b	ʋ	0.669
l	j	0.189
n	n	0.679
ð	-	0.199
ə	-	0.199
ɲ	ɲ	0.809
ˈi	ˈĩː	0.29
ˈu	ˈu	0.099
