Scots	Middle High German	probability
ˈɛː	ˈɛ_ɡ	1.0
ˈɔɪ̯	ˈɛ_r	1.0
ˈuː	ˈuː	1.0
ˈu_m	mː	1.0
ˈoː	-	1.0
ˈiː_r	r_ə	1.0
ˈeː_r	ˈɑ_r	1.0
ˈaːɪ̯	ˈy_n	1.0
ˈaː	ˈi_x	1.0
ʧ_ˈiː	ˈæː	1.0
ʤ	kː_ə	1.0
ʍ	w	1.0
ɛ	ə	1.0
ŋ	ŋ	1.0
ç	x	1.0
z	s_ə	1.0
w_ˈa	w	1.0
w	w	1.0
tʰ	ʦ	1.0
s_ˈɪ	s_ˈu	1.0
s_l	ʃ_l	1.0
r_ˈɛ	r	1.0
r_ˈiː	r	1.0
r_ˈi	r	1.0
r_ˈaɪ̯	rː	1.0
r_n	r_n	1.0
pʰ	p͡f	1.0
m	m	1.0
kʰ	kʰ	1.0
h	h	1.0
f	v	1.0
e	ə_ɡ̊	1.0
b	b	1.0
r	r	0.97
l	l	0.934
n	n	0.915
ˈo	ˈo	0.823
s	s	0.772
ˈa	ˈɑ	0.766
p	f	0.737
ʃ	ʃ	0.716
ˈɑː	ˈɑ	0.702
ə	ə	0.679
θ	d	0.654
ˈəi̯	ˈiː	0.648
ˈu	ˈuː	0.637
v	f	0.606
ð	d	0.597
ˈeː	ˈɑ	0.593
x	ɡ̊	0.588
d	t	0.58
ˈe	ˈei̯	0.579
ˈʌ	ˈu	0.562
j	ɡ	0.55
ˈø	ˈuə̯	0.546
ˈɪ	ˈi	0.523
ˈʌu̯	ˈo_l	0.5
ˈʌu̯	-	0.5
j	j	0.45
k	x	0.429
x	x	0.412
ˈɛ	ˈɛ	0.411
ˈiː	ˈiə̯	0.409
i	-	0.407
ð	t	0.403
v	-	0.394
i	ɛ	0.389
t	s̻	0.37
ˈu	-	0.363
θ	d̥	0.346
ˈe	ˈɑ	0.339
ˈɛ	ˈe	0.324
t	t	0.311
ʃ	ʃː	0.284
ˈø	-	0.272
ˈʌ	ˈɛ	0.259
k	xː	0.251
ˈi	ˈyə̯	0.245
ˈəi̯	ˈyː	0.234
ˈa	ˈɛ	0.234
d	d̥	0.224
ˈeː	-	0.222
ˈi	-	0.205
i	i	0.204
s	ʃ	0.186
ˈeː	ˈɑː	0.185
ˈɛ	ˈɑ	0.182
ˈø	ˈɑ_n	0.182
ˈɑː	ˈɑ_l	0.18
ˈʌ	-	0.179
k	k	0.179
ˈiː	ˈiə̯_ɡ	0.178
ˈo	-	0.177
ˈi	ˈɑː	0.168
ˈiː	ˈi_r	0.167
ə	-	0.165
p	p͡f	0.161
d	d_ə	0.16
ˈi	ˈiə̯	0.157
k	kː	0.141
ˈiː	ɑː	0.128
ˈiː	ə	0.119
ˈəi̯	-	0.118
ˈɑː	ˈeː	0.118
ˈi	ˈou̯	0.116
ˈɪ	ˈɛ	0.109
p	fː	0.102
ə	ɡ_ə	0.089
ˈɪ	ˈy	0.087
t	ʦ	0.085
n	nː	0.085
ˈɛ	ˈei̯	0.083
ˈe	ˈoː	0.082
ˈi	ˈoː	0.073
ə	t_ə	0.068
ˈɪ	ˈo	0.066
l	l_ə	0.066
t	ʦː	0.058
t	s̻ː_ə	0.058
t	s̻ː	0.05
