Ladin	Megleno-Romanian	probability
b	b	1.0
p	p	1.0
ɲ	m	1.0
a	-	0.151
d	-	0.061
n	n_i	0.091
r	r_i	0.091
ʃ	s	0.891
ʦ	u_#>	0.051
ˈi	ˈi	0.801
d	t	0.312
d	d	0.462
n	n	0.872
s	s	0.942
t	t	0.582
v	v	0.522
ʒ	ʒ	0.142
ʦ	i_#>	0.172
ˈo	-	0.262
ˈo	ˈu	0.692
ˈɔ	ˈu	0.272
ˈɔ	ˈo	0.592
a	ə	0.763
e	i	0.333
m	m	0.963
w	-	0.083
w	l	0.183
ɡ	k	0.103
ˈe	i	0.073
ˈu	<#_j	0.393
ˈɛ	-	0.073
f	p	0.144
j	j	0.164
l	ʎ	0.234
r	r	0.844
v	-	0.224
v	p	0.254
w	w	0.24
w	o̯ˈa	0.494
ˈa	ˈɔ	0.314
ˈe	e̯ˈa	0.434
ˈɛ	ˈi	0.204
d	k	0.165
r	r_u	0.065
ʨ	ʦ	0.35
ʨ	k	0.65
ˈɛ	ˈa	0.385
ʦ	ʦ	0.756
ˈe	ˈu	0.106
ˈe	ˈe	0.216
ˈɔ	w_ˈo	0.136
ˈɛ	ˈe	0.196
e	ə	0.37
f	-	0.057
ɡ	ɡ	0.897
ˈa	ˈa	0.527
ˈe	ˈi	0.17
ˈu	ˈu	0.607
ˈɛ	ˈa_t	0.057
ˈɛ	ə	0.057
e	u	0.178
j	-	0.798
l	-	0.068
s	ʃ	0.058
ʒ	z	0.858
e	-	0.119
f	f	0.799
k	k	0.979
l	r	0.19
l	l	0.459
t	p_t	0.349
ʃ	-	0.109
ˈa	ˈɔ_j	0.159
ˈi	ˈi_ʎ	0.199
