Bulgarian	Upper Sorbian	probability
b	b	1.0
f	β	1.0
i	ˈi	1.0
j	ʧ	1.0
l	l	1.0
lʲ	l	1.0
mʲ	mʲ	1.0
s	s	1.0
vʲ	ɥ	1.0
z	z	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈu	ˈu	1.0
k	k	0.781
m	m	0.651
n	ɲ	0.231
p	p	0.821
t	ʧ	0.351
v	β	0.441
ɛ	-	0.081
ˈɔ	ˈɔ	0.271
d	ʤ	0.192
ɫ	l	0.2
ʦ	<#_j	0.062
ʦ	ʦ	0.612
ˈa	ˈe	0.282
ˈɛ	-	0.072
ˈɛ	ˈe	0.192
ˈɤ	ˈe	0.292
d	d	0.753
k	-	0.133
ɐ	-	0.503
ɛ	ɛ	0.183
ˈɛ	e	0.113
o	ˈɔ	0.514
x	xʲ	0.144
ˈa	ˈɔ	0.054
ˈɛ	ˈɔ	0.074
ˈɤ	ˈu	0.064
d	t	0.055
r	-	0.065
ɛ	ˈa	0.085
ɛ	ˈɔ	0.255
ɫ	w	0.765
ˈi	ˈɪ	0.525
ˈɛ	ɔ	0.145
k	x	0.086
o	ɔ	0.486
r	ʀʲ	0.296
x	x	0.856
ɛ	ɔ	0.06
ˈi	ˈi	0.406
n	n	0.47
ɐ	a	0.497
ɛ	ˈɛ	0.267
ʦ	k	0.257
ˈi	i	0.07
ˈɛ	ˈɛ	0.17
ˈɛ	ɛ	0.217
ˈɤ	ˈɔ	0.337
r	ʀ	0.638
ˈa	ˈo	0.078
ˈa	a	0.348
ˈɤ	-	0.18
m	mʲ	0.349
n	n_ɪ	0.299
p	pʲ	0.179
t	t	0.649
v	ɥ	0.559
ɛ	ˈe	0.069
ɡ	ɦ	0.949
ʦ	<#_β	0.069
ˈa	ˈa	0.239
ˈɔ	ɔ	0.309
ˈɔ	ˈo	0.419
