Proto-Germanic	Luxembourgish	probability
b	b	0.99
d	d	0.545
d	t	0.275
d	-	0.18
e	ɐ	0.941
e	e	0.059
i	-	0.856
i	ə	0.102
iː	-	1.0
j	-	0.805
j	ʀ	0.059
jː	ˈeː	1.0
k	-	0.349
k	kʰ	0.324
k	χ	0.131
k	ɕ	0.127
k	k	0.068
kʷ	kʰ	0.807
kʷ	f	0.193
kː	k	1.0
l	l	0.96
lː	l	1.0
m	m	0.945
m	-	0.055
mː	m	1.0
n	n	0.863
n	-	0.123
nː	n	1.0
p	f	0.926
p	p	0.074
pː	p	1.0
r	ʀ	0.576
r	ɐ	0.308
r	-	0.115
s	ʃ	0.466
s	z	0.319
s	s	0.167
t	s	0.33
t	ʦ	0.327
t	t	0.298
u	-	0.561
u	ə	0.404
w	v	0.416
w	-	0.305
w	w	0.225
wː	ˈɑɪ̯	1.0
x	h	0.668
x	ɕ	0.167
x	-	0.079
xʷ	-	0.551
xʷ	v	0.375
xʷ	f	0.073
z	-	0.99
ð	t	0.749
ð	-	0.148
ð	d	0.103
ŋ	ŋ	0.818
ŋ	e	0.145
ɑ	-	0.611
ɑ	ə	0.389
ɑi̯	ˈɑ	1.0
ɑː	ə	1.0
ɑ̃	-	0.971
ɔː	ɐ	0.762
ɔː	-	0.164
ɔː	ə	0.074
ɔːu̯	-	1.0
ɔːː	ɐ	0.756
ɔːː	-	0.244
ɛː	ɐ	1.0
ɡ	-	0.54
ɡ	k	0.386
ɡ	ɕ	0.074
ɡʷ	-	1.0
ɣ	ɡ	0.422
ɣ	k	0.213
ɣ	-	0.204
ɣ	ɕ	0.123
ɸ	f	0.994
ˈe	ˈɛː	0.246
ˈe	ˈə	0.156
ˈe	ˈiː	0.155
ˈe	ˈiə̯	0.08
ˈeu̯	ˈɜɪ̯	0.688
ˈeu̯	ˈiː	0.124
ˈeu̯	ˈi	0.094
ˈeu̯	ˈo	0.094
ˈeː	ˈɑɪ̯	1.0
ˈi	ˈɑ	0.431
ˈi	ˈə	0.226
ˈi	ˈe	0.141
ˈi	ˈæːɪ̯	0.069
ˈi	ˈɑɪ̯	0.055
ˈiu̯	ˈɑɪ̯	0.854
ˈiu̯	ˈæːɪ̯	0.146
ˈiː	ˈæːɪ̯	0.591
ˈiː	ˈæɪ̯	0.192
ˈiː	ˈɑɪ̯	0.164
ˈiː	ɐ	0.053
ˈĩː	ˈiː	1.0
ˈu	ˈo	0.204
ˈu	ˈə	0.128
ˈu	ˈɔ	0.118
ˈu	ˈuː	0.107
ˈu	ˈaː	0.087
ˈu	ˈi	0.063
ˈu	ˈiː	0.06
ˈu	ˈʊ	0.059
ˈu	ˈu	0.052
ˈuː	ˈæːʊ̯	0.651
ˈuː	ɐ	0.157
ˈuː	ˈɑɪ̯	0.065
ˈuː	ˈəʊ̯	0.065
ˈuː	ˈu	0.062
ˈɑ	ˈaː	0.431
ˈɑ	ˈɑ	0.241
ˈɑ	ˈæ	0.068
ˈɑ	ˈoː	0.054
ˈɑ	ˈuə̯	0.051
ˈɑi̯	ˈeː	0.747
ˈɑi̯	ˈɜɪ̯	0.167
ˈɑi̯	ˈɛ	0.055
ˈɑu̯	ˈaː	0.333
ˈɑu̯	ˈəʊ̯	0.331
ˈɑu̯	ˈɜɪ̯	0.228
ˈɑu̯	ˈeː	0.08
ˈɑː	ˈoː	1.0
ˈɔ	ˈi	1.0
ˈɔː	ˈu	0.356
ˈɔː	ˈʊ	0.179
ˈɔː	ˈɜɪ̯	0.152
ˈɔː	ˈe	0.135
ˈɔː	ˈəʊ̯	0.068
ˈɔː	ˈɑɪ̯	0.056
ˈɔː	ˈi	0.054
ˈɛː	ˈəʊ̯	0.441
ˈɛː	ˈoː	0.41
ˈɛː	ˈɑ	0.116
β	v	0.554
β	f	0.237
β	-	0.124
β	ə_f	0.071
θ	d	0.721
θ	t	0.2
θ	-	0.079
