Eastphalian	West Flemish	probability
#>	#>	0.903
#>	ə_#>	0.071
<#	<#	1.0
<#_h	<#	1.0
b	b	0.938
b	p	0.066
d	d	0.524
d	t	0.472
f	v	0.876
f	f	0.12
h	z	1.0
j	ɦ	0.745
j	j	0.252
k	k	0.949
k	ɦ	0.056
l	l	0.924
l	w	0.056
m	m	0.816
m	v_n	0.1
m	n	0.057
n	n	0.889
n	-	0.061
p	p	1.0
r	ɾ	1.0
s	s	0.78
s	z	0.212
t	t	0.922
t	-	0.051
v	ʋ	0.808
v	v	0.19
w	ʋ	0.776
w	ˈœ	0.179
x	h	1.0
z	z	0.774
z	s	0.219
ç	h	0.631
ç	-	0.203
ç	ç	0.137
ŋ	ŋ	0.926
ŋ	n	0.074
ɐ	ɾ	1.0
ə	ə	0.912
ə	-	0.083
ə_#>	#>	1.0
ɡ	ɦ	1.0
ɣ	ɦ	0.915
ɣ	h	0.083
ɪ	ə	0.594
ɪ	m	0.392
ʃ	s	0.564
ʃ	ʃ	0.428
ˈa	ˈɑ	0.766
ˈa	ˈæ	0.125
ˈa	ˈɒː	0.055
ˈa	ˈɔ	0.054
ˈaʊ̯	ˈuə̯	0.944
ˈaʊ̯	ˈɑ	0.06
ˈaː	ˈɑ	0.758
ˈaː	ˈɒː	0.19
ˈeo̯	ˈoː	1.0
ˈeː	ˈeː	0.649
ˈeː	ˈæ	0.136
ˈeː	ˈɛː	0.096
ˈeː	ˈiə̯	0.071
ˈiː	ˈi	0.722
ˈiː	ˈyː	0.105
ˈiː	ə	0.085
ˈiː	ˈœ	0.085
ˈoː	ˈoː	0.752
ˈoː	ˈøː	0.178
ˈuː	ˈyː	0.647
ˈuː	ˈu	0.224
ˈuː	ˈøː	0.084
ˈyː	ˈiə̯	1.0
ˈøː	ˈoː	1.0
ˈœ	ˈæ	0.5
ˈœ	ˈɔ	0.5
ˈɒː	ˈɒː	1.0
ˈɔ	ˈɔ	0.856
ˈɔ	ˈɛː	0.143
ˈɔ_l	ˈu	1.0
ˈɔʏ̯	ˈuə̯	0.734
ˈɔʏ̯	ˈoː	0.257
ˈɛ	ˈæ	0.326
ˈɛ	ˈɛ	0.277
ˈɛ	ˈeː	0.12
ˈɛ	-	0.113
ˈɛ	ə	0.113
ˈɛə̯	ˈɒː	1.0
ˈɛɪ̯	ˈiə̯	0.5
ˈɛɪ̯	ˈɛː	0.407
ˈɛɪ̯	ˈeː	0.057
ˈɛː	ˈeː	0.374
ˈɛː	ˈæ	0.169
ˈɛː	ˈøː	0.169
ˈɛː	ˈɑ	0.119
ˈɛː	ˈɒː	0.119
ˈɪ	ˈɪ	0.48
ˈɪ	ˈɛ	0.241
ˈɪ	ˈiə̯	0.081
ˈɪ	ˈæ	0.072
ˈɪ	ˈœ	0.063
ˈɪ	-	0.055
ˈʊ	ˈu	0.491
ˈʊ	ˈœ	0.293
ˈʊ	ˈuə̯	0.162
ˈʏ	ˈiə̯	0.28
ˈʏ	ˈœ	0.28
ˈʏ	ˈyː	0.179
ˈʏ	ˈɪ	0.179
