Alsatian	Swedish	probability
e	m	1.0
eː	ɔ	1.0
ˈai̯	ˈœ	1.0
ˈø	ˈoː	1.0
ˈøi̯	ˈʉː	1.0
ˈøː	ˈuː	1.0
ˈœ	ˈøː	1.0
ˈɔi̯	a	1.0
h	-	0.091
j	-	0.331
m	-	0.141
n	ʊ	0.101
v	jː	0.261
v	-	0.261
x	kː	0.111
x	ɡ	0.111
ʃ	kː	0.051
ʃ	-	0.161
ʋ	-	0.241
ʦ	-	0.051
ʦ	tʰ	0.581
ˈe	ˈɵ	0.171
ˈei̯	ˈeː	0.401
ˈeː	ˈoː	0.141
ˈiː	ˈœ	0.061
ˈəi̯	ˈoː	0.121
ˈəi̯	ˈɛ	0.121
f	p	0.142
i	ɪ	0.182
m	m	0.602
p͡f	p	0.782
s	sː	0.072
s	t	0.282
ə	ɛ	0.302
ə	a	0.52
ʃ	k	0.282
ˈeː	ˈøː	0.252
ˈiː	ˈyː	0.42
ˈo	ˈɵ	0.252
ˈyː	ˈʉː	0.752
ˈæ	ˈɛ	0.472
ˈɒ	ˈoː	0.132
ˈɒ	ˈa	0.572
b̥	v	0.133
d̥	-	0.13
j	ɡː	0.153
k	k	0.143
k	ɡː	0.43
n	-	0.113
n	nː	0.153
n	n	0.633
t	-	0.113
ʦ	tː	0.143
ˈe	ˈɛː	0.063
ˈeː	ˈœː	0.103
ˈeː	ˈæː	0.103
ˈi	ˈɪ	0.533
ˈoː	ˈɔ	0.053
ˈu	ˈʏ	0.103
ˈæː	j	0.093
ˈæː	ˈʉː	0.173
ˈɛ	ˈɛ	0.713
ˈʊː	ˈɛː	0.103
ˈʊː	ˈuː	0.463
f	f	0.624
i	ɵ	0.114
i	j	0.114
l	l	0.814
v	v	0.154
x	-	0.204
x	tː	0.574
ʦ	ɕ	0.054
ˈei̯	ˈyː	0.204
ˈeː	ˈiː	0.344
ˈi	ˈiː	0.144
ˈæ	ˈeː	0.234
ˈæ	ˈɛː	0.294
ˈɒː	ˈɛː	0.194
f	pː	0.085
i	ŋ	0.115
kʰ	kʰ	0.765
s	ɧ	0.065
v	ɡ	0.325
ɡ̊	j	0.115
ʁ	r	0.785
ʦ	t	0.085
ʦ	ʈː	0.085
ˈe	ˈɛ	0.375
ˈu	ˈœ	0.065
ˈɒː	ˈɑː	0.325
b̥	b	0.846
d̥	d	0.556
s	s	0.496
w	v	0.156
w	-	0.566
ŋ	ŋ	0.06
ʁ	-	0.146
ˈei̯	ˈɛ	0.216
ˈu	ˈoː	0.056
ˈu	ˈʊ	0.246
ˈʊː	ˈœ	0.066
d̥	tʰ	0.277
f	v	0.127
i	-	0.417
k	rː	0.157
m	mː	0.257
ɡ̊	ɡ	0.807
ʁ	ɳ	0.057
ʃ	ɧ	0.137
ʃ	s	0.357
ˈaː	ˈʉː	0.317
ˈaː	ˈɑː	0.327
ˈaː	ˈɛ	0.357
ˈe	ˈæː	0.097
ˈiː	ˈøː	0.077
ˈiː	ˈiː	0.237
ˈoː	ˈøː	0.187
ˈu	ˈɵ	0.257
ˈæː	ˈeː	0.527
ˈɒ	ˈʉː	0.087
ˈɒː	ˈa	0.447
ˈɛ	ˈɛː	0.287
j	ŋ	0.088
p͡f	v	0.218
ə	-	0.178
ʋ	v	0.738
ˈe	ˈœː	0.168
ˈeː	ˈɛ	0.058
ˈi	ˈœ	0.068
ˈiː	ˈɪ	0.068
ˈiː	ˈʉː	0.088
ˈu	ˈɔ	0.238
ˈyː	ˈɵ	0.248
ˈæː	ˈɛ	0.208
ˈəi̯	ˈɛː	0.108
ˈʊː	ˈøː	0.188
h	h	0.909
i	ɛ	0.059
j	ɡ	0.429
k	kː	0.269
kʰ	ɕ	0.209
s	tː	0.069
t	t	0.089
t	d	0.669
w	ˈʏ	0.279
ŋ	ŋː	0.89
ɡ̊	kʰ	0.079
ˈei̯	ˈɛː	0.179
ˈi	ˈɵ	0.089
ˈi	ˈɛ	0.119
ˈo	ˈʉː	0.109
ˈo	ˈuː	0.639
ˈoː	ˈoː	0.729
ˈɒ	ˈɑː	0.139
ˈəi̯	ˈeː	0.649
ˈʊː	ˈʊ	0.179
