Alsatian	Swedish	probability
b̥	b	0.78
b̥	v	0.119
b̥	b_j	0.083
d̥	d	0.626
d̥	tʰ	0.16
d̥	-	0.147
d̥	t	0.042
d̥	j	0.035
e	m	0.473
f	f	0.692
f	v	0.129
f	-	0.074
f	p	0.059
f	pː	0.045
h	h	1.0
i	ɛ	0.211
i	ŋ	0.211
i	-	0.132
i	ɪ	0.132
i	j	0.086
i_ʃ	k	1.0
j	ɡ	0.456
j	-	0.397
j	ŋ	0.062
k	ɡː	0.519
k	rː	0.203
k	k	0.133
k	kː	0.079
kʰ	kʰ	0.811
kʰ	ɕ	0.152
kʰ	-	0.035
l	l	0.672
l	lː	0.142
l	ɛ_l	0.06
l	-	0.04
l	nː	0.036
m	m	0.807
m	mː	0.141
m	-	0.044
n	n	0.614
n	-	0.217
n	nː	0.086
n	ʊ	0.075
n_d̥	nː	1.0
p͡f	p	0.106
p͡f	v	0.05
s	s	0.489
s	t	0.271
s	sː	0.089
s	ɧ	0.072
s	tː	0.061
t	d	0.513
t	-	0.28
t	t	0.132
t	tʰ	0.039
t	tː	0.036
v	jː	0.37
v	v	0.175
v	-	0.103
v	ɡ	0.103
w	-	0.245
w	v	0.245
w	ˈʏ	0.116
x	ɡ	0.66
x	-	0.148
x_t	tː	1.0
ŋ	ŋː	0.75
ŋ	ŋ	0.117
ŋ	-	0.077
ə	a	0.586
ə	-	0.216
ə	ɛ	0.13
ə	e	0.036
ə	ˈeː	0.031
ə_ʁ	ɛ	1.0
ɡ̊	ɡ	0.674
ɡ̊	j	0.204
ɡ̊	kʰ	0.117
ʁ	r	0.841
ʁ	-	0.113
ʁ	ɖ	0.027
ʁ	ɳ	0.026
ʁ_n	ɳ	1.0
ʃ	s	0.617
ʃ	-	0.145
ʃ	ɧ	0.116
ʃ	k	0.093
ʋ	v	0.654
ʋ	-	0.241
ʋ	a	0.084
ʋ_ˈo	ˈɵ	1.0
ʦ	tʰ	0.502
ʦ	tː	0.129
ʦ	ʈː	0.09
ʦ	-	0.09
ʦ	ɕ	0.09
ˈai̯	ˈœ	0.473
ˈaː	ˈɛ	0.66
ˈaː	ˈɑː	0.148
ˈe	ˈɛ	0.433
ˈe	ˈɛː	0.129
ˈe	ˈɵ	0.129
ˈe	ˈɪ	0.129
ˈe	ˈæː	0.09
ˈei̯	ˈɛː	0.45
ˈei̯	ˈyː	0.213
ˈei̯	ˈeː	0.116
ˈeː	ˈiː	0.351
ˈeː	ˈœː	0.232
ˈeː	ˈøː	0.219
ˈeː	ˈɛ	0.058
ˈi	ˈɪ	0.37
ˈi	ˈɛ	0.199
ˈi	ˈɵ	0.118
ˈi	ˈœ	0.068
ˈi	ˈʏ	0.063
ˈiː	ˈiː	0.37
ˈiː	ˈyː	0.211
ˈiː	ˈøː	0.144
ˈiː	ˈʉː	0.115
ˈiː	ˈʏ	0.072
ˈo	ˈuː	0.437
ˈo	ˈɵ	0.372
ˈo	ˈʉː	0.139
ˈoː	ˈoː	0.498
ˈoː	ˈøː	0.366
ˈoː	ˈœː	0.071
ˈoː	ˈɔ	0.052
ˈu	ˈʊ	0.254
ˈu	ˈʏ	0.199
ˈu	ˈɔ	0.199
ˈu	ˈœ	0.115
ˈu	ˈɵ	0.108
ˈyː	ˈʉː	0.813
ˈyː	ˈɵ	0.139
ˈæ	ˈɛː	0.422
ˈæ	ˈeː	0.422
ˈæ	ˈɛ	0.094
ˈæː	ˈeː	0.361
ˈæː	ˈʉː	0.213
ˈæː	ˈøː	0.116
ˈæː	ˈɛ	0.068
ˈø	ˈoː	1.0
ˈøi̯	ˈʉː	1.0
ˈøː	ˈuː	1.0
ˈœ	ˈøː	1.0
ˈɒ	ˈa	0.613
ˈɒ	ˈɑː	0.142
ˈɒ	ˈoː	0.084
ˈɒ	ˈʉː	0.048
ˈɒ	ˈɔ	0.047
ˈɒː	ˈa	0.456
ˈɒː	ˈɑː	0.194
ˈɒː	ˈɛː	0.125
ˈɒː	ˈoː	0.097
ˈəi̯	ˈeː	0.779
ˈəi̯	ˈɛː	0.125
ˈəi̯	ˈoː	0.049
ˈɛ	ˈɛ	0.359
ˈɛ	ˈɛː	0.17
ˈʊː	ˈuː	0.664
ˈʊː	ˈøː	0.154
ˈʊː	ˈʊ	0.091
ˈʊː	ˈœ	0.061
