Asturian	Asturian	probability
β_ɾ	β	1.0
β_e	i	1.0
ˈu	ˈu	1.0
ˈe_ʝ	ɣ	1.0
ˈe_ɾ	i	1.0
ˈe_u	ɣ_u	1.0
ˈe_n	ˈɛ_n	1.0
ˈe_j	ˈɛ	1.0
ˈe_#>	i_#>	1.0
ˈa_ɾ	ˈa_i	1.0
ʧ	t	1.0
ʃ	ʃ	1.0
ɾ_u	u	1.0
ɾ_n	r	1.0
ɾ_a	ɾ_a	1.0
ɡ	ɡ	1.0
t_e	t_i	1.0
r	r	1.0
p	p	1.0
o_ɾ	o	1.0
m	m	1.0
f	f	1.0
e_s	s	1.0
d	d	1.0
b	b	1.0
<#_θ	<#_ʧ	1.0
<#_ʃ	<#_ʤ	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_e	<#	1.0
<#_a	<#_ˈa	1.0
ˈa	ˈa	0.95
k	k	0.925
u	u	0.922
n	n	0.903
a	a	0.865
β	-	0.824
ɣ	ɣ	0.818
ˈi	ˈi	0.808
ɾ	ɾ	0.754
j_ˈe	ˈɛ	0.722
#>	i_#>	0.721
ð	ð	0.714
t	t	0.704
i	i	0.667
<#	<#_a	0.636
ʎ	l	0.633
l	l	0.619
ŋ	n_i	0.615
θ	ʒ	0.571
ɲ	n_ʤ	0.571
e	i	0.559
w_ˈe	ˈo	0.556
ʝ	-	0.545
s	s	0.483
s	z	0.448
w_ˈe	ˈɔ	0.444
j	ɾ	0.444
ˈe	ˈi	0.405
ŋ	ŋ	0.385
ˈo	ˈɔ	0.342
ˈo	ˈu	0.342
w	w	0.333
j	-	0.333
i	-	0.333
θ	-	0.286
ɲ	nː	0.286
ð	-	0.286
o	ɔ	0.286
j_ˈe	ˈe	0.278
ʝ	ɭː	0.273
w	ˈɔ	0.25
w	ˈu	0.25
j	ˈɛ	0.222
ˈo	ˈo	0.211
e	-	0.206
ˈe	ˈe	0.19
o	u	0.19
o	-	0.19
ʝ	ɣ	0.182
ɣ	-	0.182
<#	<#_s	0.182
<#	<#_k	0.182
β	β	0.176
ˈe	ˈɛ	0.167
ʎ	ɾ	0.167
w	ˈo	0.167
t	t_ɛ	0.148
t	-	0.148
e	a	0.147
θ	k	0.143
ɲ	ɲ	0.143
o	o	0.143
l	i	0.143
l	-	0.143
#>	u_#>	0.14
ʎ	ɖː	0.133
ˈe	i	0.119
ˈi	ˈi_ɭː	0.115
a	-	0.108
ˈo	ˈa	0.105
n	nː	0.097
o	ˈɔ	0.095
o	ˈo	0.095
l	ɖː_i	0.095
e	i_n	0.088
ɾ	i	0.082
ˈi	-	0.077
k	-	0.075
ˈe	-	0.071
#>	ɔ̆_#>	0.07
#>	z_ŭ_#>	0.07
s	z_ĭ	0.069
ʎ	u	0.067
ɾ	-	0.066
