Gothic	Gothic	probability
θ_iː	d̥	1.0
ˈɛː_w	ˈeː	1.0
ˈɛ	ˈɛ	1.0
ˈɔː_n	ˈẽː	1.0
ˈuː	ˈau̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯_ɣ	ˈi	1.0
ˈi_ɡ	ˈɛː	1.0
ˈa_d	ˈɑːɪ̯	1.0
ʍ	β	1.0
ɣ	-	1.0
ɡʷː	ˈaɪ̯	1.0
ɡʷ	-	1.0
ɡ_l	x_l	1.0
ɡ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ð	r	1.0
z	-	1.0
x_s	ʃ	1.0
t_s	s	1.0
s_w	ʃ_β	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_n	ɐ_n	1.0
p	f	1.0
nː	n	1.0
n_θ	n	1.0
n_u	ˈõː	1.0
n_s	ə	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʷ	-	1.0
j_a	ə	1.0
j	-	1.0
iː_#>	#>	1.0
i	-	1.0
h_t	x_d̥	1.0
f_s	b̥	1.0
f_#>	f_#>	1.0
f	f	1.0
e	b̥_l	1.0
d	d̥	1.0
b	b̥	1.0
aː	-	1.0
a_r	ɐ	1.0
a_#>	#>	1.0
<#_θ	<#_d̥	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_t	<#_ʣ̥	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
<#_h	<#	1.0
<#_d	<#_d̥	1.0
oː	-	0.909
w	β	0.867
θ	d̥	0.846
a	ə	0.8
n	n	0.786
ˈoː	ˈuː	0.778
u	-	0.778
ˈiu̯	ˈiː	0.75
ˈi	ˈɪ	0.724
ˈɔ	ˈɔ	0.714
h	h	0.7
r	ɐ	0.64
ˈa	ˈɑ	0.621
β	β	0.6
k	ʃ	0.6
ˈeː	ˈoː	0.571
ˈɔː	ˈoː	0.556
s	s	0.556
ŋ	ŋ	0.5
ŋ	n	0.5
t	s	0.467
s	ʃ	0.444
ˈu	ˈu	0.438
β	-	0.4
ˈɛː	ˈɛː	0.4
ˈɛː	-	0.4
ˈu	ˈɔ	0.375
r	r	0.36
t	ʣ̥	0.333
ˈɔ	-	0.286
ˈeː	-	0.286
ˈiu̯	-	0.25
ˈɔː	ˈɑː	0.222
ˈɔː	-	0.222
ˈoː	-	0.222
u	ɪ	0.222
ˈa	ˈɛ	0.207
ˈɛː	ˈeː	0.2
t	d̥	0.2
k	ɡ̊	0.2
k	-	0.2
h	-	0.2
ˈu	-	0.188
ˈa	ˈɑː	0.172
θ	r	0.154
ˈeː	ˈo	0.143
ˈi	ˈɛ	0.138
ˈi	-	0.138
w	β_ˈɑ	0.133
h	x	0.1
a	ɐ	0.1
a	-	0.1
oː	ɑ	0.091
n	ə	0.071
n	n_ɐ	0.071
n	-	0.071
