Alsatian	Gothic	probability
e	m	1.0
h	h	1.0
w	w	1.0
ʦ	t	1.0
ˈø	ˈu	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈoː	1.0
ˈœ	ˈɔː	1.0
ˈɔi̯	oː	1.0
ˈɛ	ˈa	1.0
n	n	0.821
p͡f	β	0.651
ɡ̊	ɡ	0.891
ˈe	ˈɔː	0.181
ˈiː	ˈi	0.331
ˈo	ˈu	0.31
ˈu	ˈuː	0.11
ˈu	ˈu	0.531
ˈæː	ˈi	0.281
d̥	-	0.052
d̥	t	0.052
i	-	0.12
j	j	0.172
j	ɣ	0.442
kʰ	-	0.092
l	-	0.062
l	l	0.842
n	nː	0.082
ə	j_a	0.072
ʃ	d	0.072
ʃ	k_s	0.072
ˈu	ˈi	0.172
ˈyː	ˈu	0.442
ˈɒ	ˈa	0.952
ˈəi̯	ˈɛː	0.892
b̥	b	0.953
d̥	θ	0.503
i	a	0.473
n	-	0.083
v	ɡ	0.663
ˈaː	ˈa	0.543
ˈeː	ˈɔː	0.33
ˈoː	ˈu	0.063
ˈoː	ˈɔː	0.273
d̥	d	0.394
k	k	0.744
kʰ	kʷ	0.064
kʰ	k	0.844
x	k	0.284
ŋ	ŋ	0.854
ə	a	0.634
ʁ	r	0.804
ˈei̯	ˈiː	0.364
ˈi	ˈi	0.854
ˈo	ˈɔ	0.64
ˈæ	ˈɛ	0.114
ˈʊː	ˈiu̯	0.104
m	-	0.085
m	m	0.915
s	s	0.595
t	ð	0.145
ʃ	i_s	0.065
ʋ	w	0.85
ˈe	ˈu	0.175
ˈɒː	ˈu	0.395
ˈɒː	ˈa	0.605
ˈʊː	ˈoː	0.75
i	u	0.406
j	ɡ	0.386
k	h	0.256
s	t	0.376
x	h	0.716
ŋ	h	0.146
ə	oː	0.06
ˈe	ˈɛ	0.126
ˈiː	ˈiu̯	0.216
ˈæ	ˈi	0.886
ˈʊː	ˈa	0.066
t	d	0.207
v	β	0.337
ɡ̊	k	0.077
ʋ	ʍ	0.107
ˈaː	ˈiu̯	0.457
ˈei̯	ˈiu̯	0.417
ˈeː	ˈa	0.237
ˈoː	ˈɔ	0.147
ˈoː	ˈeː	0.517
ʁ	-	0.068
ʁ	s	0.128
ˈe	ˈi	0.128
ˈeː	ˈiː	0.058
ˈeː	ˈɛ	0.138
ˈeː	ˈɛː	0.238
ˈi	ˈiː	0.118
ˈiː	ˈoː	0.168
ˈu	ˈɔ	0.18
ˈyː	ˈuː	0.558
ˈəi̯	a	0.108
ˈʊː	ˈɔː	0.08
f	p	0.239
f	f	0.689
l	lː	0.069
p͡f	p	0.349
t	θ	0.299
t	t	0.349
ə	-	0.209
ʃ	s	0.79
ˈe	ˈa	0.39
ˈei̯	ˈɛː	0.219
ˈiː	ˈiː	0.269
ˈæː	ˈɛ	0.719
