Gothic	Gothic	probability
θ_s	d̥	1.0
θ_a	d_ə	1.0
ˈɔ	ˈoː	1.0
ˈuː	-	1.0
ˈoː	ˈuə̯	1.0
ˈeː	ˈɒː	1.0
ˈa_l	ˈu	1.0
ʍ	ʋ	1.0
ɡʷ	-	1.0
ɔː	ə	1.0
ŋ	ŋ	1.0
ð	-	1.0
z	-	1.0
x_s	ɦ̥	1.0
x	ç	1.0
u_s_#>	#>	1.0
u	-	1.0
t_a	t	1.0
t_#>	d̥_#>	1.0
t	t	1.0
s_k	ʃ_h	1.0
s_#>	#>	1.0
r_n	ɾ_n	1.0
r_#>	ɾ_#>	1.0
r	ɾ	1.0
p	p	1.0
m	m	1.0
lː	l	1.0
l_s	ə_l	1.0
k	k	1.0
iː	-	1.0
i	-	1.0
f_s	v̥	1.0
f	v	1.0
e	ə	1.0
d_s	d̥	1.0
a_r	ɾ	1.0
a_n	n	1.0
a	ə	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɡ	<#_ɦ	1.0
<#_t	<#_t	1.0
<#_s	<#_z	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#	1.0
n	n	0.944
b	b	0.833
ˈɔː	ˈoː	0.818
w	ʋ	0.812
d	d	0.769
ˈiː	ˈi	0.75
oː	ə	0.727
j	-	0.714
#>	ə_#>	0.714
ˈiu̯	ˈiə̯	0.7
θ	d̥	0.667
ˈɛ	ˈæ	0.667
ɡ	-	0.625
ɡ_s	k	0.6
s	s	0.526
β	v̥	0.5
β	v	0.5
l	w	0.5
l	l	0.5
h	h	0.5
h	-	0.5
ˈa	ˈɑ	0.458
ˈɛː	ˈɛː	0.455
ˈi	ˈɪ	0.4
ɡ_s	ɦ̥	0.4
ɡ	ɦ	0.375
ˈu	ˈu	0.357
θ	d	0.333
ˈɛ	-	0.333
ˈa	ˈɒː	0.333
ˈiu̯	-	0.3
j	j	0.286
#>	ɾ_#>	0.286
ˈɛː	ˈeː	0.273
ˈɛː	-	0.273
oː	-	0.273
ˈiː	-	0.25
d	d̥	0.231
ˈu	ˈɔ	0.214
s	ɾ	0.211
ˈi	-	0.2
w	-	0.188
ˈɔː	-	0.182
b	v̥	0.167
ˈi	ˈæ	0.16
ˈi	ˈeː	0.16
s	ə	0.158
ˈu	ˈœ	0.143
ˈu	ˈøː	0.143
ˈu	-	0.143
ˈa	-	0.125
s	t	0.105
ˈa	ˈɔ	0.083
ˈi	ˈɛ	0.08
n	-	0.056
