West Frisian	German	probability
b	b	0.914
b	-	0.086
d	tʰ	0.517
d	d	0.238
d	t	0.234
f	f	0.902
f	p	0.098
h	h	0.98
j	-	0.442
j	ˈʊ	0.191
j	ˈøː	0.08
j	ˈɔʏ̯	0.073
j	ə	0.073
j	ˈaɪ̯	0.064
j	j	0.057
k	k	0.331
k	ç	0.295
k	kʰ	0.242
k	x	0.132
l	l	0.987
m	m	0.977
n	n	0.832
n	n_t	0.096
p	f	0.825
p	p͡f	0.126
r	ɐ	0.529
r	ʁ	0.394
r	d_ɐ	0.06
s	s	0.337
s	ʃ	0.311
s	z	0.306
t	t	0.401
t	s	0.301
t	ʦ	0.104
t	d	0.075
v	v	0.703
v	b	0.25
z	z	0.672
z	ɡ	0.164
z	ʁ	0.164
ŋ	ŋ	0.77
ŋ	ç	0.175
ŋ	n	0.055
ɕ	z	1.0
ə	ə	0.75
ə	n	0.121
ə	-	0.107
ɡ	ɡ	1.0
ɣ	k	0.803
ɣ	-	0.098
ɣ	ɡ	0.098
ɪ	ɪ	1.0
ʋ	v	1.0
ʦ	kʰ	0.916
ʦ	ʦ	0.084
ˈa	ˈa	0.646
ˈa	ˈaː	0.218
ˈa	ˈeː	0.061
ˈaː	ˈa	0.438
ˈaː	ˈaː	0.187
ˈaː	ˈɛ	0.151
ˈaː	ˈaɪ̯	0.118
ˈaː	ə	0.078
ˈeː	ˈeː	0.696
ˈeː	ˈøː	0.26
ˈi	ˈaɪ̯	0.65
ˈi	ˈɪ	0.218
ˈi	ˈiː	0.088
ˈiə̯	ˈaɪ̯	0.26
ˈiə̯	ˈaː	0.24
ˈiə̯	ˈyː	0.166
ˈiə̯	ˈɛː	0.107
ˈiə̯	ˈeː	0.097
ˈiə̯	ˈiː	0.09
ˈiː	ˈaɪ̯	0.52
ˈiː	ˈɪ	0.223
ˈiː	ˈɛː	0.089
ˈiː	ˈʏ	0.089
ˈiː	ˈaː	0.08
ˈoə̯	ˈɔ_ɐ	0.485
ˈoə̯	ˈoː	0.265
ˈoə̯	ˈʊ	0.135
ˈoə̯	ˈaː	0.052
ˈoː	ˈuː	1.0
ˈu	ˈʊ	0.663
ˈu	ˈoː	0.337
ˈuə̯	ˈuː	0.483
ˈuə̯	ˈɔʏ̯	0.245
ˈuə̯	ˈyː	0.114
ˈuə̯	ˈʊ	0.07
ˈuə̯	ˈɔ	0.057
ˈuː	ˈaʊ̯	0.338
ˈuː	ˈʊ	0.238
ˈuː	-	0.183
ˈuː	ˈoː	0.115
ˈuː	ˈɔʏ̯	0.099
ˈy	ˈoː	1.0
ˈyː	ˈaʊ̯	0.343
ˈyː	ˈʊ	0.343
ˈyː	ˈɔʏ̯	0.315
ˈø	ˈaː	0.529
ˈø	ˈeː	0.3
ˈø	ˈɛ	0.171
ˈøə̯	ˈɔʏ̯	1.0
ˈɔ	ˈɪ	0.281
ˈɔ	ˈɔ	0.281
ˈɔ	ˈʊ	0.245
ˈɔ	ˈɛ	0.089
ˈɔ	-	0.065
ˈɔu̯	ˈiː	0.714
ˈɔu̯	ˈɔ	0.286
ˈɔː	ˈa	0.654
ˈɔː	ˈa_l	0.237
ˈɔː	ˈiː	0.109
ˈɛ	ˈɪ	0.291
ˈɛ	ˈɛ	0.233
ˈɛ	ˈa	0.183
ˈɛ	ˈiː	0.131
ˈɛ	-	0.101
ˈɛ	ˈaʊ̯	0.061
ˈɛi̯	ˈeː	0.42
ˈɛi̯	ˈaː	0.274
ˈɛi̯	ˈa	0.172
ˈɛi̯	ˈaɪ̯	0.082
ˈɛi̯	ˈɛ	0.051
ˈɛː	ˈa	0.398
ˈɛː	ˈɛ	0.262
ˈɛː	ˈʏ	0.228
ˈɛː	ˈaː	0.066
ˈɪ	ˈɪ	0.371
ˈɪ	-	0.193
ˈɪ	ˈʏ	0.142
ˈɪ	ˈɛ	0.129
ˈɪ	ˈœ	0.054
ˈɪə̯	ˈoː	0.225
ˈɪə̯	ˈaʊ̯	0.212
ˈɪə̯	ˈa	0.14
ˈɪə̯	ˈiː	0.124
ˈɪə̯	ˈøː	0.113
ˈɪə̯	ˈeː	0.095
ˈɪə̯	ˈɛː	0.064
ˈɵ	ˈyː	1.0
χ	x	0.355
χ	ç	0.307
χ	k	0.222
χ	ɡ	0.086
