Palatine German	Hessian	probability
β	v	1.0
ˈɪ	ˈi	1.0
ˈɛ̃ː	ˈɛ̃ː	1.0
ˈɑ̃ː	ˈãː	1.0
ˈɑː_ɐ	ˈɑː	1.0
ˈɑ_ɐ	ˈɑ	1.0
ˈuː	ˈuː	1.0
ˈõː	ˈõː	1.0
ˈo	ˈɑː	1.0
ˈĩː	ˈĩː	1.0
ˈi	ˈi	1.0
ˈau̯̯	ˈau̯	1.0
ˈau̯	ˈau̯	1.0
ɪ	i	1.0
ɑ	ɑ	1.0
ŋ	ŋ	1.0
r_ɐ	d̥_æ̆	1.0
r	ʀ	1.0
m	m	1.0
l_d̥	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
eː	ɛː	1.0
n	n	0.965
ə	ə	0.955
f	f	0.951
ʣ̥	ʦ	0.878
s	s	0.87
ˈu	ˈu	0.848
ʃ	ʃ	0.845
x	x	0.809
ˈiː	ˈiː	0.767
ˈoː	ˈoː	0.75
ɣ̊	ɣ̊	0.712
d̥	d̥	0.664
b̥	b̥	0.663
ɐ	ɐ	0.598
r_ə	d̥_ə	0.565
ˈɑ	ˈɑ	0.564
ˈaɪ̯	ˈai̯	0.55
ˈɔ	ˈo	0.52
ˈɛː	ˈaː	0.508
ɡ̊	k	0.501
ˈɑ̃ɪ̯	ˈɑ̃i̯	0.5
ˈɑ̃ɪ̯	ˈoĩ̯	0.5
ɡ̊	ɡ̊	0.499
ˈɛː	ˈɛː	0.492
ˈɔ	ˈɔ	0.48
ˈaɪ̯	ˈoi̯	0.45
ˈɑː	ˈɑː	0.435
r_ə	ɐ_n	0.435
ˈɑː	ˈaː	0.427
ɐ	æ̆	0.402
ˈɑ	ˈa	0.391
ˈɛ	ˈɛ	0.383
ˈeː	ˈeː	0.377
ˈɛ	ˈe	0.37
d̥	t	0.336
b̥	p	0.319
ɣ̊	x	0.288
ˈeː	-	0.248
ˈiː	-	0.233
ˈoː	ˈɑː	0.204
ˈɛ	ˈæ	0.202
ˈeː	ˈiː	0.191
x	ɣ̊	0.191
ˈeː	ˈaː	0.184
ˈu	ˈo	0.152
ˈɑː	-	0.138
s	z̥	0.13
ʣ̥	-	0.122
ʃ	s	0.098
ʃ	ʒ̊	0.057
