Old High German	Mainland North Frisian	probability
ˈɛ_h	ˈiː	1.0
ˈiu̯	ˈʏ	1.0
ˈio̯_ɡ	ˈiː	1.0
ˈie̯	ˈeː	1.0
ˈeː	ˈiː	1.0
ʦː	t	1.0
ʦ	t	1.0
ɛ_h	ɛi̯	1.0
ɛ	ə	1.0
ə	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x	x	1.0
w_ˈo	ˈʊ	1.0
u_n	ə_n	1.0
tː	d	1.0
t_ɛ	t_ə	1.0
t_o	t	1.0
s_t	s_t	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
r_n	ʀ_n	1.0
r_d	ʀ_d̥	1.0
r	ʀ	1.0
p͡f	p	1.0
p	p_ʀ	1.0
oː_n	ə	1.0
ou̯	ˈuː_f	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_t	lʲ	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i	-	1.0
fː	v	1.0
eː	-	1.0
e	ə	1.0
s	s	0.924
f	f	0.899
h	h	0.879
l	l	0.859
w	v	0.835
ˈiː	ˈi	0.811
ˈio̯	ˈiː	0.805
ɑ	ə	0.788
b	b	0.771
n_t	n	0.734
o	ə	0.695
d	d	0.687
ˈou̯	ˈuː	0.661
n	n	0.653
ɡ	j	0.617
s̻ː	d	0.583
ˈei̯	ˈiː	0.582
ˈe	ˈɒ	0.544
u	ə	0.539
kː	k	0.522
s̻	t	0.501
s̻	tʲ	0.499
ˈuː	ˈʏ	0.483
u	-	0.461
ˈɛ	-	0.459
ˈe	-	0.456
ˈɑː	-	0.425
ˈoː	ˈyː	0.418
ˈei̯	-	0.418
s̻ː	-	0.417
ˈu	ˈʊ	0.384
ˈou̯	-	0.339
ˈɑː	ˈɛi̯	0.338
ˈo	ˈɔ	0.324
t	d̥	0.315
d	tʲ	0.313
o	-	0.305
ˈuo̯	ˈœ	0.302
t	dʲ	0.296
ˈoː	-	0.294
ˈoː	ˈuː	0.288
ˈuː	ˈœː	0.287
t	t	0.281
ˈi	ˈi	0.271
kː	ç	0.27
n_t	nʲ	0.266
ɡ	d	0.262
ˈɛ	ˈɛː	0.254
ˈuo̯	ˈɛ	0.241
ˈɑː	ˈɔu̯	0.238
ˈuː	-	0.23
b	v	0.229
ˈuo̯	ˈɛi̯	0.221
ˈu	-	0.214
kː	-	0.208
ˈi	ˈa	0.204
ɑ	-	0.199
ˈio̯	-	0.195
ˈiː	ˈa	0.189
ˈo	ˈœ	0.178
w	-	0.165
n	nʲ	0.162
ˈɑ	ˈœ	0.161
ˈɛ	j_ˈa	0.153
ˈo	ˈɔː	0.146
ˈɑ	ˈɒ	0.144
ˈɑ	-	0.141
ˈi	ˈɛ	0.141
n	ə	0.14
ˈu	ˈa	0.135
ˈi	ˈʊ	0.135
ˈɛ	ˈeː	0.134
ˈo	-	0.129
ˈo	ˈʊ	0.128
ˈɑ	ˈɒː	0.126
ɡ	ŋ	0.121
h	-	0.121
ˈuo̯	ˈœi̯	0.12
ˈuo̯	-	0.116
ˈu	ˈɔ	0.11
t	d	0.108
ˈɑ	ˈɔː	0.106
ˈi	-	0.106
ˈɑ	ˈʊ	0.102
f	p	0.101
ˈi	ˈœ	0.099
ˈo	ˈœː	0.095
l	l_ə	0.08
ˈu	ˈʏ	0.079
ˈu	ˈeː	0.079
ˈɑ	ˈa	0.076
s	z	0.076
ˈɑ	ˈeː	0.066
l	lʲ	0.061
