Bavarian	Old Norse	probability
a	i	0.278
a	ɑ	0.238
a	r	0.225
a	n	0.106
a	ɡ_ɑ	0.059
b̥	b	0.651
b̥	v	0.244
d	ð	1.0
d̥	d	0.352
d̥	ð	0.307
d̥	θ	0.205
d̥	-	0.079
eɐ̯	ɑː	1.0
f	f	0.589
f	v	0.166
f	p	0.138
h	h	0.892
h	ç	0.108
i	l	0.492
i	u	0.254
i	ɑ	0.254
j	l	0.675
j	lː	0.166
j	-	0.159
k	kː	0.482
k	ɡː	0.233
k	cː	0.13
k	c	0.089
k	k	0.067
kʰ	kʰ	0.875
kʰ	cʰ	0.104
l	l	0.871
l	-	0.065
m	m	0.705
m	v	0.149
m	mː	0.069
n	n	0.423
n	ɑ	0.228
n	-	0.165
n	nː	0.095
n	a	0.061
p	v	1.0
p͡f	p	0.927
p͡f	v	0.073
r	r	0.81
r	ˈoː	0.095
r	-	0.061
s	s	0.577
s	t	0.342
s	-	0.051
t	ð	0.519
t	t	0.151
t	d	0.142
t	-	0.123
x	k	0.381
x	tː	0.324
x	s	0.113
x	c	0.103
x	-	0.079
ç	k	0.635
ç	ɡ	0.365
ŋ	ŋ	0.432
ŋ	kː	0.212
ŋ	-	0.185
ŋ	ɣ	0.164
ɐ	r	0.566
ɐ	ˈɔ	0.194
ɐ	ˈɑ	0.168
ə	i	0.678
ə	r	0.322
ɡ̊	ɡ	0.476
ɡ̊	ɣ	0.294
ɡ̊	ɟ	0.123
ɪ	i	1.0
ʃ	s	0.934
ʋ	v	0.569
ʋ	-	0.217
ʋ	w	0.164
ʋ	tː	0.05
ʦ	tʰ	0.647
ʦ	t	0.28
ˈa	ˈɑ	0.588
ˈa	ˈɔ	0.179
ˈa	ˈa	0.103
ˈa	u	0.102
ˈai̯	ˈiː	0.697
ˈai̯	ˈyː	0.129
ˈai̯	ˈɛ	0.073
ˈau̯	ˈuː	0.75
ˈau̯	ˈu	0.092
ˈau̯	a	0.062
ˈau̯	ˈyː	0.062
ˈaː	ˈɑu̯	0.493
ˈaː	ˈɑ	0.162
ˈaː	ˈeː	0.137
ˈaː	ˈɔ	0.089
ˈaː	ˈøy̯	0.065
ˈaː	ˈu	0.055
ˈe	j	0.265
ˈe	ˈe	0.191
ˈe	ˈu	0.169
ˈe	ˈɑ	0.125
ˈe	ˈøː	0.109
ˈe	ˈɒu̯	0.073
ˈe	ˈøy̯	0.068
ˈeɐ̯	ˈyː	0.263
ˈeɐ̯	ˈɔː	0.263
ˈeɐ̯	u	0.237
ˈeɐ̯	ˈøː	0.237
ˈeː	ˈe	0.428
ˈeː	ˈɑː	0.28
ˈeː	ˈi	0.091
ˈeː	ˈɔ	0.091
ˈeː	ˈeː	0.065
ˈi	ˈi	0.606
ˈi	ˈe	0.143
ˈi	ˈy	0.083
ˈi	ˈo	0.071
ˈiɐ̯	j	0.473
ˈiɐ̯	ˈøː	0.347
ˈiɐ̯	ˈeː	0.102
ˈiɐ̯	ˈoː	0.078
ˈiː	j	0.772
ˈiː	ˈi	0.228
ˈo	ˈɑ	0.704
ˈo	ˈy	0.099
ˈo	ˈu	0.078
ˈo	ˈo	0.059
ˈou̯	ˈɑu̯	0.513
ˈou̯	ˈɑː	0.244
ˈou̯	ˈɒu̯	0.244
ˈoɐ̯	ˈɛi̯	0.396
ˈoɐ̯	ˈo	0.252
ˈoɐ̯	ˈɑ	0.142
ˈoɐ̯	ˈɑː	0.084
ˈoː	ˈɑ	0.482
ˈoː	ˈɑː	0.23
ˈoː	ˈo	0.135
ˈoː	ˈe	0.076
ˈoː	ˈɛː	0.076
ˈu	ˈu	0.527
ˈu	ˈɔ	0.149
ˈu	ˈo	0.145
ˈu	ˈy	0.116
ˈuɐ̯	ˈoː	0.649
ˈuɐ̯	ˈøː	0.25
ˈuɐ̯	ˈyː	0.1
ˈy	ˈy	1.0
ˈɒ	ˈɛ	0.343
ˈɒ	ˈɑ	0.314
ˈɒ	ˈa	0.226
ˈɒ	ˈɑː	0.117
ˈɒː	ˈɑ	0.614
ˈɒː	ˈɑː	0.208
ˈɒː	ˈa	0.178
ˈɔ	ˈɑː	0.437
ˈɔ	ˈɔ	0.269
ˈɔ	ˈo	0.12
ˈɔ	ˈu	0.12
ˈɔ	ˈoː	0.054
ˈɛ	ˈe	0.244
ˈɛ	ˈo	0.231
ˈɛ	ˈu	0.197
ˈɛ	ˈɛ	0.154
ˈɛ	j	0.125
ˈɛː	ˈɛː	0.477
ˈɛː	j_ˈoː	0.415
ˈɛː	ˈɑ	0.108
ˈʏ	ˈu	0.427
ˈʏ	ˈyː	0.427
ˈʏ	ˈøː	0.146
