Belarusian	Belarusian	probability
ˈ_#>	#>	1.0
ʦ	-	1.0
ʣʲ	dʲ	1.0
ʐ	ɡʲ	1.0
ʌ	ɐ	1.0
ʉ	ɛʊ̯	1.0
ɵ	-	1.0
ɫ_a	ɫ	1.0
ɣʲ	-	1.0
ɣ	ɡ	1.0
z	ʑ	1.0
xʲ	-	1.0
x	̌_ɡ	1.0
w	ɫ	1.0
vʲ	vʲ	1.0
nʲ	-	1.0
n_ʦ	aʊ̯	1.0
mʲ	mʲ	1.0
lʲ	lʲ	1.0
j	-	1.0
d̥ʲ	d_ʊ	1.0
d̥	̌_d	1.0
bʲ	bʲ	1.0
b	b	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
i	-	0.875
æ	-	0.857
ɫ	ɫ	0.778
t	t	0.75
n	n	0.75
m	m	0.714
ˈ	-	0.708
s	s	0.667
d	d	0.667
#>	s_#>	0.604
ʧ	k_tʲ	0.6
zʲ	ʑ	0.6
sʲ	sʲ	0.6
r	r	0.591
ʦʲ	tʲ	0.556
u	ɐ	0.556
k	k	0.545
v	vʲ	0.5
v	v	0.5
u	-	0.444
e	ɛ	0.417
ʧ	kʲ	0.4
zʲ	ʒ	0.4
sʲ	-	0.4
ɨ	ɐ_s	0.381
s	ʃ	0.333
d	-	0.333
a	ɐ	0.32
r	rʲ	0.318
ˈ	ˈ	0.292
#>	ɐ_s_#>	0.292
m	-	0.286
k	kʲ	0.273
o	ɪ	0.261
t	-	0.25
n	-	0.25
e	-	0.25
ʦʲ	̂_tʲ	0.222
ʦʲ	-	0.222
ɫ	lʲ	0.222
o	aː_̌	0.217
ɨ	iː	0.19
k	-	0.182
o	ɐ	0.174
e	ɪ	0.167
e	eː_̂	0.167
ɨ	uː_̂	0.143
æ	ɐɪ̯	0.143
a	oː	0.14
o	æː_̌	0.13
o	-	0.13
i	ɛɪ̯	0.125
a	-	0.12
ɨ	ɪ	0.095
ɨ	uː	0.095
ɨ	t_ɐ	0.095
r	rʲ_ɪ	0.091
o	ɐ_s	0.087
#>	ˈ_#>	0.062
a	ʊ	0.06
a	ɪ	0.06
a	ɛ	0.06
a	eː_̌	0.06
a	eː	0.06
a	aː_̂	0.06
