Shanghainese	Shanghainese	probability
⁵	¹	1.0
ʦʰ	ʦʰ	1.0
ʥ	cʰ	1.0
ʑ	ʨʰ	1.0
ɪ_ʔ	t̚	1.0
ɪ	a	1.0
ɥ	j	1.0
ɡ	cʰ	1.0
ə_n	a_ŋ	1.0
ɕ	ɕ	1.0
ɔ	a_w	1.0
ŋ̍	n	1.0
ŋ	ŋ	1.0
²³_#>	⁴⁴_#>	1.0
y	n̩	1.0
w	ɔ	1.0
v	f	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	ɲ	1.0
m	m	1.0
l	l	1.0
k	k	1.0
d	tʰ	1.0
b	pʰ	1.0
ã	-	1.0
<#_ɦ	<#	1.0
<#_nʲ	<#	1.0
⁵³	⁴⁴	0.946
⁵⁵	¹	0.941
n	n	0.882
i	i	0.81
ɑ̃	ɔ_ŋ	0.778
a	a	0.75
ə	u	0.727
¹²	⁵	0.7
j	j	0.692
²³	¹¹	0.672
ʦ	ʦ	0.667
z̩	z̩	0.667
z	s	0.667
h	h	0.667
³⁴	³¹	0.643
o	ʊ	0.625
ʨ	c	0.6
kʰ	kʰ	0.6
f	f	0.571
ʨʰ	ʨʰ	0.5
ʨʰ	ç	0.5
ɯ	ʋ	0.5
ɯ	-	0.5
ɜ	u	0.5
ɜ	e_w	0.5
ø	ɔ_n	0.5
e	o_j	0.5
ʔ	t̚	0.48
ʔ	k̚	0.48
u	o	0.455
f	p	0.429
ʨ	k	0.4
kʰ	h	0.4
u	u	0.364
³⁴	⁵³	0.357
z̩	i	0.333
z	ʦʰ	0.333
h	f	0.333
j	i	0.308
ø	a_m	0.3
¹²	¹	0.3
e	a_n	0.3
ɦ	f	0.273
ə	ɛ	0.273
a	-	0.25
²³	⁵³	0.224
ʦ	t	0.222
ɑ̃	ŋ	0.222
ø	a	0.2
e	i	0.2
ɦ	ʋ	0.182
ɦ	j	0.182
ɦ	i	0.182
ɦ	h	0.182
u	-	0.182
o	a	0.167
o	ɔ	0.125
n	m	0.118
ʦ	ʨ	0.111
²³	³¹	0.103
i	ɛ_n	0.095
i	j_a	0.095
o	-	0.083
⁵⁵	²	0.059
⁵³	⁵³	0.054
