Afrikaans	Afrikaans	probability
χ_#>	k_#>	1.0
ˈʊə̯_r	ˈɔː	1.0
ˈɪø̯	-	1.0
ˈɔː	-	1.0
ˈɑː_n	n	1.0
ˈœ	ˈœ	1.0
ˈyː	ˈyː	1.0
ˈoː	-	1.0
ˈi_t	ˈøʏ̯	1.0
ˈi_r	ˈiː_ɐ	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
ə_r	ɐ	1.0
ŋ	ŋ	1.0
w	-	1.0
v̥_#>	#>	1.0
s_k	ʃ	1.0
r_ˈi	ʀ	1.0
n_d̥	ŋ_ə	1.0
n_d	ŋ	1.0
m	m	1.0
i	e	1.0
d	d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈʊ	1.0
<#_r	<#_ʀ	1.0
v̥	f	0.844
v	ʋ	0.821
n	n	0.76
ə	-	0.75
ˈi	ˈeː	0.733
ˈæ	-	0.714
k	k	0.656
ˈa	ˈa	0.655
d̥	d̥	0.645
ˈɛ	-	0.6
ˈœu̯	ˈa_ɫ	0.6
j	-	0.6
ˈə	ˈe	0.591
ɫ	l	0.583
p	p	0.571
ˈœɪ̯	ˈuː	0.545
ˈu	ˈoː	0.533
ˈʊə̯_m	ˈoː_m	0.5
ˈʊə̯_m	m	0.5
ˈæː	ˈɛ	0.5
ˈæː	-	0.5
r	ʀ	0.477
ɫ	ɫ	0.417
ˈɔ	ˈɔ	0.409
ˈɑː	ˈoː	0.409
ˈɛ	ˈɛ	0.4
ˈœu̯	ˈɔʊ̯	0.4
t	ʦ	0.4
j	j	0.4
χ	j	0.394
s	ʃ	0.382
ˈʊə̯	ˈuː	0.375
ˈɔ	ˈo	0.364
r	ɐ	0.364
t	s	0.35
s	z	0.345
ˈəɪ̯	ˈiː	0.333
ˈu	ˈøː	0.333
χ	ɕ	0.303
ˈæ	ˈe	0.286
p	f	0.286
ˈœɪ̯	-	0.273
ˈəɪ̯	-	0.267
ə	ɪ	0.25
t	t	0.25
k	ɕ	0.25
ˈa	ˈaː	0.241
n	ŋ	0.24
ˈə	ˈɪ	0.227
ˈɔ	-	0.227
ˈɑː	ˈaː	0.227
d̥	ɡ̊	0.226
ˈɪə̯	ˈɛː	0.222
ˈɪə̯	ˈeː	0.222
s	z̥	0.2
ˈʊə̯	ˈɔʊ̯	0.188
ˈʊə̯	ˈyː	0.188
ˈœɪ̯	ˈɔʊ̯	0.182
ˈɪə̯	ˈɛ	0.167
ˈɪə̯	ˈeɪ̯	0.167
r	-	0.159
v̥	v̥	0.156
χ	x	0.152
p	f_ə	0.143
ˈɑː	ˈa	0.136
ˈɑː	-	0.136
ˈəɪ̯	ˈɪ	0.133
ˈəɪ̯	ˈeː	0.133
ˈəɪ̯	ˈeɪ̯	0.133
ˈu	ˈoː_d	0.133
ˈi	ˈiː	0.133
ˈi	-	0.133
ˈʊə̯	ˈoʊ̯	0.125
ˈʊə̯	-	0.125
ˈɪə̯	ˈɛ_d	0.111
ˈɪə̯	-	0.111
v	ʋ_ˈe	0.107
ˈa	ˈɛ	0.103
k	x	0.094
χ	ɣ̊	0.091
ˈə	ˈeː	0.091
ˈə	ˈa	0.091
ˈɑː	ˈiː	0.091
v	v	0.071
d̥	d_ə	0.065
d̥	-	0.065
χ	ɣ	0.061
