Old High German	Alsatian	probability
ˈɑ_ɡ	ˈaː	1.0
ˈou̯_ɡ	ˈœ	1.0
ˈou̯_w	ˈɔi̯	1.0
ˈio̯	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈe	ˈe	1.0
ʦː	-	1.0
ʦ	ʦ	1.0
ɛ_h	eː	1.0
ɛ	ə	1.0
ə_n	ə	1.0
ɑ_ɡ	i	1.0
ɑ_n	ə	1.0
ŋ_ɡ	ŋ	1.0
xː_ɑ	x	1.0
xː	-	1.0
v	ʋ	1.0
s̻ː	s	1.0
s̻	s	1.0
s_k	ʃ	1.0
r_n	ʁ_n	1.0
r	ʁ	1.0
p͡f	p͡f	1.0
p	p	1.0
oː	ə	1.0
nː	n	1.0
n_t	n_d̥	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
kː_ɑ	k	1.0
kː	k	1.0
kʰ	kʰ	1.0
k	kʰ	1.0
j	j	1.0
i	-	1.0
fː	f	1.0
f	f	1.0
e_n	ə	1.0
m	m	0.953
d	d̥	0.921
n	n	0.9
ˈi	ˈi	0.875
w	ʋ	0.866
o	-	0.86
t	t	0.849
ˈuː	ˈyː	0.835
h	h	0.792
b	b̥	0.775
ˈei̯	ˈəi̯	0.769
ˈou̯	ˈʊː	0.765
ˈo	ˈo	0.764
ˈu	ˈu	0.762
ˈuo̯	ˈʊː	0.756
ˈɑː	ˈoː	0.755
ˈɑ	ˈɒ	0.701
ˈoː	ˈoː	0.676
ˈiu̯	ˈiː	0.648
x	ʃ	0.61
s	s	0.587
ɡ	j	0.585
ɑ	-	0.578
u	i	0.508
u	-	0.492
ˈiː	ˈiː	0.457
s	ʃ	0.413
ˈiː	ˈi	0.391
ɑ	ə	0.387
ˈiu̯	ˈi	0.352
ˈɛ	ˈæ	0.347
ˈoː	ˈeː	0.324
ˈɑ	ˈɒː	0.299
ˈɛ	ˈe	0.292
ˈɛ	ˈæː	0.246
ˈɑː	-	0.245
ˈuo̯	ˈiː	0.244
x	x	0.237
ˈou̯	ˈai̯	0.235
ˈei̯	-	0.231
b	-	0.225
ɡ	ɡ̊	0.222
h	-	0.208
ɡ	i	0.193
ˈo	ˈu	0.189
ˈuː	-	0.165
x	k	0.153
ˈiː	ˈei̯	0.152
t	d̥	0.151
ˈu	-	0.14
o	ə	0.14
w	w	0.134
ˈi	ˈiː	0.125
ˈɛ	-	0.115
n	ə	0.1
ˈu	ˈe	0.098
d	t	0.079
