Franco-Provençal	Franco-Provençal	probability
ˈɛː_ʁ	ˈa_r	1.0
ˈĩ	ˈiː_n	1.0
ˈe_n	ˈiː_n	1.0
ˈe_#>	i_ʊ̃ː_#>	1.0
ʦ	-	1.0
ʒ	-	1.0
ʃ_i	kː_ãː	1.0
ʁ_b	r_b	1.0
ʁ_a	r_ãː	1.0
ɲ	n	1.0
ɛ̃	ɪ	1.0
ɛ	-	1.0
ə_n	ɛ_n	1.0
ɔ̃	-	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
z	-	1.0
y	r_ʊ	1.0
w_o	ʊ̃	1.0
u	-	1.0
s_ˈĩ	k_ɪ	1.0
p	p	1.0
k_ʁ	k_r	1.0
j_ˈɛ	ˈae̯	1.0
b	b	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_w	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
m	m	0.964
f	f	0.926
n	n	0.867
d	d	0.867
k	k	0.85
ʃ	k	0.8
ɡ	ɡ	0.8
a	ãː	0.745
<#_l	<#_ɫ	0.733
ʁ	r	0.725
v	w	0.694
ˈɑː	ˈa	0.667
i	ãː	0.667
e	s	0.667
s	s	0.658
t	t	0.619
ˈɛ_#>	#>	0.6
j_ˈe	ˈɛ	0.6
ˈɔ	-	0.571
ˈaː	ˈaː	0.556
l	ɫ	0.556
ˈoː	ˈɔ	0.533
ɔ	oː	0.5
ɔ	-	0.5
<#	<#_ˈɪ	0.5
<#	<#_t	0.5
ˈa	ˈa	0.483
ð	r	0.464
ˈɛ	ˈɛ	0.462
ˈi	ˈiː	0.455
ˈɔ	ˈɔ	0.429
ˈɛ̃	ˈɛ_n	0.4
ˈɛ_#>	ɛ̃ː_#>	0.4
ˈo	ˈʊ	0.4
ˈo	ˈoː	0.4
ʎ	ɫ	0.4
ʎ	lʲ_i	0.4
j_ˈe	ˈaː_r	0.4
ˈe	ˈɛ	0.394
#>	ʊ̃ː_#>	0.388
ˈɔ̃	ˈɔ_n	0.375
ˈɔ̃	ˈoː	0.375
j	-	0.353
ə	ɛ	0.351
ˈɑː	-	0.333
ˈø	ʊ	0.333
ˈoː	ˈa_ɫ	0.333
l	lʲː	0.333
i	ĩː	0.333
e	-	0.333
ˈɛ	ˈɪ	0.308
ˈu	ˈɔ	0.308
ˈu	ˈuː	0.308
ˈɑ̃	ˈa_ŋ	0.273
ˈɑ̃	ˈa_n	0.273
ˈɑ̃	ˈa	0.273
ə	ãː	0.27
<#_l	<#_lʲ	0.267
ˈɛː	ˈɪ	0.261
w	ˈʊ	0.261
w	-	0.261
o	ʊ̃ː	0.259
o	oː	0.259
ˈɔ̃	n	0.25
ð	ɡ	0.25
#>	ɛ̃ː_#>	0.246
ˈa	ˈaː_r	0.241
s	k	0.237
j	ˈɛ	0.235
ˈɛ	-	0.231
ˈu	-	0.231
ˈi	ˈɛ	0.227
ˈø	ˈɔ	0.222
ˈø	ˈoː	0.222
ˈø	-	0.222
ˈaː	ˈaː_t	0.222
ˈaː	ˈa	0.222
ˈɛː	ˈeː	0.217
w	ˈɔ	0.217
ˈɛ̃	ŋ	0.2
ˈɛ̃	n_ʊ̃ː	0.2
ˈɛ̃	n	0.2
ˈo	-	0.2
ʎ	ʊ	0.2
ɡ	-	0.2
a	a	0.196
#>	ɛ_#>	0.187
o	ɛ̃ː	0.185
ˈɑ̃	ˈaː_n	0.182
ˈe	-	0.182
j	ˈa	0.176
ˈɛː	-	0.174
ˈu	ˈuː_t	0.154
k	kʷ	0.15
o	ʊ	0.148
ð	t_r	0.143
t	tː	0.143
t	s_t	0.143
ˈa	ˈaː	0.138
ˈi	ˈiː_r	0.136
ˈi	-	0.136
ˈoː	ˈʊ	0.133
n	ɪ_n	0.133
d	n	0.133
ˈɛː	ˈɛ	0.13
w	ˈɔ_k	0.13
w	k	0.13
ˈe	ˈiː	0.121
ʃ	s	0.12
ʁ	ɛ_r	0.118
j	ˈaː_t	0.118
j	k	0.118
v	p_ɛ	0.111
v	p	0.111
ə	ɛ̃ː	0.108
ə	a	0.108
t	kː	0.095
ˈɛː	ˈɪ_ɡ	0.087
ˈɛː	ɪ_d	0.087
v	-	0.083
ə	ɫ_ãː	0.081
ə	i_ãː	0.081
ʃ	k_ɛ̃ː	0.08
o	ɪ_k	0.074
o	ɔ	0.074
f	w_ɛ̃ː	0.074
ð	t	0.071
ð	-	0.071
ˈa	k_ʊ̃ː	0.069
ˈa	-	0.069
#>	t_ʊ̃ː_#>	0.067
ˈe	ˈaː	0.061
ˈe	ʊ̃ː	0.061
ˈe	s	0.061
ˈe	k_ʊ	0.061
ˈe	ãː	0.061
ʁ	s_i	0.059
ʁ	r_t	0.059
a	aː	0.059
l	ɫ_ˈa	0.056
l	lʲː_ɛ̃ː	0.056
s	t_i	0.053
s	-	0.053
#>	s_#>	0.052
