Nuorese	Spanish	probability
ˈe_t	ˈe_ʧ	1.0
ʦ	θ	1.0
ɾ_u	ɾ_o	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɡ_ɛ	e	1.0
ɔ_ɾ	ɾ	1.0
ɔ_l	o_l	1.0
ŋ	-	1.0
ð_ɛ	t_ˈa	1.0
ð_a	l_a	1.0
z_ɔ̆	s	1.0
ŭ	-	1.0
t_ɛ	t_e	1.0
t_a	ð_a	1.0
p_ɾ	ɟ͡ʝ	1.0
o	o	1.0
n_ʣ	ɲ	1.0
n_ɛ	e	1.0
k_u	ɣ_o	1.0
j_u	o	1.0
f_ˈi	ˈi	1.0
e	-	1.0
d	d	1.0
b_ˈi	b	1.0
ă	-	1.0
a_m	a_m	1.0
a	a	0.963
l	l	0.951
u	o	0.927
ˈa	ˈa	0.888
b	b	0.87
ɔ	o	0.86
n	n	0.849
β	β	0.792
f	f	0.757
p	p	0.748
ð	-	0.741
ɾ	ɾ	0.721
s	s	0.679
m	m	0.679
k_ɾ	x	0.663
k_ɛ	θ	0.657
z	s	0.637
ɖː	ʝ	0.633
ˈo	w_ˈe	0.621
ˈu	ˈu	0.579
j	j	0.578
ɛ_ɾ	ˈe_ɾ	0.574
k	k	0.574
ʣ	x	0.568
t	t	0.562
ɡ	ɡ	0.555
nː	n	0.543
i	e	0.509
ˈe	j_ˈe	0.504
ˈi	ˈi	0.5
ˈi	ˈe	0.5
ɣ	-	0.495
nː	ɲ	0.457
ɛ_ɾ	ɾ	0.426
j	-	0.422
ˈɔ	ˈo	0.42
r	r	0.417
ˈɛ	ˈe	0.392
ˈɔ	w_ˈe	0.385
ˈo	ˈo	0.379
ˈu	ˈo	0.371
ɖː	-	0.367
z	-	0.363
ɛ	e	0.361
ˈe	ˈe	0.358
k_ɛ	ˈe_θ	0.343
k_ɾ	ɟ͡ʝ	0.337
ˈɛ	j_ˈe	0.329
s	-	0.321
r	ɾ	0.32
t	ð	0.303
ɛ	ˈi	0.278
r	ɾ_n	0.263
k	θ	0.262
ʣ	-	0.261
ð	ð	0.259
ɣ	β	0.255
p	β	0.252
ɣ	ɣ	0.25
f	e	0.243
ɡ	ɟ͡ʝ	0.235
ɡ	-	0.21
β	-	0.208
i	-	0.208
ˈɛ	e	0.18
ɛ	ɾ	0.178
ʣ	ʝ	0.171
ɾ	l	0.154
ɔ	-	0.14
ˈe	ˈi	0.137
k	ɣ	0.136
i	i	0.13
m	m_b	0.123
ɾ	-	0.115
ˈɔ	o	0.112
m	ŋ	0.11
i	b_ɾ	0.1
ˈɛ	j	0.099
ɛ	ˈe	0.096
n	-	0.093
ɛ	a	0.088
m	ŋ_ɡ	0.088
ˈɔ	ˈu	0.084
b	w	0.077
t	ʧ	0.073
ˈa	-	0.07
t	-	0.061
n	j_n	0.058
i	ˈi	0.054
b	β	0.054
ˈu	w	0.051
