Neapolitan	French	probability
a	a	0.655
a	ɛ	0.174
a	-	0.147
b	b	0.73
b	-	0.163
b	v	0.106
d	d	0.64
d	-	0.21
d	ʒ	0.15
e	ə	0.385
e	ɛ̃	0.367
e	-	0.248
f	f	1.0
i	-	0.387
i	i	0.208
i	ɛ̃	0.106
i	ɑ̃	0.096
i	w	0.054
i	ə	0.054
i	j	0.05
j	-	0.535
j	l	0.331
j	ʒ	0.068
j	j	0.064
k	-	0.428
k	ʃ	0.288
k	k	0.203
k	p	0.081
l	l	0.593
l	-	0.407
m	m	0.729
m	-	0.271
n	n	0.752
n	-	0.248
o	ɔ	1.0
p	p	0.792
p	v	0.137
p	-	0.053
r	ʁ	0.926
r	-	0.074
s	s	0.546
s	-	0.344
s	z	0.097
t	-	0.676
t	t	0.241
u	u	0.364
u	ɔ	0.201
u	-	0.189
u	ɔ̃	0.119
u	e	0.076
u	l	0.05
v	v	0.638
v	-	0.291
v	b	0.071
w	-	0.937
w	j	0.063
z	z	1.0
ŋ	ɛ̃	0.611
ŋ	ɑ̃	0.351
ə	-	0.974
ɡ	ɡ	0.637
ɡ	-	0.246
ɡ	ʃ	0.117
ɲ	-	0.315
ɲ	ɲ	0.199
ɲ	ʒ	0.198
ɲ	ɑ̃	0.186
ɲ	ɛ̃	0.065
ɾ	ʁ	0.556
ɾ	-	0.427
ʃ	s	0.484
ʃ	-	0.251
ʃ	z	0.186
ʎ	-	0.517
ʎ	j	0.312
ʎ	œ	0.089
ʎ	s	0.083
ʤ	ʒ	0.418
ʤ	-	0.385
ʤ	ʁ	0.085
ʤ	s	0.056
ʤ	z	0.056
ʦ	-	0.908
ʦ	ɥ	0.092
ʧ	t	0.432
ʧ	-	0.329
ʧ	w	0.195
ˈa	ɛ	0.345
ˈa	a	0.328
ˈa	e	0.187
ˈa	-	0.079
ˈe	w	0.494
ˈe	ɛ	0.18
ˈe	i	0.105
ˈe	-	0.091
ˈe	a	0.066
ˈe	ɑ̃	0.064
ˈi	i	0.515
ˈi	ɛ	0.171
ˈi	-	0.122
ˈi	w	0.119
ˈo	œ	0.233
ˈo	w	0.205
ˈo	ɔ̃	0.189
ˈo	-	0.15
ˈo	u	0.066
ˈu	y	0.502
ˈu	u	0.153
ˈu	-	0.13
ˈu	w	0.123
ˈu	ɥ	0.093
ˈɔ	ɔ	0.657
ˈɔ	œ	0.168
ˈɔ	i	0.083
ˈɛ	-	0.403
ˈɛ	ɑ̃	0.296
ˈɛ	ɛ	0.19
ˈɛ	a_ʁ	0.056
