Proto-Balto-Slavic	Standard Serbian	probability
́ˀ	̂	1.0
́_ŋ	̌	1.0
́_l	̂	1.0
ɛ	e	1.0
ŋ_ɡ	ʒ	1.0
zʲ	z	1.0
z	z	1.0
w	ʋ	1.0
uː	i	1.0
sʲ	s	1.0
r_i	r	1.0
oː_́ˀ	a_̂	1.0
o	-	1.0
n_t	t	1.0
n_s	s	1.0
n_i	ɲ	1.0
n_d	d	1.0
k_t	ʨ	1.0
j	-	1.0
i_r	r̩ː	1.0
ei̯	i	1.0
d	d	1.0
b	b	1.0
aː_́ˀ	a	1.0
aː	a	1.0
au̯	uː	1.0
a_́	̂	1.0
a_s	a	1.0
m	m	0.831
u	-	0.815
ɡ	ɡ	0.803
r	r	0.797
eː	eː	0.792
t	t	0.791
́	̂	0.684
l	l	0.648
e	e	0.632
i	-	0.63
p	p	0.625
oː	a	0.625
ai̯	eː	0.619
n	n	0.566
s	-	0.556
ʃ	x	0.514
ʃ	-	0.486
k	k	0.474
s	s	0.444
ˀ	-	0.385
ai̯	e	0.381
p	-	0.375
oː	-	0.375
a	-	0.293
l	-	0.275
n	d	0.243
ˀ	̌	0.231
ˀ	̂	0.231
a	o	0.231
k	ʧ	0.224
a	uː	0.216
t	-	0.209
eː	-	0.208
r	-	0.203
n	t	0.192
i	u	0.192
e	eː	0.19
u	a_k	0.185
́	̌	0.184
i	eː	0.178
k	ʦ	0.172
m	-	0.169
ˀ	a_̂	0.154
ɡ	ʒ	0.146
́	-	0.132
k	-	0.13
a	oː	0.119
e	-	0.118
l	ʎ	0.077
a	o_̂	0.073
a	aː	0.067
e	eː_̂	0.061
ɡ	ɡ̊	0.051
