Nynorsk Norwegian	East Low German	probability
f	f	1.0
h	h	1.0
mː	m	1.0
p	p	1.0
pʰ	pʰ	1.0
sː	s	1.0
tː	t	1.0
v	v	1.0
ɪ	n	1.0
ɲ	ŋ	1.0
ʉ	-	1.0
ʰpː	p	1.0
ˈæ	ˈaː	1.0
j	ɡ	0.11
j	j	0.251
k	-	0.161
ç	kʰ	0.611
ŋː	ŋ	0.971
ɡː	ç	0.401
ʋ	w	0.111
ʰkː	ŋ_k	0.611
ʰtː	x	0.311
ˈiː	ˈae̯	0.071
ˈiː	ˈɪ	0.151
ˈuː	ˈɪ	0.061
ˈyː	ˈyː	0.351
ˈæː	ˈɛː	0.671
ˈɑː	ˈɒː	0.181
ˈɔ	ˈɔ	0.051
ˈɛ	ˈa	0.091
ˈɛ	ˈɛ	0.361
ˈɪ	ˈɪ	0.931
ˈʏ	ˈɔ	0.1
j	l	0.132
nː	n	0.922
s	s	0.292
ə	-	0.302
ɛ	æ	0.952
ɡː	-	0.402
ɾ	-	0.112
ʋ	f	0.272
ˈeː	ˈɛː	0.552
ˈoː	ˈoː	0.062
ˈoː	ˈeː	0.082
ˈyː	ˈae̯	0.202
ˈɑ	ˈɛː	0.052
ˈɑː	ˈɛ	0.092
ˈɛ	ˈʏ	0.142
ˈɛ	ˈiː	0.2
ˈʉː	ˈœː	0.112
ˈʏ	ˈiː	0.132
b	-	0.053
d	d	0.683
jː	ɡ	0.193
kʰ	-	0.113
l	l	0.963
lː	l	0.953
m	m	0.893
s	z	0.323
ɡ	k	0.053
ʂ	z	0.43
ʋ	m	0.243
ˈeː	ˈaʊ̯	0.063
ˈoː	ˈae̯	0.073
ˈoː	ˈɒː	0.683
ˈuː	ˈuː	0.143
ˈyː	ˈiː	0.363
ˈæʉ̯	ˈaʊ̯	0.813
ˈœʏ̯	ˈuː	0.073
ˈœʏ̯	ˈyː	0.703
ˈɛ	ˈae̯	0.073
ˈɛ	ˈɪ	0.093
ˈʉ	ˈuː	0.083
ˈʉː	ˈae̯	0.343
ˈʉː	ˈuː	0.383
n	n	0.954
tʰ	tʰ	0.304
ŋ	-	0.714
ʋ	v	0.374
ˈuː	ˈae̯	0.054
ˈuː	ˈaʊ̯	0.514
ˈyː	ˈaɪ̯	0.084
ˈɑ	ˈa	0.534
ˈɑː	ˈaː	0.184
ˈɔ	ˈa	0.074
ˈʉ	v_ˈʊ	0.14
ˈʉː	ˈʊ	0.054
ˈʊ	ˈɔ	0.164
ˈʊ	ˈøː	0.164
ˈʏ	ˈuː	0.054
ˈʏ	w	0.064
e	-	0.975
j	-	0.185
t	-	0.095
t	t	0.905
ç	k	0.125
ç	d	0.185
çː	k	0.5
çː	t	0.5
ɑ	n	0.835
ɡ	j	0.095
ɡ	x	0.165
ɡ	ɡ	0.315
ˈæɪ̯	ˈɪ	0.245
ˈɑ	ˈɒː	0.135
ˈɑː	ˈa	0.495
ˈʊ	ˈuː	0.415
d	t	0.076
j	ˈɛ	0.226
ŋ	ɪ	0.286
ˈeː	ˈa	0.06
ˈeː	ˈɛ	0.06
ˈøː	ˈae̯	0.076
ˈøː	ˈɛ	0.136
ˈœʏ̯	ˈaʊ̯	0.126
ˈɔ	ˈœː	0.276
ˈɔ	ˈuː	0.276
ˈʉ	ˈœː	0.106
ˈʊ	ˈa	0.256
ˈʏ	ˈɪ	0.146
ˈʏ	ˈʏ	0.46
b	b	0.947
d	-	0.217
j	h	0.097
jː	ŋ	0.807
kʰ	kʰ	0.887
m	-	0.107
tʰ	b	0.057
ɑ	-	0.147
ɾ	r	0.317
ɾ	æ	0.57
ʂ	ʃ	0.57
ˈeː	ˈae̯	0.127
ˈiː	ˈiː	0.7
ˈuː	ˈiː	0.167
ˈæɪ̯	ˈae̯	0.697
ˈæʉ̯	ˈoː	0.187
ˈøː	ɾ	0.077
ˈøː	ˈɔʏ̯	0.667
nː	-	0.078
s	ʃ	0.358
ə	æ	0.698
ɡ	ŋ	0.138
ɡ	ç	0.218
ɡː	k	0.198
ʰtː	ç	0.08
ˈiː	ˈɛː	0.078
ˈoː	ˈaʊ̯	0.088
ˈæɪ̯	-	0.058
ˈœ	ˈœː	0.138
ˈœ	ˈʏ	0.138
ˈœ	ˈœ	0.178
ˈœ	ˈoː	0.218
ˈœ	-	0.328
ˈœʏ̯	ˈɔʏ̯	0.098
ˈɔ	ˈɒː	0.158
ˈʉ	ˈʊ	0.468
k	k	0.839
tʰ	d	0.639
ʰkː	k	0.389
ʰtː	t	0.609
ˈeː	ˈiː	0.059
ˈæː	ˈaɪ̯	0.329
ˈɑ	ˈaː	0.209
ˈɔ	ˈoː	0.079
ˈɪ	ˈuː	0.069
ˈʉ	ˈʏ	0.069
