Standard Mandarin	Xiang	probability
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	z̩	1.0
ʐ	ʐ	1.0
ʊ	ə	1.0
ʈ͡ʂ	ʦ	1.0
ʂ	s	1.0
ɤ_ɻ	ɤ	1.0
ɛ_n	ẽ	1.0
ɛ	e	1.0
ə	ə	1.0
ɕ	ɕ	1.0
ŋ	n	1.0
z̩	z̩	1.0
y	y	1.0
x_w	ɸ	1.0
x	x	1.0
w_⁵¹	w_²⁴	1.0
w_ɔ	o	1.0
w	w	1.0
t	t	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
o	ə	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_³⁵	j_¹³	1.0
i	i	1.0
f	ɸ	1.0
e	e	1.0
<#_n	<#_l̃	1.0
<#_a	<#_ŋ_a	1.0
<#	<#_ŋ	1.0
a	a	0.926
j	j	0.92
³⁵	¹³	0.895
²¹⁴	⁴¹	0.893
⁵⁵	³³	0.842
n	n	0.842
ʨʰ	ʨʰ	0.667
tʰ	tʰ	0.667
n_²¹⁴	n_⁴¹	0.667
ɤ	ɤ	0.6
ʈ͡ʂʰ	ʦ	0.571
ɥ	j	0.571
u	u	0.545
ɑ	ɒ	0.529
ɑ	a	0.471
⁵¹	⁴⁵	0.438
ʈ͡ʂʰ	ʦʰ	0.429
ɥ	ɥ	0.429
ɤ	ə	0.4
ʨʰ	ʨ	0.333
tʰ	t	0.333
n_²¹⁴	⁴¹	0.333
⁵¹	²¹	0.312
u	ə	0.273
⁵¹	²⁴	0.25
u	o	0.182
⁵⁵	²⁴	0.158
n	nʲ	0.158
²¹⁴	²⁴	0.107
³⁵	²⁴	0.105
j	-	0.08
a	õ	0.074
