Neapolitan	Neapolitan	probability
ˈɔ_k	ɡ	1.0
ˈa_tː	ˈaː_t	1.0
ˈa_t	ˈɛ_d	1.0
ˈa_n	ˈa_ŋ	1.0
ˈa_#>	ˈɛ_r_#>	1.0
ʧ	ˈuː_z	1.0
ʦː	-	1.0
ʦ_ə	θ_a	1.0
ʤː	ð	1.0
ʤ	ð	1.0
ʎː	j	1.0
ʃ_ə_#>	z_#>	1.0
ʃ_p	s_p	1.0
ɾ_t	r_t	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
w_ˈɔ	ˈɔ	1.0
tː	t	1.0
sː_ə_#>	s_#>	1.0
rː	-	1.0
r	r	1.0
p_w	p	1.0
o	u	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_j	ʧ	1.0
kː	k	1.0
k_w	k	1.0
j_ˈɛ	ˈɛ	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː	d	1.0
d	d	1.0
bː	b	1.0
b	b	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ð	1.0
<#_a	<#	1.0
k	k	0.914
ə_#>	#>	0.9
a	a	0.867
s	s	0.864
v	v	0.833
p	p	0.808
u	u	0.8
ə	a	0.758
t	t	0.724
ɲː	ɲ	0.714
#>	r_#>	0.714
ɾ	r	0.681
ə_ɾ	e	0.667
ˈɔ	ˈɔː	0.654
j	-	0.636
i	-	0.615
ʃː	θ	0.6
nː	n	0.6
k_j	p_j	0.6
ˈa	ˈɛ	0.562
ʃ	θ	0.545
n	ŋ	0.529
ˈo	ˈʌu̯	0.5
ˈe	ˈa	0.471
ʃː	s_e	0.4
nː	ŋ_d	0.4
k_j	ʧ	0.4
ˈi	ˈe	0.394
w	-	0.385
i	i	0.385
n	n	0.353
ə_ɾ	d_e	0.333
w	ˈuː	0.308
w	w	0.308
ˈɛ	ˈɛ	0.304
ˈo	-	0.3
ˈe	-	0.294
ˈu	ˈo	0.29
ɲː	ð	0.286
#>	a_#>	0.286
t	d	0.276
ˈi	ˈiː	0.273
ˈa	ˈaː	0.25
ˈe	ˈa_j	0.235
ˈu	ˈuː	0.226
ˈɛ	ˈɛː	0.217
ˈɛ	-	0.217
ˈo	ˈo	0.2
u	-	0.2
ˈu	ˈʌu̯	0.194
ˈu	ˈʌ	0.194
p	v	0.192
ˈa	ˈa	0.188
ʃ	z	0.182
j	ʤ	0.182
j	j	0.182
ˈɛ	ˈæ	0.174
v	b	0.167
ˈɔ	ˈo	0.154
ʃ	s	0.136
ʃ	f_j	0.136
s	z	0.136
a	u	0.133
n	-	0.118
ˈɔ	ˈɔ	0.115
ɾ	e	0.106
ə_#>	r_#>	0.1
ˈu	ˈɔ	0.097
ˈi	ˈi	0.091
ˈi	ˈa	0.091
ˈi	-	0.091
ˈɛ	ˈiː	0.087
k	ɡ	0.086
ɾ	r_e	0.085
ɾ	d	0.085
ˈɔ	ˈʌ	0.077
ə	l	0.065
ˈi	ˈa_j	0.061
