Swabian	Swabian	probability
ˈʌ	ˈɪ_ɹ	1.0
ˈɛː	-	1.0
ˈəi̯	ˈʊ̯iː	1.0
ˈɔə̯	ˈɔːu̯	1.0
ˈɔ	-	1.0
ˈuː	-	1.0
ˈu_ɡ	ʰʧ	1.0
ˈu	-	1.0
ˈeː	-	1.0
ʣ	ˈœ_ʰt	1.0
ʃ_l	s_l	1.0
ʃ_d	s_t	1.0
ŋ_ɡ	ʰk	1.0
x_d	ʰt	1.0
x	-	1.0
s_ʌ	ʰt͡n̥	1.0
p͡f	pʰ	1.0
n_d	nː	1.0
l_e	t͡l̥	1.0
j	-	1.0
eə̯	ˈɛ_ʰt	1.0
b̥͡f	ʰp	1.0
b_ʁ	b̥_ɹ	1.0
b_#>	v_ʊ_ɹ_#>	1.0
<#_ʋ	<#	1.0
<#_ʁ	<#_ɹ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d̥	1.0
m	m	0.905
h	h	0.9
a	a	0.889
d_#>	#>	0.833
ʁ	ɹ	0.818
ʕ	ɹ	0.8
ʋ	v	0.778
l	l	0.778
ˈae̯	-	0.75
b	b̥	0.722
ˈuə̯	ˈɔːu̯	0.714
ˈo	ˈʊ	0.667
ŋ	ŋ_ɡ̊	0.667
ç	k	0.667
n	n	0.667
kʰ	kʰ	0.667
f	f	0.621
ˈɪ	ˈɪ	0.6
ˈɔː	ˈɔ̯aː	0.6
ˈɔe̯	ˈai̯	0.6
#>	ʊ_ɹ_#>	0.558
ʦ	tʰ	0.556
ˈe	ˈɪ	0.5
ˈe	-	0.5
ˈao̯	ˈʉːu̯	0.467
ˈa	ˈa	0.458
ˈɪ	-	0.4
ˈɔː	-	0.4
ˈɔe̯	ˈaːi̯	0.4
ˈoː	ˈɛːi̯	0.4
ˈoː	-	0.4
ˈaː	ˈɛːa̯	0.4
ʃ	ʃ	0.4
s	t	0.393
ˈi	ˈiː	0.385
s	s	0.357
ˈiə̯	ˈɔːu̯	0.333
ˈiə̯	ˈøː	0.333
ˈiə̯	ɡ̊	0.333
ʃ	s	0.333
ç	-	0.333
kʰ	ʧʰ	0.333
ʌ	ɪ_ɹ	0.318
ˈi	-	0.308
d	d̥	0.306
ˈuə̯	ˈøː	0.286
b	v	0.278
ʃ	s_k	0.267
ˈae̯	ˈʊ	0.25
ˈa	ˈɛːa̯	0.25
ɡ	ɡ̊	0.25
ɡ	-	0.25
ʦ	ʈ	0.222
ʦ	-	0.222
ŋ	ŋ	0.222
n	-	0.222
d	tʰ	0.222
ˈɛ	ˈɛ	0.211
ˈoː	ˈɔ	0.2
ˈo	-	0.2
ˈaː	ˈɔ̯aː	0.2
ˈaː	ˈɔ	0.2
ˈaː	-	0.2
ˈao̯	ˈɛːi̯	0.2
ˈao̯	-	0.2
ʕ	ɹ_a	0.2
ɡ	ʤ̊	0.2
ʌ	ʊ	0.182
ʁ	ɹ_ˈɛ	0.182
#>	a_#>	0.182
s	ʰt	0.179
f	p	0.172
#>	ɹ_#>	0.169
ˈa	ˈɔ	0.167
d_#>	ʊ_ɹ_#>	0.167
ˈɛ	ˈɪ	0.158
ˈɛ	ˈeː	0.158
ˈɛ	j	0.158
ˈi	ˈɪ	0.154
ˈi	ˈœ	0.154
ɡ	v̥	0.15
l	t͡l̥	0.148
d	w	0.139
f	v	0.138
ʌ	ɹ_ʊ	0.136
ˈo	ˈɔ	0.133
ˈao̯	ˈɪ_ɡ̊	0.133
ˈa	ˈɛ	0.125
ʋ	kʰ_v	0.111
ʋ	-	0.111
ŋ	ɲ	0.111
n	nː	0.111
d	j	0.111
ˈɛ	ˈøː	0.105
ˈɛ	ˈa	0.105
ˈɛ	-	0.105
ɡ	ʊ	0.1
h	-	0.1
m	mː	0.095
ʌ	ɹ_ɪ	0.091
ʌ	ɹ	0.091
ʌ	ɡ̊_ʊ	0.091
ʌ	a_ɹ	0.091
l	l̥	0.074
s	sː	0.071
f	ʰp	0.069
d	ʰt	0.056
d	ʧʰ	0.056
d	j_ʊ	0.056
d	-	0.056
a	n̥	0.056
a	j_a	0.056
