Mainland North Frisian	Old West Norse	probability
ˈɒː	-	1.0
ˈœi̯	-	1.0
ˈu	-	1.0
ɣ̥	-	1.0
ɡ	ɟ	1.0
ɛi̯	ɑː	1.0
ə_v̥	v_r̥	1.0
ə_n	u	1.0
ŋ_k	kː	1.0
ç	-	1.0
x	tː	1.0
w	ɣ	1.0
v̥	f_r̥	1.0
t_v	tʰ	1.0
s_ˈeː	s_ˈe	1.0
nʲ	n_d	1.0
j_ˈa	ˈe	1.0
j_ə	ɣ	1.0
dʲ	ð	1.0
b	b	1.0
s	s	0.945
ʀ	r	0.907
m	m	0.907
h	h	0.886
f	f	0.874
v	v	0.873
ŋ	ŋ	0.872
tʲ	t	0.846
d̥	ð	0.84
l	l	0.786
n	n	0.742
i	-	0.738
p	p	0.721
d	θ	0.701
ˈɛ	ˈøː	0.68
j	-	0.652
ˈaː	ˈo	0.626
ˈɛi̯	-	0.622
ˈɔ	ˈo	0.6
d_ə	ð	0.553
z	t	0.549
ˈeː	-	0.533
ə	ɑ	0.531
ˈɛː	-	0.5
ˈai̯	ˈe	0.5
ˈai̯	-	0.5
z̥	ð	0.5
z̥	nː	0.5
ˈyː	-	0.477
ˈeː	ˈɑ	0.467
k	k	0.466
ˈʊ	ˈu	0.46
ə_ʀ	i_r̥	0.46
t	t	0.454
z	s	0.451
d_ə	ð_i	0.447
ˈa	ˈɑ	0.444
ʃ	s_k	0.444
ˈi	ˈiː	0.429
lʲ	l_d	0.429
ˈɒ	-	0.423
ˈʏ	ˈuː	0.417
ˈɔ	-	0.4
ˈœ	-	0.4
ˈɔu̯	ˈɑː	0.39
ˈɛi̯	ˈɛː	0.378
ˈœː	ˈu	0.374
ˈaː	ˈi	0.374
ˈɔː	ˈu	0.372
ˈɔː	-	0.366
ˈɒ	ˈɑ	0.363
ʃ	s_c	0.357
j	j	0.348
ˈœː	ˈyː	0.346
ˈɔu̯	-	0.332
ˈiː	ˈɛi̯	0.328
ˈɛː	ˈɑ	0.324
ˈɛ	ˈeː	0.32
ˈyː	ˈɑu̯	0.314
d	ʝː	0.299
ˈi	-	0.295
lʲ	lː	0.286
lʲ	l	0.286
ˈœː	-	0.28
ˈɔu̯	ˈoː	0.278
ˈi	ˈi	0.276
ˈuː	ˈɑ	0.272
ˈuː	-	0.272
k	kʰ	0.272
ə_ʀ	ɡ_r̥	0.27
ə_ʀ	r̥	0.27
ˈœ	ˈoː	0.265
ˈɔː	ˈuː	0.262
i	ɣ	0.262
ˈʊ	ˈɑ	0.247
ˈuː	ˈɑu̯	0.231
t	θ	0.227
ˈuː	ˈɑː	0.224
ˈɒ	ˈe	0.214
ə	-	0.213
ˈyː	ˈɒu̯	0.209
ˈœ	ˈɑ	0.208
t	tʰ	0.203
ˈɛː	ˈe	0.176
ˈʏ	ˈu	0.173
ˈa	ˈi	0.173
ˈʏ	-	0.171
d̥	-	0.16
ˈʊ	-	0.159
n	nː	0.159
p	pː	0.156
tʲ	θ	0.154
l	lː	0.154
k	-	0.146
ˈiː	j_ˈoː	0.143
ˈa	ˈeː	0.139
ˈa	-	0.139
ˈʊ	ˈy	0.134
ˈiː	ˈøy̯	0.133
ŋ	ŋ_ɟ	0.128
v	x_w	0.127
ˈœ	ˈu	0.126
f	-	0.126
ə	i	0.123
p	pʰ	0.123
ˈʏ	ˈy	0.12
ˈʏ	ˈyː	0.118
k	cʰ	0.117
h	ç	0.114
ˈiː	j_ˈuː	0.11
ʃ	c	0.104
t	tː	0.101
ʃ	ʦ	0.095
m	-	0.093
ˈiː	ˈiː	0.079
ˈiː	ˈɑː	0.077
ˈiː	-	0.077
ə	a	0.065
ˈa	ˈe	0.061
s	sː	0.055
ˈiː	ˈoː	0.053
n	s	0.051
