Lower Sorbian	Bulgarian	probability
ˈɪ_t	ˈa_t	1.0
ˈɔ_k	ˈa_k	1.0
ˈi	ˈi	1.0
ʨ	t	1.0
ʦ_ˈɛ	ʦʲ	1.0
ʒ	ʒ	1.0
ʑ_e	dʲ	1.0
ʑ	d	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʂ	r	1.0
ɲ	n	1.0
ɨ	ɛ	1.0
ɡ̊	ɡ̊	1.0
ɡʲ	ɐ	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
z̥	z̥	1.0
x	x	1.0
w	ɫ	1.0
v_ɨ	f	1.0
v	v	1.0
t͡ʂ	ˈi_ʦ	1.0
t_ˈɔ	t_ˈɔ	1.0
t	t	1.0
s	s	1.0
rʲ	r	1.0
r_ˈɔ	r_ˈa	1.0
r	r	1.0
p	p	1.0
nʲ	nʲ	1.0
n_ɨ	ɛ_n	1.0
n	n	1.0
m	m	1.0
l_ɛ	lʲ_ˈa	1.0
kʲ_i	ɐ_k	1.0
i	ˈi	1.0
f	f	1.0
e_ɕ	ɛ_t	1.0
d̥	d̥	1.0
d_w	ɫ	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
b	b	1.0
k	k	0.954
d	d	0.872
z	z	0.811
ˈɨ	ˈi	0.75
pʲ	p	0.743
mʲ	m	0.694
j	j	0.689
ɔ	o	0.663
e	-	0.607
vʲ	v	0.602
a	ˈa	0.597
ˈa	ˈa	0.529
l	l	0.517
ʦ	ʧ	0.485
ˈɪ	ˈa	0.473
ˈɛ	o	0.422
ˈe	ˈɛ	0.409
a	ɐ	0.403
vʲ	vʲ	0.398
e	ˈɛ	0.393
ˈɔ	ˈɔ	0.37
ʦ	ʦ	0.356
ˈu	ˈɤ	0.355
ˈɪ	ɛ	0.344
ɔ	ɛ	0.337
ˈe	ˈɤ	0.324
ˈɛ	ˈɔ	0.322
j	-	0.311
mʲ	mʲ	0.306
ˈe	ɛ	0.268
l	ɫ	0.263
pʲ	pʲ	0.257
ˈɨ	i	0.25
ˈu	u	0.246
l	lʲ	0.22
ɕ	j_ɐ	0.218
ˈu	ˈu	0.203
ˈu	-	0.197
ˈa	ˈɛ	0.197
z	ʒ	0.189
ˈɛ	-	0.186
ˈɪ	ˈɛ	0.183
ɕ	t	0.182
ˈɔ	o	0.165
ˈa	ˈɤ	0.165
ɕ	ɐ	0.161
ɕ	-	0.161
ʦ	ʃ	0.159
ɕ	r	0.152
d	d_ɐ	0.128
ˈɔ	ˈɤ	0.12
ˈa	ɛ	0.109
ˈɔ	ɛ	0.108
ˈɔ	ˈɛ	0.079
ˈɔ	ˈa	0.079
ˈɔ	ɐ	0.079
ˈɛ	ɛ	0.07
ɕ	ɐ_t	0.07
ɕ	tʲ	0.056
