Logudorese	Logudorese	probability
ˈɛ_ɾ	ˈi_ɾ	1.0
ˈi_k	ˈi_kː	1.0
ʦ	s	1.0
ʃ	ʃː	1.0
ɾ_u	ɾ_ʊ	1.0
ɲ	ɲː	1.0
ɛ̆	j	1.0
ɛ_ɾ	ɾ	1.0
ɛ_#>	#>	1.0
ɖː	ɖː	1.0
ɔ̆	-	1.0
ŋ_ɡ	n_ɕ	1.0
ð_ɛ_#>	#>	1.0
ð	t	1.0
ŭ	-	1.0
t_ɔ	ʈː	1.0
s_k	ʃː	1.0
p_ɾ	c	1.0
p	p	1.0
nː_ɛ	n_ɪ	1.0
nː	nː	1.0
n_ɛ	ʊ	1.0
l_ɛ	l_i	1.0
k_ˈu	k_ˈu	1.0
k_ɾ	k_ɾ	1.0
j_z	j	1.0
i_s	ʃ	1.0
i_#>	ɪ_#>	1.0
f_ɾ	ç	1.0
ă	-	1.0
a_ð	a_t	1.0
a_z	ɪ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_j	1.0
<#_ɾ	<#_ʐ	1.0
<#_t	<#_t	1.0
<#_o	<#_a	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_j	1.0
a	a	0.972
ˈa	ˈa	0.968
f	f	0.952
ˈu	ˈu	0.912
ˈi	ˈi	0.884
l	l	0.872
ɛ	ɪ	0.87
ʣ	ɟː	0.857
u	ʊ	0.851
n	n	0.851
s	s	0.833
ˈɛ	ˈɛ	0.76
z	-	0.75
m	m	0.75
ˈe	ˈɛ	0.727
β	p	0.667
ˈo	ˈɔ	0.667
n_ʣ	ɲː	0.667
d	d	0.667
k	k	0.594
ˈɔ	ˈɔ	0.577
#>	a_#>	0.571
e	i	0.556
t	t	0.514
ɾ	ɾ	0.507
ɡ	ɡ	0.5
ɡ	-	0.5
r	ʐː	0.5
r	ɾ_n	0.5
b	v	0.465
e	ɪ	0.444
ɣ	k	0.435
#>	ɪ_#>	0.429
j	cː	0.417
j	-	0.417
ɔ	ɪ	0.4
ˈɔ	ˈu	0.346
ɾ	r	0.343
β	-	0.333
n_ʣ	ɲ	0.333
d	-	0.333
t	tː	0.324
ɣ	ɕ	0.304
i	i	0.304
i	-	0.304
ɔ	u	0.3
k	ɕ	0.281
b	b	0.279
z	z	0.25
ˈo	ˈo	0.2
ɔ	ʊ	0.2
ˈe	ˈi	0.182
i	ɪ	0.174
j	ʤ	0.167
ˈɛ	ˈi	0.16
n	-	0.149
ʣ	lː	0.143
ˈo	ˈu	0.133
i	ɾ	0.13
b	ɡ	0.116
m	ŋ	0.111
ɔ	o	0.1
s	sː	0.1
b	j	0.093
ˈe	ˈe	0.091
ˈu	ˈɔ	0.088
ɣ	ʤː	0.087
ɣ	ɪ_ɕ	0.087
ɣ	j	0.087
i	v	0.087
m	mː	0.083
t	-	0.081
ˈɛ	ˈe	0.08
ˈɔ	ˈo	0.077
l	ɖː	0.077
ˈi	ˈi_v	0.07
s	ɖː	0.067
k	kː	0.062
k	k_ˈu	0.062
ɾ	ɽ	0.06
ɾ	-	0.06
m	-	0.056
ɛ	ʊ	0.054
t	ʦː	0.054
u	-	0.053
l	-	0.051
