Štokavian	Lithuanian	probability
ʨ	k_tʲ	1.0
ʧ	-	1.0
ʦ	-	1.0
ʒ	ɡʲ	1.0
ʎ	lʲ	1.0
ʃ	-	1.0
ɲ	nʲ	1.0
ɡ̊	ɛ_nʲ	1.0
ɡ_û	aː	1.0
ɡ	ɡ	1.0
ǔː	-	1.0
ǔ	ˈʊ	1.0
ûː_n	âʊ̯	1.0
u	uə̯	1.0
r̩̂	rʲ	1.0
r̩̂ː	r	1.0
p	pʲ	1.0
ǒ	-	1.0
l	ɫ	1.0
k_a	s	1.0
j_ěː	ɐɪ̯	1.0
i	ɪ	1.0
ěː	-	1.0
ě_z	ˈɛ	1.0
d_a	ɐ	1.0
ǎ	-	1.0
a_k	ˈʊ_s	1.0
b	b	0.803
î	ûː	0.725
û	ˈɪ_ɫ	0.719
e	-	0.709
âː	-	0.708
d	d	0.706
ǎː	-	0.667
ôː	ǎː	0.662
ʋ	vʲ	0.622
ě	-	0.601
z	ʑ	0.6
n	n	0.554
x	ʃ	0.546
k	k	0.539
ô	-	0.532
j	-	0.517
m	m	0.507
eː	ɐ	0.506
îː	-	0.502
ûː	-	0.5
m	mʲ	0.493
ô	æ̌ː	0.468
â	-	0.456
x	sʲ	0.454
t	t	0.448
n	s	0.446
t	tʲ	0.437
êː	eː	0.424
r	rʲ	0.402
z	ʒ	0.4
ě	ɛ	0.399
o	ˈɪ_s	0.389
êː	ɛ	0.389
ê	ɛ	0.377
ê	æ̌ː	0.377
a	-	0.365
o	-	0.352
ôː	ɐ	0.338
r	r	0.335
ûː	ɫ̌	0.333
ǎː	z	0.333
â	oː	0.317
îː	uː	0.316
s	ʃ	0.297
k	s	0.297
d	dʲ	0.294
s	sʲ	0.293
âː	ǒː	0.292
e	ɛ	0.291
eː	-	0.283
û	ɐʊ̯	0.281
r	r_ɐ	0.263
o	s	0.259
j	êː	0.258
s	ɕ	0.256
ê	-	0.245
a	ɐ	0.239
a	ˈɐ	0.232
â	ôː	0.228
j	âɪ̯	0.225
ʋ	v	0.22
eː	ɪ	0.211
b	bʲ	0.197
êː	ǐə̯	0.187
îː	îː	0.182
ûː	ɛ̂ʊ̯	0.167
k	kʲ	0.164
s	s	0.154
î	ɛɪ̯	0.138
î	æ̂ɪ̯	0.138
a	eː	0.116
ʋ	v_ɐ	0.102
t	s	0.077
ʋ	vʲ_ɪ	0.056
