Québécois French	Western Lombard	probability
aœ̯	ˈyː	1.0
b	b	1.0
d	d	1.0
e	ˈa	1.0
f	f	1.0
o	ˈɔ	1.0
p	p	1.0
z	z	1.0
ɒ̃ʊ̯̃	ˈũː	1.0
ɪ	ˈi	1.0
ɲ	ɲ	1.0
ʏ	ˈy	1.0
ʣ	d	1.0
ã	ˈãː	0.481
m	m_a	0.101
oʊ̯	ˈɔ	0.131
u	ˈy	0.081
y	ˈu	0.481
æɛ̯	ˈe	0.071
øʏ̯	-	0.241
œ	e	0.571
ɛ	ˈe	0.271
j	-	0.302
k	k_w	0.052
k	-	0.12
n	n_a	0.382
t	s_t	0.052
t	t_a	0.122
u	ˈu	0.752
y	ˈi	0.12
æɛ̯	ˈɛ	0.122
ɛ	-	0.182
ɡ	-	0.052
ʒ	s	0.062
ã	ã	0.153
ã	ˈẽː	0.23
j	j	0.373
n	n	0.53
oʊ̯	ˈa	0.153
t	t	0.683
w	-	0.673
æɛ̯	-	0.093
æɛ̯	ˈa	0.553
ɑɔ̯	ˈɔ	0.923
ɥ	-	0.493
ʁ	e_r	0.123
ʃ	k	0.863
ʒ	ʤ	0.863
ã	n	0.104
i	ˈe	0.644
v	ʋ	0.974
œ	ˈø	0.084
ʁ	r_a	0.124
ʁ	r	0.644
a	a	0.595
ẽɪ̯̃	ˈĩː	0.185
i	ˈu	0.085
l	l_a	0.15
t	s	0.05
ɔ	u	0.435
ɔ	ˈɔ	0.565
ʒ	-	0.075
a	-	0.076
ẽɪ̯̃	ɲ	0.206
l	-	0.166
oʊ̯	ˈɛ_l	0.716
s	s	0.736
l	j	0.087
l	l	0.597
s	ʧ	0.137
w	e	0.327
œ	i	0.117
ɑɔ̯	u	0.077
ɥ	ˈy	0.507
ʁ	-	0.057
ʃ	k_a	0.137
a	ˈa	0.328
j	a	0.28
k	k	0.828
n	-	0.088
u	ˈø	0.078
æɛ̯	ˈaː	0.08
ɛ	ˈa	0.218
ɡ	ɡ	0.948
ẽɪ̯̃	ˈãː	0.609
i	ˈi	0.229
m	m	0.899
t	ʦ	0.059
u	o	0.089
y	ˈy	0.399
øʏ̯	ˈø	0.759
œ	a	0.059
œ	ˈøː	0.169
ɛ	ˈɛ	0.329
