Old Prussian	Old Prussian	probability
ɡ_i_s_#>	ɦ_#>	1.0
ŋ	u	1.0
uː	-	1.0
t_i_s_#>	tʲ_#>	1.0
oːu̯	-	1.0
o_n	e	1.0
l_i	ɫ	1.0
j	-	1.0
iː	-	1.0
i_t	ʤ	1.0
i_l	ɔ_ˈ	1.0
eːi̯	-	1.0
eː	lʲ_ɑ	1.0
d	d	1.0
b	b	1.0
aːu̯	w	1.0
aːi̯	-	1.0
aː	-	1.0
ai̯	d_ɪ	1.0
a_n_#>	j_#>	1.0
<#_s	<#_s	1.0
r	r	0.846
i	-	0.824
#>	ˈ_#>	0.824
m	m	0.8
z	z	0.778
k	k	0.75
l	lʲ	0.714
s	-	0.692
t	t	0.636
p	p	0.571
a_n	ɔ	0.5
a_n	ɑ	0.5
o	ɔ	0.462
n	-	0.444
p	-	0.429
e	-	0.389
u	ɔ	0.385
v	ʋ	0.364
a	i_ˈ	0.35
ɡ	ʒ	0.333
ɡ	z	0.333
u	ɪ_ˈ	0.308
o	-	0.308
l	ɫ	0.286
n	nʲ	0.278
n	n	0.278
v	ʋʲ	0.273
k	ʧ	0.25
o	ɑ	0.231
ɡ	ɦ	0.222
z	zʲ	0.222
e	ɛ_ˈ	0.222
e	ɑ	0.222
m	-	0.2
v	w	0.182
v	-	0.182
t	tʲ	0.182
t	-	0.182
i	ɐ	0.176
#>	e_#>	0.176
e	ɐ	0.167
u	u	0.154
u	-	0.154
r	r_ɔ	0.154
a	ɔ_ˈ	0.15
a	ɔ	0.15
a	-	0.15
s	s	0.128
ɡ	ɦʲ	0.111
s	sʲ	0.103
a	ɑ	0.1
a	w	0.1
s	ɪ_ˈ	0.077
