Čakavian	Bulgarian	probability
aː	ɐ	1.0
â	ˈa	1.0
âː	ˈa	1.0
ǎː	ˈa	1.0
b	b	1.0
d	d	1.0
êː	ˈɛ	1.0
iː	i	1.0
k	k	1.0
ôː	ˈɔ	1.0
p	p	1.0
r	r	1.0
uː	ɐ	1.0
ǔː	ˈɤ	1.0
x	x	1.0
z	z	1.0
ɲ	n	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
î	ˈi	0.231
î	ˈa	0.491
n	n	0.921
r̩̂	r_ˈɤ	0.171
ûː	ˈɤ	0.241
ʋ	f	0.071
e	ɛ	0.822
ô	o	0.372
ê	ɛ	0.243
îː	ˈa	0.583
s	<#_p	0.073
ʋ	v	0.743
i	ˈi	0.274
l	l	0.194
m	mʲ	0.204
o	o	0.714
a	ɐ	0.615
i	ɐ	0.726
m	m	0.796
o	ˈɔ	0.286
ʋ	-	0.186
a	ˈa	0.177
ê	ˈɛ	0.757
îː	ˈi	0.417
l	ɫ	0.657
n	m	0.067
s	s	0.927
a	ɛ	0.208
e	ˈɛ	0.178
î	ˈɛ	0.278
ô	ˈɔ	0.628
t	t	0.978
ûː	ˈɤ_ɫ	0.38
ûː	ˈu	0.38
ɡ	ɡ	0.958
l	lʲ	0.149
r̩̂	r	0.829
