Limburgish	Ripuarian	probability
#>	#>	0.953
<#	<#	1.0
b	b	0.914
b	-	0.08
d	d	0.877
d	-	0.068
d	ʦ	0.052
f	f	1.0
j	-	0.589
j	j	0.205
j	l	0.135
j	t	0.06
j_#>	#>	0.057
k	k	0.683
k	ɕ	0.163
k	x	0.082
l	l	1.0
m	m	1.0
n	n	0.79
n	ŋ	0.189
p	f	0.582
p	p	0.413
s	ʃ	0.56
s	s	0.438
t	t	0.413
t	s	0.213
t	ʦ	0.197
t	k	0.143
v	f	0.787
v	v	0.209
w	l	0.488
x	ɕ	0.553
x	x	0.296
x	k	0.107
z	z	0.826
z	ʃ	0.162
ŋ	ŋ	0.956
ə	ə	0.503
ə	ɐ	0.297
ə	-	0.173
ɡ	ɣ	0.488
ɣ	j	0.613
ɣ	-	0.137
ɣ	ɣ	0.137
ɣ	ŋ	0.09
ɦ	h	1.0
ɪ	ɪ	0.758
ɪ	ə	0.088
ɪː	ˈɪ	0.488
ʀ	ʀ	0.57
ʀ	ɐ	0.188
ʀ	-	0.166
ʀ	d_ɐ	0.069
ʀ_#>	#>	1.0
ʀ_t	t	0.562
ʀ_t	ʦ	0.384
ʃ	ʃ	1.0
ʦ	ʃ	0.238
ˈaː	ˈa	0.593
ˈaː	ˈaː	0.273
ˈaː	ˈɛː	0.116
ˈeː	ˈeː	0.379
ˈeː	ˈɛː	0.259
ˈeː	ˈɛ	0.237
ˈi	ˈiː	0.359
ˈi	ˈeː	0.288
ˈi	ˈɪ	0.266
ˈi	ˈøː	0.051
ˈiː	ˈiː	0.679
ˈiː	ˈeː	0.096
ˈiː	ˈœ	0.096
ˈiː	ˈɛ	0.096
ˈoː	ˈoː	0.322
ˈoː	ˈɔ	0.322
ˈoː	ˈu	0.238
ˈoː_j	ˈoː	1.0
ˈu	ˈuː	0.837
ˈu	ˈyː	0.135
ˈuː	ˈuː	0.814
ˈuː	ˈaʊ̯	0.082
ˈuː	ˈoː	0.06
ˈv	f	0.488
ˈyː	ˈyː	1.0
ˈæ	ˈɛ	0.378
ˈæ	ˈɛː	0.349
ˈæː	ˈɛ	1.0
ˈæː_ʀ	ˈɛː	1.0
ˈøː	ˈøː	0.556
ˈøː	ˈʏ	0.242
ˈøː	ˈoː	0.139
ˈøː	ˈyː	0.052
ˈœ	ˈœ	0.561
ˈœ	ˈa	0.28
ˈœ	ˈaʊ̯	0.104
ˈœi̯	ˈøː	0.349
ˈœi̯	ˈyː	0.196
ˈœi̯	ˈʏ	0.119
ˈœi̯	ˈɔʏ̯	0.11
ˈœː	ˈɔ	0.5
ˈœː	ˈʊ	0.5
ˈɑ	ˈa	0.541
ˈɑ	ˈaː	0.362
ˈɑ	ˈɛ	0.086
ˈɑː	ˈa	0.742
ˈɑː	ˈaː	0.177
ˈɒː	ˈoː	0.652
ˈɒː	ˈaː	0.228
ˈɒː	ˈɔ	0.111
ˈɔ	ˈɔ	0.674
ˈɔ	ˈoː	0.147
ˈɔ	ˈu	0.067
ˈɔu̯	ˈaʊ̯	0.322
ˈɔu̯	ˈoː	0.322
ˈɔː	ˈoː	0.32
ˈɔː	ˈɔ	0.32
ˈɔː	ˈaʊ̯	0.136
ˈɔː	ˈo	0.136
ˈɛ	ˈe	0.335
ˈɛ	ˈɛ	0.196
ˈɛ	ˈaː	0.117
ˈɛ	ˈɪ	0.108
ˈɛ	ˈiː	0.059
ˈɛi̯	ˈeɪ̯	0.488
ˈɛː	ˈeː	0.567
ˈɛː	ˈe	0.127
ˈɛː	ˈɪ	0.127
ˈɛː	ˈiː	0.088
ˈɛː	ˈɛ	0.069
ˈɛːi̯	ˈeɪ̯	1.0
ˈɪ	ˈe	0.425
ˈɪ	ˈiː	0.17
ˈɪ	ˈɪ	0.17
ˈɪ	ˈœ	0.071
ˈɪː	ˈe	0.397
ˈɪː	ˈa	0.231
ˈɪː	ˈɪ	0.231
ˈɪː	ˈʏ	0.132
ˈʊ	ˈo	0.488
ˈʊː	ˈoː	0.556
ˈʊː	ˈo	0.174
ˈʊː	ˈɔ	0.132
ˈʊː	-	0.059
ˈʊː	ˈuː	0.059
ˈʊː_ʀ	ˈoː	1.0
ˈʏ	ˈœ	0.322
ˈʏ	ˈɛ	0.322
ˈʏː	ˈœ	0.629
ˈʏː	ˈʊ	0.202
β	ʋ	0.854
β	v	0.092
β	t	0.053
