Standard German	Standard German	probability
ˈɛː	ˈɛː	1.0
ˈɛ_ɐ	ˈɛː_ɾ	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈeː_ə	ˈiːə̯	1.0
ˈaɪ̯_n	ˈɪə̯_n	1.0
ˈa_l	ˈɑu̯	1.0
ʦ	t	1.0
ʃ_#>	s_#>	1.0
ʁ_ˈaɪ̯	ɾ	1.0
ɡ̊_#>	x_#>	1.0
ɡ_n	x_ə	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
ç_t	x_t	1.0
ç_#>	k_#>	1.0
z_ə	z̥	1.0
z	z	1.0
x_t	x_t	1.0
v_ˈaɪ̯	ʋ	1.0
v	ʋ	1.0
tʰ	d	1.0
t_ɐ	ɾ	1.0
s_t	s_t	1.0
s_n	t_ə	1.0
p͡f	p	1.0
p	-	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
k_n	k_ə	1.0
j	j	1.0
f_n	p_ə	1.0
f_#>	p_#>	1.0
eː	iː	1.0
d̥	d̥	1.0
d	d	1.0
b̥	v̥	1.0
b_n_#>	#>	1.0
a	-	1.0
<#_ʦ	<#_t	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_h_ˈaː	<#_ˈɛː	1.0
<#_h_ˈaʊ̯	<#_ˈyː	1.0
<#_h	<#	1.0
<#	<#_ˈoː	1.0
#>	k_#>	1.0
ɡ	x	0.867
f	v	0.864
ˈiː	ˈiː	0.833
l	ɫ	0.829
s	t	0.818
b	b	0.778
ə	ə	0.769
ʁ	ɾ	0.765
n	n	0.75
ˈyː	-	0.714
z̥	z̥	0.714
ˈoː	ˈʊə̯	0.7
ˈa	ˈɑ	0.667
ɪ	ɪ	0.667
t	d̥	0.64
ˈaʊ̯	ˈyː	0.6
ç	k	0.6
x	-	0.6
ˈɛ	ˈæ	0.571
ˈɔʏ̯	-	0.571
ˈaː	ˈɛː	0.562
ˈɪ	ˈɪ	0.545
ˈʊ	ˈɔ	0.533
ˈʏ	ˈɪ	0.5
ˈʏ	ˈɔ	0.5
ˈɔ	ˈɔ	0.5
k	x	0.5
ɐ	ɾ	0.475
ʃ	s	0.474
ˈaɪ̯	ˈi	0.471
ˈuː	ˈuː	0.444
ˈɔʏ̯	ˈiː	0.429
ˈeː	ˈɪə̯	0.4
ˈaʊ̯	ˈʊə̯	0.4
ç	ŋ_k	0.4
x	x	0.4
ɐ	ə_ɾ	0.35
ˈuː	ˈu	0.333
ɪ	i	0.333
ˈoː	ˈøː	0.3
ˈaɪ̯	ˈæi̯	0.294
ˈɛ	ˈeː	0.286
ˈyː	ˈuː	0.286
z̥	-	0.286
ˈɪ	ˈi	0.273
ʃ	z	0.263
ʃ	s_x	0.263
ˈɔ	ˈʊə̯	0.25
ˈaː	ˈɑ	0.25
k	k_ə	0.25
k	k	0.25
t	t	0.24
ˈaɪ̯	ˈɪə̯	0.235
ʁ	-	0.235
ə	-	0.231
ˈuː	-	0.222
b	v	0.222
ˈʊ	ˈu	0.2
ˈeː	ˈɛː	0.2
ˈeː	ˈiː	0.2
ˈeː	ˈeː	0.2
ˈaː	-	0.188
ˈa	ˈɛː	0.185
s	t_ə	0.182
ɐ	ɾ_ə	0.175
ˈiː	-	0.167
ˈɛ	-	0.143
n	ə	0.143
f	v̥	0.136
ˈʊ	ˈʏ	0.133
ˈʊ	-	0.133
ɡ	x_ə	0.133
ˈɔ	ˈʏ	0.125
ˈɔ	-	0.125
t	-	0.12
l	ɫ_ə	0.114
n	n_ə	0.107
ˈɪ	ˈæ	0.091
ˈɪ	-	0.091
ˈa	ˈɒː	0.074
ˈa	ˈæ	0.074
l	l	0.057
