Portuguese	Portuguese	probability
β	β	1.0
ˈɨ_#>	ˈe_#>	1.0
ˈɐ_j	ˈe	1.0
ˈũ	ˈu_n	1.0
ˈu	ˈu	1.0
ˈo_w	ˈo	1.0
ˈo_j	ˈo	1.0
ˈĩ	ˈi_ŋ	1.0
ˈi_ʎ	ˈi	1.0
ˈẽ	ˈe_n	1.0
ˈe_n	ˈe_ɲ	1.0
ˈe_k	ˈe_k	1.0
ˈa_ð	ˈa	1.0
ˈa	ˈa	1.0
ʎ	ʝ	1.0
ʁ	r	1.0
ɾ_ɨ	ɾ_e	1.0
ɾ_ɐ	ɾ_a	1.0
ɾ_t	ɾ_t	1.0
ɾ_n	ɾ_n	1.0
ɾ_#>	ɾ_#>	1.0
ɾ	ɾ	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɨ_ɾ	e_ɾ	1.0
ɨ_#>	#>	1.0
ɣ_u	ˈe_u	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɐ̃_j̃	e	1.0
ɐ̃	-	1.0
ð_u	u	1.0
w_ɐ	w_a	1.0
v_ˈa	β_ˈa	1.0
ũ	e_m	1.0
u_ɾ	o_ɾ	1.0
t_ɐ	t_a	1.0
s_u	s_u	1.0
p_ɨ	p_e	1.0
p	p	1.0
o	o	1.0
m	m	1.0
k	k	1.0
j_ʃ	ʃ	1.0
j_ɐ	n_a	1.0
j_t	ʧ	1.0
j_#>	j_#>	1.0
ĩ	i	1.0
i	i	1.0
f	f	1.0
ẽ	e_n	1.0
d	d	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ʎ	1.0
<#_ɔ	<#_o	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_i	<#_e	1.0
ɐ	a	0.945
ˈe	ˈe	0.893
l	ʎ	0.879
ˈi	ˈi	0.875
ʃ	s	0.875
b	b	0.875
t	t	0.871
ɨ	e	0.861
u	u	0.86
ð	ð	0.857
z	θ	0.75
ˈɛ	j_ˈe	0.714
ˈõ	ˈo_n	0.714
<#	<#_ɡ	0.714
#>	u_#>	0.714
ʒ	ʃ	0.692
ɲ	ɲ	0.667
ˈɐ	ˈe	0.625
s	s	0.561
w̃	ŋ	0.556
ˈo	ˈo	0.543
v	β	0.543
ˈɔ	w_ˈe	0.529
ʃ_#>	s_#>	0.526
n	ɲ	0.5
n	n	0.5
ʃ_#>	θ_#>	0.474
ˈɔ	ˈo	0.471
w̃	n_u	0.444
j	e	0.444
w	w	0.429
ˈɐ̃	ˈa	0.4
ˈɐ	ˈa	0.375
ˈo	w_ˈe	0.371
v	b	0.371
ɲ	n	0.333
j̃	ˈe_ŋ	0.333
j̃	n	0.333
j̃	e	0.333
j	j	0.333
s	θ	0.317
ˈõ	ˈo	0.286
w	ˈo	0.286
w	l	0.286
<#	<#_a	0.286
#>	a_#>	0.286
ˈɐ̃	ˈa_n	0.25
z	-	0.25
j	ˈe	0.222
ˈɛ	ˈe	0.19
ʒ	ʝ	0.154
ʒ	-	0.154
ˈɐ̃	ˈo	0.15
ð	-	0.143
t	ʧ	0.129
ˈi	-	0.125
ʃ	-	0.125
b	f_e	0.125
ˈe	ˈi	0.107
u	o	0.105
ˈɐ̃	ˈa_ŋ	0.1
ˈɐ̃	j	0.1
ˈɛ	ɾ_m	0.095
ˈo	w	0.086
v	b_j	0.086
ɨ	i	0.083
s	-	0.073
l	ˈo_s	0.061
l	-	0.061
ɨ	-	0.056
