Ligurian	Ligurian	probability
ˈɛː_r	ɛ	1.0
ˈɔ_s	o	1.0
ˈy_t	u	1.0
ˈuː_#>	œ_ʁ_#>	1.0
ˈu_ŋ	ɔ̃	1.0
ˈiː_ɡ	i	1.0
ˈi_ŋ	ɛ̃	1.0
ˈeː_ʒ	i	1.0
ˈe_ŋ_t_u_#>	ɑ̃_#>	1.0
ˈe_ŋ	ɑ̃	1.0
ˈe_l	o	1.0
ˈaː_z	e	1.0
ˈaː_#>	e_#>	1.0
ˈa_ŋ	ɛ̃	1.0
ˈa_s	ɛ	1.0
ˈa_n	ɑ̃	1.0
ʤ_a	j	1.0
ʒ_e_#>	a_#>	1.0
ʒ	z	1.0
ʃ_e	t_ʁ	1.0
ʃ	s	1.0
ɲ_u	ɛ̃	1.0
ɲ_a	ɲ	1.0
ɡ_u_#>	#>	1.0
ɡ_r	ʁ	1.0
ɔː	-	1.0
ŋ_a	n	1.0
y	y_l	1.0
w_ˈɛː	ɛ_ʁ	1.0
w_ˈiː	u	1.0
v_u	f	1.0
v_e	ʁ	1.0
u_ŋ	ɔ̃	1.0
t_u	i	1.0
t_a_#>	t_#>	1.0
sː	ʒ	1.0
s_p	e_p	1.0
s_k	e_k	1.0
s_e	s	1.0
r_ˈe	ʁ_w	1.0
r_ˈa	ʁ_ɛ	1.0
r_u	ʁ	1.0
r_t	ʁ	1.0
r_s	ʁ_s	1.0
o	-	1.0
n_j	d_ʁ	1.0
m_e_#>	#>	1.0
m	m	1.0
k_w	k	1.0
j_u	ʁ	1.0
j_a	ʁ	1.0
f	f	1.0
d_e	a_ʁ	1.0
b	b	1.0
a_ŋ	ɑ̃	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ɔ	1.0
<#_ˈaː	<#_o	1.0
<#_ʃ	<#_f_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_a	<#_ɛ	1.0
<#	<#_ɔ	1.0
v	v	0.935
<#_l	<#_l	0.895
u_#>	#>	0.875
e_#>	#>	0.867
r	ʁ	0.852
ˈi	i	0.846
p	p	0.839
l	l	0.833
z	-	0.75
w	-	0.75
ˈɔː	ɔ	0.727
d	d	0.7
ˈø	-	0.667
ˈyː	y	0.667
ʤ_u	j	0.667
i	-	0.667
s	s	0.628
ˈy	y	0.625
ˈɔ	-	0.6
ʤ	ʒ	0.6
a	a	0.579
ˈɛ	ɛ	0.571
ɡ	ɡ	0.571
ˈøː	œ	0.545
n	n	0.545
ˈa	a	0.526
k	ʃ	0.525
ˈuː	u	0.5
t	t	0.5
t	-	0.5
#>	l_#>	0.5
ˈu	u	0.467
ˈɛː	ɛ	0.455
ˈiː	i_ʁ	0.455
ŋ	ɑ̃	0.455
n	-	0.455
j	a	0.45
ˈɛ	-	0.429
ʧ	p_l	0.429
ɡ	-	0.429
k	k	0.425
ˈɔ	ɔ	0.4
ˈaː	ɛ	0.4
ʤ	-	0.4
j	-	0.4
ˈy	-	0.375
ˈɛː	e	0.364
ˈe	w	0.364
ŋ	ɛ̃	0.364
ˈø	œ	0.333
ˈyː	-	0.333
ʤ_u	ø	0.333
i	i	0.333
e	ə	0.333
e	-	0.333
ˈeː	i	0.312
ˈuː	w	0.3
d	-	0.3
ʧ	k_l	0.286
ʧ	-	0.286
s	-	0.279
ˈɔː	o	0.273
ˈøː	ø	0.273
ˈiː	i	0.273
ˈiː	-	0.273
ˈe	ɛ	0.273
ˈu	-	0.267
ˈa	ɛ	0.263
ˈeː	ɛ	0.25
ˈeː	j	0.25
z	z	0.25
w	u	0.25
u	ɔ	0.214
u	ø	0.214
u	u	0.214
u	-	0.214
#>	e_#>	0.214
ˈa	-	0.211
a	l	0.211
ˈuː	ø	0.2
ˈaː	o	0.2
ˈeː	j_ɛ	0.188
ˈɛː	-	0.182
ˈøː	-	0.182
ŋ	n	0.182
l	-	0.167
e	ɛ	0.167
e	a	0.167
p	-	0.161
ˈi	-	0.154
j	a_ʁ	0.15
r	-	0.148
u	ɔ̃	0.143
#>	œ_ʁ_#>	0.143
#>	a_#>	0.143
ˈe	w_a	0.136
ˈe	-	0.136
ˈu	ɔ̃	0.133
ˈu	ɔ	0.133
ˈaː	ɛ_ʁ	0.133
ˈaː	e	0.133
ˈaː	-	0.133
e_#>	ʁ_#>	0.133
a	ʁ	0.105
a	ə	0.105
<#_l	<#	0.105
ˈe	ɑ̃	0.091
u_#>	ʁ_#>	0.083
v	-	0.065
