Megleno-Romanian	Megleno-Romanian	probability
ˈɔ	ˈa	1.0
ˈa_s	ˈa_z	1.0
ʧ	s	1.0
ʤ	z	1.0
ʒ	z	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ɔ	ˈa	1.0
ŋ	ŋ	1.0
w_ˈo	ˈɔ	1.0
v	v	1.0
t_ə	d_a	1.0
s	s	1.0
r_u	r_o	1.0
r_i_#>	r_#>	1.0
r_i	l	1.0
p_t	t	1.0
n_t	ŋ_t	1.0
n_#>	ŋ_#>	1.0
l_#>	o_#>	1.0
kʲ	p	1.0
k_ʎ	ʧ	1.0
j_n	ŋ	1.0
j	-	1.0
i_#>	#>	1.0
f	f	1.0
e̯ˈa_r	ˈe_r	1.0
e̯ˈa	ˈe	1.0
e	e	1.0
b	b	1.0
a	e	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#	<#_t	1.0
#>	o_#>	0.944
r	r	0.909
m	m	0.875
ə	a	0.781
u	o	0.769
i	e	0.769
d	d	0.75
t	t	0.727
n	n	0.727
p	p	0.667
ʃ	s	0.6
l	ɰ	0.6
ˈa	ˈa	0.583
z	z	0.571
ʦ	s	0.538
k	ɡ	0.538
ˈu	ˈo	0.524
ˈo	ˈo	0.5
ʎ	ʤ	0.5
w	v	0.5
w	-	0.5
o̯ˈa	ˈɔ	0.5
o̯ˈa	ˈo	0.5
z	-	0.429
ˈi	ˈe	0.412
ʃ	-	0.4
ˈe	ˈɛ	0.375
ˈi	ˈi	0.353
ˈo	ˈɔ	0.333
ˈa	ˈɛ	0.333
ˈe	ˈe	0.312
k	k	0.308
t	-	0.273
ʎ	ˈi	0.25
ʎ	-	0.25
d	-	0.25
ˈu	ˈɔ	0.238
p	v	0.2
l	l	0.2
l	j	0.2
ˈe	j_ˈe	0.188
n	ŋ	0.182
ˈo	-	0.167
ə	e	0.156
ʦ	z	0.154
ʦ	k	0.154
ʦ	-	0.154
u	r_o	0.154
k	-	0.154
i	a	0.154
ˈu	ˈu	0.143
p	-	0.133
ˈe	-	0.125
m	-	0.125
ˈi	f	0.118
ˈi	-	0.118
ˈu	-	0.095
r	l	0.091
n	-	0.091
ˈa	-	0.083
u	u	0.077
i	o	0.077
ə	o	0.062
#>	a_#>	0.056
