Westphalian	Northern Low Saxon	probability
aɪ̯	aɪ̯	1.0
b	b	0.965
d	d	0.98
f	f	1.0
h	h	1.0
j	ʒ	1.0
k	ɡ	0.638
k	kʰ	0.341
l	l	0.996
m	m	0.963
n	n	0.951
p	b	0.85
p	pʰ	0.088
p	p	0.063
r	r	1.0
s	s	0.517
s	z	0.483
t	d	0.651
t	t	0.194
t	tʰ	0.155
v	v	0.706
v	m	0.19
v	f	0.104
x	ɡ	0.618
x	x	0.382
z	-	0.477
z	z	0.281
z	s	0.242
ç	ç	0.89
ç	-	0.11
ŋ	ŋ	0.935
ŋ	n	0.065
ɐ	ɐ	0.885
ɐ	-	0.064
ə	ə	1.0
ɡ	ŋ	0.714
ɡ	ç	0.18
ɡ	ɡ	0.106
ɣ	-	0.823
ɣ	x	0.177
ɪ	ɪ	0.569
ɪ	i	0.431
ʃ	ʃ	0.926
ʃ	s	0.074
ʋ	v	0.898
ʋ	f	0.102
ˈa	ˈa	0.833
ˈa	ˈaː	0.06
ˈa	ˈeː	0.058
ˈaɪ̯	ˈaɪ̯	0.8
ˈaɪ̯	ˈɔʏ̯	0.119
ˈaʊ̯	ˈaʊ̯	0.975
ˈaː	ˈoː	0.578
ˈaː	ˈaː	0.422
ˈeː	ˈaɪ̯	0.675
ˈeː	ˈaʊ̯	0.131
ˈeː	ˈeɪ̯	0.084
ˈeː	ˈɪ	0.084
ˈiɛ̯	ˈœ	0.424
ˈiɛ̯	ˈaɪ̯	0.232
ˈiɛ̯	ˈeː	0.17
ˈiɛ̯	ˈɛː	0.133
ˈiː	ˈiː	0.963
ˈoː	ˈaʊ̯	1.0
ˈuə̯	ˈoː	0.535
ˈuə̯	ˈuː	0.343
ˈuə̯	ˈøː	0.122
ˈuː	ˈuː	0.834
ˈuː	ˈʊ	0.166
ˈuːə̯	ˈɔ	0.343
ˈuːə̯	ˈøː	0.323
ˈuːə̯	ˈoː	0.156
ˈuːə̯	ˈœ	0.105
ˈuːə̯	ˈɔː	0.073
ˈyə̯	ˈœː	1.0
ˈyː	ˈyː	0.891
ˈyː	ˈɔʏ̯	0.109
ˈyːœ̯	ˈøː	1.0
ˈø	ˈʏ	1.0
ˈøː	ˈɔʏ̯	0.939
ˈøː	ˈøː	0.061
ˈœː	ɐ	0.511
ˈœː	ˈɔʏ̯	0.352
ˈœː	ˈoː	0.138
ˈɒː	ˈoː	1.0
ˈɔ	ˈɔ	0.66
ˈɔ	ˈaʊ̯	0.34
ˈɔː	ˈoː	0.932
ˈɔː	ˈaʊ̯	0.068
ˈɛ	ˈɛ	0.278
ˈɛ	ˈø	0.188
ˈɛ	ˈɪ	0.188
ˈɛ	ˈeː	0.153
ˈɛ	ˈa	0.072
ˈɛ	ˈœ	0.066
ˈɛ	ˈœː	0.057
ˈɛː	ˈɛɪ̯	0.512
ˈɛː	ˈoː	0.32
ˈɛː	ˈa	0.11
ˈɛː	ˈaɪ̯	0.059
ˈɪ	ˈɪ	0.966
ˈɪə̯	ˈeː	0.654
ˈɪə̯	ˈøː	0.346
ˈɪɛ̯	ˈeː	0.331
ˈɪɛ̯	ˈaː	0.257
ˈɪɛ̯	ˈɛ	0.255
ˈɪɛ̯	ˈeɪ̯	0.093
ˈɪɛ̯	ˈa	0.065
ˈʊ	ˈʊ	0.757
ˈʊ	ˈuː	0.172
ˈʊ	ˈʏ	0.058
ˈʏ	ˈʏ	0.918
ˈʏ	ˈʊ	0.082
