Gothic	Gothic	probability
θ_u	d̥	1.0
θ_s	d̥	1.0
θ_a	d_ə	1.0
θ	d̥	1.0
ˈɔː	ˈoː	1.0
ˈuː	ˈœy̯	1.0
ˈoː_n	ˈyː	1.0
ˈoː	ˈu	1.0
ˈeː	ˈaː	1.0
ˈa_l	ˈɑu̯	1.0
ʍ	ʋ	1.0
ɣ	χ	1.0
ɡʷː	ˈœy̯	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	ɾ	1.0
x	χ	1.0
t_#>	d̥_#>	1.0
t	t	1.0
s_#>	#>	1.0
p	p	1.0
nː	n	1.0
m	m	1.0
lː	ɫ	1.0
l_s	ə_ɫ	1.0
l	ɫ	1.0
kʷ	-	1.0
k_ˈi	χ_ˈɪ	1.0
k	k	1.0
j_a	ə	1.0
j	j	1.0
iː	-	1.0
h_l	ɫ	1.0
f_s	v̥	1.0
e	ə	1.0
d_u	d̥	1.0
d_s	d̥	1.0
d	d	1.0
a_n	n	1.0
a_#>	#>	1.0
a	ə	1.0
<#_θ	<#_d	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɡ	<#_χ	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
r	ɾ	0.943
n	n	0.889
b	b	0.867
w	ʋ	0.864
oː	-	0.833
f	v	0.812
ˈiu̯	ˈi	0.8
ˈiː	ˈɛi̯	0.778
ˈɔ	ˈoː	0.75
ɡ	χ	0.714
ˈɛː	ˈeː	0.667
i	-	0.625
<#_s	<#_z	0.619
ˈu	ˈɔ	0.611
β	v	0.6
s_k	s_χ	0.6
n_s	n	0.6
h	ɦ	0.593
ˈɛ	ˈɛ	0.571
u	-	0.571
s	s	0.556
ˈi	ˈɪ	0.5
ˈa	ˈɑ	0.483
ˈɛ	-	0.429
u	ə	0.429
β	v̥	0.4
s_k	s	0.4
n_s	ə_n	0.4
<#_s	<#_s	0.381
i	ə	0.375
ɡ	-	0.286
ˈa	ˈaː	0.276
ˈɔ	ˈɔ	0.25
ˈu	-	0.222
ˈiː	ˈɪ	0.222
s	ɾ	0.222
s	z̥	0.222
h	χ	0.222
ˈiu̯	-	0.2
f	v̥	0.188
h	-	0.185
ˈa	ˈɛ	0.172
ˈɛː	ˈɛi̯	0.167
ˈɛː	-	0.167
ˈu	ˈoː	0.167
ˈi	ˈeː	0.167
oː	ɾ	0.167
w	-	0.136
ˈi	ˈɛ	0.133
ˈi	-	0.133
b	v̥	0.133
n	ə_n	0.074
ˈa	ˈeː	0.069
ˈi	ˈɛi̯	0.067
r	-	0.057
