Saterland Frisian	Saterland Frisian	probability
ˈɪ	ˈɪ	1.0
ˈɛɪ̯_#>	ˈɛːɪ̯_#>	1.0
ˈɔːɪ̯	ˈɑːɑ̯_j	1.0
ˈœː	ˈøː	1.0
ˈøː	ˈuː	1.0
ˈyː	-	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈoː	1.0
ˈiːu̯	ˈeː	1.0
ˈeːu̯	ˈeː	1.0
ˈeː_n	ˈæɪ̯_n	1.0
ˈaːi̯	-	1.0
ɪ_x	ɡ̊	1.0
ɪ	-	1.0
ɣ_ə	ɣ̊	1.0
ɡ	ɡ	1.0
ə_r	ɐ	1.0
ə_n	m	1.0
ŋ	ŋ	1.0
w	-	1.0
v_ˈiː	v	1.0
t_ə	t	1.0
t	t	1.0
s_l	s_l	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
l_ə	ɫ	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈoːu̯	ˈɑːʊ̯	1.0
j_ə	n	1.0
i	ɑɪ̯	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
d_ə	n	1.0
b	b	1.0
a	-	1.0
<#_t	<#_d	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
l	l	0.96
k	k	0.953
d	d̥	0.914
ɣ	ɡ	0.882
j_ˈoː	ˈæɪ̯	0.857
s_#>	z̥_#>	0.75
v	v	0.742
s	s	0.635
ˈi	ˈiː	0.571
ˈʊ	ˈʊ	0.5
ˈɛː	-	0.5
z_ə	z̥	0.5
z_ə	z_n	0.5
ə	n	0.483
r	ɐ	0.475
r	r	0.475
x	ɣ̊	0.474
ˈɛ	-	0.444
ˈɔ	-	0.444
ˈeː	ˈæɪ̯	0.429
ˈaː	-	0.429
ˈa	-	0.429
ˈoː	ˈoː	0.423
x	χ	0.421
ə	-	0.414
ˈoːu̯	ˈɑʊ̯	0.4
j	ɡ	0.364
j	-	0.364
ˈɛ	ˈɛ	0.333
ˈɔ	ˈɔ	0.333
ˈuː	ˈuː	0.333
ˈiː	ˈɪ	0.333
s	z	0.327
ˈɛː	ˈʏə̯	0.3
ˈeː	-	0.286
ˈaː	ˈɑː	0.286
ˈaː	ˈɑ	0.286
ˈa	ˈɛ	0.286
ˈa	ˈɑ	0.286
j	j	0.273
ˈiː	ˈiː	0.267
ˈɛɪ̯	ˈɒː	0.25
s_#>	#>	0.25
ˈɛ	ˈɑ	0.222
ˈɔ	ˈɑ	0.222
ˈʊ	-	0.214
ˈi	ˈɪ	0.214
ˈi	ˈeː	0.214
ˈɔː	ˈɒː	0.211
ˈɔː	-	0.211
ˈɛː	ˈɑː	0.2
ˈoːu̯	ˈɑ	0.2
ˈɛɪ̯	ˈœy̯	0.188
ˈɛɪ̯	ˈæɪ̯	0.188
ˈɛɪ̯	-	0.188
ˈɔː	ˈɒːɒ̯	0.158
ˈoːu̯	ˈɔ	0.15
ˈʊ	ˈʏ	0.143
ˈʊ	ˈʊə̯	0.143
ˈeː	ˈɛːɪ̯	0.143
ˈeː	ˈøː	0.143
j_ˈoː	ˈɑɪ̯	0.143
ˈiː	ˈɔː	0.133
ˈiː	ˈɑː	0.133
ˈiː	-	0.133
v	w	0.129
ˈɛɪ̯	ˈɑʊ̯	0.125
ˈuː	ˈœ	0.125
ɣ	-	0.118
ˈoː	ˈøː	0.115
ˈoː	-	0.115
ˈɔː	ˈɔ	0.105
ˈɔː	ˈɑːɑ̯	0.105
ˈɔː	ˈɑ	0.105
ˈɔː	ˈøː	0.105
x	-	0.105
ˈoːu̯	ˈɒː	0.1
ˈoːu̯	ˈoː_ɐ	0.1
d	d	0.086
ˈuː	ˈʊ	0.083
ˈuː	ˈøːø̯	0.083
ˈuː	ˈøː	0.083
ˈuː	ˈuːu̯	0.083
ˈuː	ˈoː	0.083
ˈuː	-	0.083
ˈoː	ˈɒː	0.077
ˈoː	ˈɑ	0.077
ˈoː	ˈøːø̯	0.077
ˈoː	ˈoːo̯	0.077
ə	ɐ	0.069
v	v̥	0.065
v	-	0.065
ˈɛɪ̯	ˈøy̯	0.062
