German	Nynorsk Norwegian	probability
a	ɑ	1.0
b	b	0.713
b	-	0.257
d	tʰ	0.483
d	d	0.221
d	-	0.187
d	ɕ	0.108
eː	e	1.0
f	f	0.627
f	p	0.197
f	ʋ	0.068
h	h	0.89
h	j	0.11
j	-	1.0
k	ɡ	0.311
k	ɡː	0.285
k	ʰkː	0.151
k	ɕː	0.114
k	k	0.1
kʰ	kʰ	0.723
kʰ	ɕ	0.277
l	l	0.787
l	lː	0.118
l	j	0.057
m	m	0.847
m	mː	0.082
m	-	0.071
n	n	0.569
n	nː	0.199
n	ɑ	0.149
n	-	0.083
p	ʋ	1.0
p͡f	p	0.519
p͡f	pʰ	0.481
s	s	0.478
s	t	0.444
t	d	0.414
t	-	0.286
t	t	0.278
tʰ	d	0.862
tʰ	tʰ	0.075
tʰ	j	0.063
v	ʋ	0.626
v	-	0.232
v	kʰ_ʋ	0.097
x	ʰtː	0.567
x	k	0.292
x	-	0.078
x	ɕ	0.051
z	s	0.723
z	ʃ	0.2
z	-	0.077
ç	k	0.448
ç	ɡ	0.246
ç	-	0.185
ç	s	0.103
ŋ	ŋː	0.723
ŋ	-	0.215
ŋ	ɲ	0.062
ɐ	ɾ	0.749
ɐ	-	0.191
ɐ	e_ɾ	0.06
ə	ɑ	0.413
ə	e	0.405
ə	-	0.086
ɡ	ɡ	0.728
ɡ	j	0.217
ɪ	e	0.628
ɪ	ŋ	0.186
ɪ	ɑ	0.186
ʁ	ɾ	0.919
ʃ	s	0.704
ʃ	ʃ	0.296
ʦ	tʰ	0.613
ʦ	t	0.174
ʦ	tː	0.087
ˈa	ˈɑ	0.669
ˈa	ˈɑː	0.083
ˈa	ˈoː	0.056
ˈa	ˈʉː	0.053
ˈa	ˈɛ	0.053
ˈaɪ̯	ˈæɪ̯	0.495
ˈaɪ̯	ˈiː	0.412
ˈaʊ̯	ˈʉː	0.456
ˈaʊ̯	ˈæʉ̯	0.196
ˈaʊ̯	ˈɔ	0.081
ˈaʊ̯	ˈʉ	0.058
ˈaʊ̯	ˈeː	0.054
ˈaː	ˈɑː	0.486
ˈaː	ˈoː	0.246
ˈaː	ˈɑ	0.202
ˈaː	ˈæɪ̯	0.067
ˈeː	ˈoː	0.284
ˈeː	ˈeː	0.22
ˈeː	ˈæː	0.177
ˈeː	ˈøː	0.146
ˈeː	ˈiː	0.1
ˈiː	ˈʉː	0.335
ˈiː	ˈyː	0.333
ˈiː	ˈiː	0.197
ˈiː	ˈeː	0.088
ˈoː	ˈoː	0.301
ˈoː	ˈæʉ̯	0.292
ˈoː	ˈɔ	0.214
ˈoː	ˈœʏ̯	0.066
ˈoː	ˈʉ	0.065
ˈoː	ˈʉː	0.062
ˈuː	ˈuː	0.738
ˈuː	ˈʉː	0.156
ˈuː	ˈøː	0.106
ˈyː	ˈøː	0.557
ˈyː	ˈʉː	0.21
ˈyː	ˈɔ	0.15
ˈyː	ˈoː	0.083
ˈøː	ˈœʏ̯	0.468
ˈøː	ˈʊ	0.396
ˈøː	ˈøː	0.136
ˈœ	ˈʉ	0.553
ˈœ	ˈɔ	0.447
ˈɔ	ˈʊ	0.276
ˈɔ	ˈɔ	0.145
ˈɔ	ˈʉ	0.11
ˈɔ	ˈuː	0.107
ˈɔ	ˈoː	0.103
ˈɔ	ˈʉː	0.083
ˈɔ	ˈʏ	0.083
ˈɔ	ˈeː	0.06
ˈɔʏ̯	ˈyː	0.366
ˈɔʏ̯	ˈɛ	0.219
ˈɔʏ̯	ˈœʏ̯	0.191
ˈɔʏ̯	ˈʉ	0.11
ˈɔʏ̯	ˈiː	0.063
ˈɔʏ̯	ˈʏ	0.051
ˈɛ	ˈɛ	0.564
ˈɛ	ˈøː	0.096
ˈɛ	ˈæː	0.072
ˈɛ	ˈeː	0.064
ˈɛ	ˈɑ	0.058
ˈɛː	ˈɛ	0.549
ˈɛː	ˈoː	0.229
ˈɛː	ˈœ	0.221
ˈɪ	ˈɪ	0.539
ˈɪ	ˈʏ	0.148
ˈɪ	ˈiː	0.105
ˈɪ	ˈɛ	0.06
ˈʊ	ˈʉ	0.657
ˈʊ	ˈɔ	0.219
ˈʊ	ˈœ	0.061
ˈʏ	ˈʏ	0.742
ˈʏ	ˈɛ	0.204
ˈʏ	ˈʉ	0.054
