Upper Sorbian	Old Prussian	probability
ˈɛ_ɲ	aː	1.0
ˈɛ	e	1.0
ˈo	a	1.0
ˈe_z	z	1.0
ˈe	j	1.0
ʥ	d	1.0
ʒ̊	ɡ_i	1.0
ʒ	ɡ	1.0
ʃ	k	1.0
ʀʲ	r	1.0
ʀ	r	1.0
ɪ	a_n	1.0
ɦ	ɡ	1.0
ɥ_ˈe	v	1.0
ɛ	ai̯	1.0
z̥	-	1.0
z	z	1.0
u	-	1.0
t	t	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
mʲ	m	1.0
m	m	1.0
l	l	1.0
j	a	1.0
e	e	1.0
d̥	d	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a	o	0.833
n	n	0.696
k	k	0.696
ˈa	-	0.67
ˈi	-	0.667
ʨ	t	0.614
x	s	0.522
x	ɡ_i	0.478
ˈɔ	a	0.452
w	v	0.427
ˈu	u	0.408
ˈɔ	i	0.407
ʨ	t_o	0.386
ˈɪ	-	0.376
ˈu	ŋ	0.356
ˈi	oːu̯	0.333
w	l	0.332
ˈa	e	0.33
ɔ	e	0.315
ˈɪ	uː	0.312
ˈɪ	e	0.312
n	n_a	0.304
k	k_i	0.304
ɔ	s	0.3
ˈu	-	0.236
ɔ	o	0.192
ɔ	n_s	0.192
a	eː	0.167
w	-	0.152
ˈɔ	-	0.141
w	a	0.06
