Piedmontese	Portuguese	probability
ə	-	1.0
b	b	0.691
d	-	0.21
i	i	0.321
i	u	0.511
j	ʎ_u	0.21
s	ʃ	0.21
w	w	0.451
z	ʃ	0.791
ˈɛ	ˈɐ_j	0.081
e	ɨ	0.452
j	u	0.132
l	w	0.052
t	t	0.42
v	v	0.692
ŋ	-	0.202
ɲ	ɲ_u	0.122
ˈe	ˈɐ_j	0.082
ˈe	ˈe	0.12
f	f	0.983
j	-	0.173
l	ɫ	0.053
m	m	0.943
n	n	0.563
s	i_ʃ	0.103
t	ð	0.203
u	ɔ	0.223
ŋ	w̃	0.23
ɡ	ɡ	0.563
ʤ	-	0.103
a	-	0.054
j	j_ʎ	0.074
l	-	0.134
l	l	0.564
n	-	0.384
r	ʁ	0.14
r	ɾ	0.654
ˈa	ˈɐ	0.34
ˈe	ˈi	0.064
ˈø	ˈɔ	0.474
ˈɔ	ˈo_w	0.064
ˈɛ	ˈe	0.274
d	d	0.565
j	j	0.265
s	s_u	0.055
ʧ	ʃ	0.5
ʧ	s	0.5
ˈi	ˈe	0.055
e	ɐ	0.066
j	ʎ	0.076
l	l_u	0.196
r	-	0.066
z	-	0.106
ˈu	ˈɐ̃	0.186
ˈu	ˈo	0.486
ˈy	-	0.086
ˈɛ	ˈɛ	0.506
e	ˈe_ɾ	0.297
t	t_ɨ	0.147
z	ʒ	0.057
ʤ	ʒ	0.897
ˈa	ˈa	0.447
ˈe	ˈɛ	0.127
ˈe	ˈa_ɾ	0.507
ˈu	ˈɔ	0.247
ˈø	ˈo_j	0.087
e	-	0.148
i	ɨ	0.168
k	k	0.938
t	t_u	0.208
u	-	0.208
ŋ	n	0.18
ŋ	ɲ	0.388
ɡ	ɣ_u	0.318
ɲ	ɲ	0.878
ˈu	ˈu	0.08
ˈɔ	u	0.088
ˈɔ	ˈɔ	0.228
a	ɐ	0.899
b	v	0.309
d	ð	0.219
p	p	0.989
r	ɾ_u	0.119
s	s	0.559
u	u	0.569
v	β	0.259
w	ɫ	0.549
ɡ	ɣ	0.119
ˈa	ˈɐ̃	0.159
ˈi	ˈi	0.899
ˈy	ˈu	0.869
ˈø	ˈo	0.439
ˈɔ	ˈo	0.619
ˈɛ	ˈe_l	0.09
