Old West Norse	Middle English	probability
θ	θ	1.0
ˈɛi̯	ˈɔː	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈoː	1.0
ˈɒu̯	ˈɛː	1.0
ˈɑu̯	ˈɛː	1.0
ˈɑ_ɣ	ˈæi̯	1.0
ˈøy̯	ˈeː	1.0
ˈoː	ˈoː	1.0
ˈi_t	ˈi_t	1.0
ˈe_ɣ	ˈæi̯	1.0
ˈa	-	1.0
ʦ	d_i	1.0
ʝː	ˈæi̯	1.0
ɾ	r	1.0
ɡː	-	1.0
ɑː	eː	1.0
ç	h	1.0
x_w	ʍ	1.0
t	t	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	r	1.0
r_t	r_t	1.0
r_i	r	1.0
r	r	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n̥	n	1.0
mː	-	1.0
m	m	1.0
l̥	l	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
k	k	1.0
j_ˈɑ	ˈɛ	1.0
j_ˈuː	ˈeː	1.0
i_r̥	ə_r	1.0
h	h	1.0
f	f	1.0
d	d	1.0
cː	ʧ	1.0
cʰ	k	1.0
c	k	1.0
b	b	1.0
a	ə	1.0
s	s	0.976
n	n	0.963
ˈiː	ˈiː	0.854
ð	d	0.823
r_n	r_n	0.793
nː	n	0.723
ˈɔ	-	0.681
ˈu	ˈu	0.674
ˈøː	ˈeː	0.67
i	ə	0.667
tː	t	0.648
ˈɛː	-	0.633
ɣ	-	0.63
ŋ	ŋ	0.627
u	-	0.619
v	v	0.606
r̥	ə	0.604
ɟ	-	0.572
l	ɫ	0.568
lː	ɫ	0.553
ˈi	ˈi	0.551
ˈeː	ˈeː	0.544
ˈɑ	ˈa	0.524
ˈyː	ˈeː	0.506
j_ˈoː	ˈeː	0.502
j_ˈoː	ˈɔu̯	0.498
ˈyː	-	0.494
ɑ	ə_n	0.482
ˈuː	ˈuː	0.478
ɡ	ɡ	0.474
ˈy	ˈi	0.465
ˈi	ˈiː	0.449
lː	l	0.447
ˈo	ˈɔ	0.44
l	l	0.432
ˈo	ˈu	0.431
ɟ	ɡ	0.428
u	n	0.381
ˈy	ˈɔ	0.376
ŋ	n	0.373
ɣ	x	0.37
ˈɑː	ˈɛː	0.368
ˈɛː	ˈau̯	0.367
ˈuː	ˈiː	0.361
j	ə	0.35
ɡ	-	0.344
i	-	0.333
ˈøː	-	0.33
v	w	0.321
ˈɔ	ð	0.319
ɑ	ə	0.309
ˈe	ˈɛ	0.306
nː	-	0.277
ˈeː	-	0.271
ˈe	-	0.269
ˈe	ˈi	0.243
j	ˈi	0.228
j	-	0.228
r̥	r	0.227
r_n	r	0.207
ˈɑː	ˈoː	0.202
tː	x_t	0.196
j	ˈɛ	0.195
ˈu	-	0.185
ˈeː	ç	0.185
ɡ	x	0.181
ˈɑ	ˈɔː	0.178
ð	-	0.177
r̥	ə_r	0.169
ˈɑ	ˈaː	0.167
ˈuː	-	0.161
ˈy	ˈu	0.159
tː	ç	0.156
ˈiː	ˈi	0.146
ˈu	ˈuː	0.141
ˈe	ˈɛː	0.14
ˈɑː	-	0.129
ˈo	-	0.129
ɑ	n	0.121
ˈɑː	ˈæi̯	0.118
ɑ	-	0.087
ˈɑː	ˈɔː	0.078
ˈɑː	ˈɛu̯	0.075
v	-	0.073
ˈɑ	ˈɛ	0.066
ˈɑ	-	0.066
