Czech	Czech	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɪ	ɪ	1.0
ɦ	ɦ	1.0
ɟ	ɟ	1.0
ɛː	ɛː	1.0
ɛ	ɛ	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
v	v	1.0
uː	uː	1.0
u	u	1.0
t_o	t_o	1.0
t	t	1.0
s	s	1.0
r̩	r̩	1.0
r̝̊	r̝̊	1.0
r̝	r̝	1.0
r_ɛ	r_ɛ	1.0
r	r	1.0
p	p	1.0
ou̯	ou̯	1.0
o	o	1.0
n	n	1.0
m̩	m̩	1.0
m	m	1.0
l̩	l̩	1.0
l	l	1.0
k	k	1.0
j	j	1.0
iː	iː	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
c	c	1.0
b̥	b̥	1.0
b	b	1.0
aː	aː	1.0
a_t	a_t	1.0
a_s	a_s	1.0
a	a	1.0
