Afrikaans	Afrikaans	probability
χ_r	ɡ̊_r	1.0
ˈʊə̯_r	ˈɔ	1.0
ˈɪə̯_n_#>	ˈaː_#>	1.0
ˈɪø̯	ˈoː	1.0
ˈɑː_p	ˈɒ_f	1.0
ˈœu̯	ˈɒ_l	1.0
ˈyː	ˈaɪ̯	1.0
ˈoː	ˈuː_d̥	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_r	ɐ	1.0
ə_#>	#>	1.0
w	-	1.0
v̥	f	1.0
v_ˈa	v_ˈɔ	1.0
t_#>	#>	1.0
s_ˈə	s_ˈɪ	1.0
s_k	ʃ	1.0
p_#>	f_#>	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
k_#>	#>	1.0
j_#>	#>	1.0
j	j	1.0
i	eː	1.0
d_r	d̥_r	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈa	<#_ˈɒ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
v	v	0.929
d̥	d̥	0.871
#>	a_#>	0.846
n	n	0.833
ˈi	ˈiː	0.824
ˈə	ˈɪ	0.722
ˈu	ˈuː	0.714
ˈœɪ̯	ˈaʊ̯	0.7
ˈɛ	ˈɛ	0.667
ˈəɪ̯	ˈaɪ̯	0.667
ˈœ	ˈɪ	0.667
ˈæː	ˈɛ	0.667
p	b̥͡v̥	0.667
ŋ	ŋ	0.643
ˈa	ˈɒ	0.636
k	ɡ̊	0.586
v̥_#>	b̥_#>	0.571
r	ɐ	0.564
ˈɔ	ˈʊ	0.542
ə	-	0.538
ˈɑː	ˈoː	0.522
ˈæ	ˈɛ	0.5
ˈæ	-	0.5
s	s	0.471
χ	ɡ̊	0.469
s	ʃ	0.431
v̥_#>	#>	0.429
t	ʦ	0.381
ˈɔ	ˈɔ	0.375
ˈɪə̯	ˈɛ	0.333
ˈɪə̯	ˈeː	0.333
ˈɪə̯	ˈaː	0.333
ˈɛ	ˈɪ	0.333
ˈəɪ̯	ˈaː	0.333
ˈœ	ˈʊ	0.333
ˈæː	ˈa	0.333
p	v̥	0.333
ˈʊə̯	ˈuː	0.318
ə	ɐ	0.308
ˈœɪ̯	ˈaɪ̯	0.3
ˈu	ˈiː	0.286
ˈʊə̯	ˈaː	0.273
ˈa	ˈoː	0.273
r	r	0.256
t	s	0.238
t	d̥	0.238
ŋ	n	0.214
χ	x	0.188
ˈʊə̯	ˈeː	0.182
ˈi	ˈaɪ̯	0.176
ˈɑː	ˈɛ	0.174
ˈɑː	-	0.174
k	ç	0.172
k	x	0.172
ˈə	ˈiː	0.167
n	n_a	0.167
ə	ɪ	0.154
#>	ç_#>	0.154
ŋ	-	0.143
ˈʊə̯	-	0.136
χ	ŋ	0.125
ˈə	ˈaɪ̯	0.111
r	ɾ_ɐ	0.103
χ	ç	0.094
ˈʊə̯	ˈɔ	0.091
ˈa	ˈɛ	0.091
ˈɑː	ˈɒ	0.087
ˈɔ	-	0.083
r	-	0.077
v	-	0.071
t	z̥_n	0.071
k	ɡ̊_n	0.069
d̥	d̥_n	0.065
d̥	-	0.065
χ	ç_d̥	0.062
χ	x_d̥	0.062
s	ɡ̊_s	0.059
