Afrikaans	Luxembourgish	probability
b	b	1.0
d	d	0.876
d	-	0.12
f	f	0.965
f	v	0.039
j	j	1.0
k	kʰ	0.421
k	ɕ	0.259
k	χ	0.113
k	k_ə	0.079
k	ə_k	0.052
l	l	1.0
m	m	1.0
n	n	0.939
n	ŋ	0.041
n	-	0.037
p	f	0.605
p	p	0.242
p	f_ə	0.144
r	ʀ	0.431
r	ɐ	0.268
r	-	0.246
r	d_ɐ	0.05
s	ʃ	0.455
s	z	0.265
s	s	0.236
s	-	0.043
s_k	ʃ	1.0
t	t	0.485
t	s	0.199
t	ʦ	0.186
t	-	0.058
t	d_ə	0.039
v	v	0.891
v	f	0.068
v	-	0.048
w	w	0.839
w	-	0.131
ŋ	ŋ	0.676
ŋ	-	0.186
ŋ	k	0.069
ŋ	ɕ	0.055
ə	ɐ	0.446
ə	-	0.236
ə	ə	0.217
ə	e	0.043
ə	ŋ	0.043
ɦ	h	1.0
ɫ	l	1.0
ˈa	ˈaː	0.406
ˈa	ˈɑ	0.339
ˈa	ˈæ	0.1
ˈa	ˈuə̯	0.056
ˈa	-	0.049
ˈa_r	ˈaː	1.0
ˈi	ˈəɪ̯	0.547
ˈi	ˈi	0.171
ˈi	ˈɑɪ̯	0.091
ˈi	ˈæːɪ̯	0.065
ˈi	ˈə	0.055
ˈi_χ	ˈəɪ̯	1.0
ˈoːi̯	ˈəʊ̯	1.0
ˈu	ˈəɪ̯	0.291
ˈu	ˈʊ	0.253
ˈu	ˈəʊ̯	0.145
ˈu	ˈu	0.113
ˈu	ˈi	0.076
ˈuː	ˈʊ	0.489
ˈuːi̯	ˈəʊ̯	0.489
ˈyː	ˈɑɪ̯	0.489
ˈæ	ˈaː	0.5
ˈæ	ˈə	0.5
ˈæː	ˈiː	0.5
ˈæː	ˈɛː	0.5
ˈœ	ˈe	0.381
ˈœ	ˈə	0.381
ˈœ	ˈuː	0.219
ˈœi̯	ˈæɪ̯	1.0
ˈœu̯	ˈaː	0.53
ˈœu̯	ˈo	0.28
ˈœu̯	l	0.11
ˈœɪ̯	ˈæːʊ̯	0.644
ˈœɪ̯	ˈɑɪ̯	0.223
ˈœɪ̯	ˈæːɪ̯	0.103
ˈɑː	ˈoː	0.37
ˈɑː	ˈaː	0.178
ˈɑː	ˈəɪ̯	0.122
ˈɑː	ˈɛː	0.098
ˈɑː	ˈəʊ̯	0.055
ˈɔ	ˈo	0.46
ˈɔ	ˈuː	0.117
ˈɔ	ˈɔ	0.102
ˈɔ	ˈɑ	0.067
ˈɔ	ˈu	0.067
ˈɔː	ˈo	0.5
ˈɔː	ˈoː	0.5
ˈə	ˈɑ	0.409
ˈə	ˈe	0.152
ˈə	ˈə	0.14
ˈə	ˈiː	0.087
ˈə	ˈi	0.085
ˈəɪ̯	ˈæːɪ̯	0.304
ˈəɪ̯	ˈeː	0.287
ˈəɪ̯	ˈə	0.17
ˈəɪ̯	ˈɑɪ̯	0.112
ˈəɪ̯	ˈæɪ̯	0.067
ˈɛ	ˈə	0.359
ˈɛ	ˈeː	0.259
ˈɛ	ˈɛ	0.137
ˈɛ	ˈiː	0.13
ˈɛ	w	0.067
ˈɛː	ˈoː	0.574
ˈɛː	ˈu	0.281
ˈɪ	ˈɑ	0.489
ˈɪø̯	ˈuə̯	0.66
ˈɪø̯	ˈu	0.157
ˈɪə̯	ˈeː	0.347
ˈɪə̯	ˈiə̯	0.258
ˈɪə̯	ˈiː	0.097
ˈɪə̯	ˈe	0.067
ˈɪə̯	ˈɛ	0.067
ˈʊə̯	ˈaː	0.309
ˈʊə̯	ˈəʊ̯	0.206
ˈʊə̯	ˈəɪ̯	0.194
ˈʊə̯	ˈi	0.055
ˈʊə̯	-	0.054
χ	ɡ	0.352
χ	-	0.132
χ	ɕ	0.128
χ	ɕ_t	0.125
χ	χ	0.097
