Afrikaans	Luxembourgish	probability
b	b	1.0
d	d	0.827
d	-	0.173
f	f	0.964
i	e	0.9
i	ɐ	0.1
j	j	0.332
j	ˈiː	0.29
j	ˈəʊ̯	0.246
j	ə	0.132
k	kʰ	0.358
k	ɕ	0.233
k	-	0.193
k	k	0.141
k	χ	0.075
m	m	1.0
n	n	0.896
n	ŋ	0.08
p	f	0.636
p	p	0.296
p	ə_f	0.068
r	ɐ	0.451
r	ʀ	0.434
r	-	0.114
s	ʃ	0.422
s	z	0.334
s	s	0.212
t	t	0.376
t	s	0.245
t	ʦ	0.221
t	-	0.102
v	v	0.872
v	w	0.103
w	w	0.962
ŋ	ŋ	0.851
ŋ	k	0.102
ə	ɐ	0.603
ə	-	0.2
ə	ə	0.121
ɦ	h	1.0
ɫ	l	1.0
ˈa	ˈaː	0.386
ˈa	ˈɑ	0.381
ˈa	ˈæ	0.114
ˈa	ˈɛː	0.065
ˈi	ˈɜɪ̯	0.538
ˈi	ˈi	0.127
ˈi	ˈɑɪ̯	0.098
ˈi	ˈe	0.093
ˈi	ˈə	0.093
ˈi	ˈæːɪ̯	0.051
ˈoːɪ̯	ˈəʊ̯	1.0
ˈu	ˈu	0.194
ˈu	ˈʊ	0.158
ˈu	ˈe	0.147
ˈu	-	0.147
ˈu	ˈi	0.113
ˈu	ˈɜɪ̯	0.098
ˈu	ˈo	0.094
ˈyː	ˈɑɪ̯	0.895
ˈyː	ˈɑʊ̯	0.105
ˈæ	ˈə	0.468
ˈæ	ˈeː	0.215
ˈæ	ˈiː	0.161
ˈæ	ˈɛ	0.156
ˈæː	-	0.392
ˈæː	ˈiː	0.392
ˈæː	ˈɛː	0.134
ˈæː	ˈaː	0.082
ˈœ	ˈe	0.516
ˈœ	ˈə	0.369
ˈœ	ˈuː	0.116
ˈœu̯	ˈaː	0.345
ˈœu̯	l	0.273
ˈœu̯	ˈɑʊ̯	0.255
ˈœu̯	ˈo	0.127
ˈœɪ̯	ˈæːʊ̯	0.383
ˈœɪ̯	ˈɑɪ̯	0.3
ˈœɪ̯	ˈɑʊ̯	0.27
ˈɑː	ˈoː	0.267
ˈɑː	ˈaː	0.23
ˈɑː	ˈɜɪ̯	0.126
ˈɑː	ˈɛː	0.112
ˈɑː	ˈəʊ̯	0.108
ˈɑː	ˈu	0.082
ˈɔ	ˈo	0.442
ˈɔ	ˈuː	0.163
ˈɔ	ˈɔ	0.138
ˈɔ	ˈʊ	0.071
ˈɔ	ˈu	0.064
ˈɔː	-	0.53
ˈɔː	ˈoː	0.47
ˈə	ˈɑ	0.582
ˈə	ˈe	0.167
ˈə	ˈə	0.104
ˈə	ˈiː	0.08
ˈəɪ̯	ˈæːɪ̯	0.491
ˈəɪ̯	ˈeː	0.187
ˈəɪ̯	ˈɑɪ̯	0.105
ˈəɪ̯	ɐ	0.098
ˈəɪ̯	ˈə	0.088
ˈɛ	ˈə	0.46
ˈɛ	ˈæ	0.303
ˈɛ	ˈɑ	0.174
ˈɛː	ˈoː	0.333
ˈɛː	ˈu	0.333
ˈɛː	ˈɑɪ̯	0.333
ˈɪ	ˈə	0.787
ˈɪ	ˈɑ	0.213
ˈɪø̯	ˈo	0.343
ˈɪø̯	ˈuə̯	0.343
ˈɪø̯	ˈu	0.314
ˈɪə̯	ˈeː	0.49
ˈɪə̯	ˈiə̯	0.274
ˈɪə̯	ˈɜɪ̯	0.057
ˈɪə̯	ˈiː	0.054
ˈʊə̯	ˈaː	0.318
ˈʊə̯	ˈɜɪ̯	0.197
ˈʊə̯	ˈəʊ̯	0.12
ˈʊə̯	ˈi	0.113
ˈʊə̯	ˈu	0.077
ˈʊə̯	ˈuː	0.068
χ	ɡ	0.363
χ	ɕ	0.26
χ	k	0.191
χ	χ	0.088
χ	-	0.084
