Old Chinese	Old Chinese	probability
ʔ_s	ʦ	1.0
ʔ	-	1.0
ɯ_s	z̩	1.0
ɯ_m	n_⁵³	1.0
ɢʷ	ɦ	1.0
ɢ	ɦ	1.0
ɡʷ	ɦ_w	1.0
ɡ_r	ʥ	1.0
ɡ_oː	ɦ	1.0
ɡ_l	ɡ	1.0
ŋʷ	-	1.0
ŋ_ʔ	ã	1.0
ŋ_s	ŋ_²³	1.0
z	z	1.0
w	-	1.0
uː_ʔ	ɔ	1.0
uː_m	ø	1.0
t	ʦ	1.0
sʰ	ʦʰ	1.0
s_#>	#>	1.0
s	-	1.0
r_aː	a	1.0
qʰ	-	1.0
pʰ	pʰ	1.0
n_s	³⁴	1.0
n_i	nʲ	1.0
l̥ʰ	tʰ	1.0
lʼ	-	1.0
kʷ	-	1.0
kʰʷ	-	1.0
kʰ	kʰ	1.0
j	-	1.0
d_s	³⁴	1.0
b	b	1.0
aː_ʔ	u_³⁴	1.0
aː_ŋ	ɑ̃	1.0
aː_n	ø	1.0
aː_l	u	1.0
a_ʔ	y_²³	1.0
a_ŋ	ɑ̃	1.0
<#_ŋ	<#	1.0
<#_s	<#_ɕ	1.0
<#_r	<#_l	1.0
<#_q	<#	1.0
<#_m	<#	1.0
<#_d	<#_d	1.0
<#	<#_nʲ	1.0
l	-	0.857
ɡ	ʔ	0.72
a	-	0.7
n	n	0.632
m	m	0.615
o	o	0.6
p	f	0.583
r	-	0.571
oː	o	0.571
k	k	0.571
d	ʔ	0.538
#>	⁵⁵_#>	0.538
ɯ	ə	0.5
h	s	0.5
h	h	0.5
aː	ø	0.5
aː	-	0.5
ɯː	e	0.429
ɯː	-	0.429
r	i	0.429
oː	-	0.429
k	ʨ	0.429
p	p	0.417
i	-	0.417
o	-	0.4
eː	i	0.4
eː	-	0.4
u	o	0.389
m	-	0.385
#>	¹²_#>	0.385
ŋ	n	0.333
u	ɔ	0.333
e	i_²³	0.333
d	z	0.308
a	a	0.3
ŋ	ŋ	0.278
i	i	0.25
e	ɪ	0.222
e	j	0.222
e	-	0.222
eː	ɥ	0.2
ɯ	ɜ	0.167
ɯ	z̩	0.167
ɯ	-	0.167
ŋ	ŋ_²³	0.167
u	y	0.167
i	ɪ	0.167
i	j	0.167
n	-	0.158
d	-	0.154
ɯː	o	0.143
l	i_⁵³	0.143
ɡ	ɦ	0.12
ŋ	ã	0.111
ŋ	-	0.111
u	-	0.111
n	ø	0.105
n	nʲ	0.105
ɡ	ʥ	0.08
ɡ	-	0.08
#>	ʔ_⁵⁵_#>	0.077
