Campidanese	Campidanese	probability
ˈɛ_n	ˈi_n	1.0
ˈɔ_ɾ	ˈoː_r	1.0
ˈɔ_z	ˈoː	1.0
ˈu_t	ˈo_t	1.0
ˈo_u	ˈuː_f	1.0
ˈi_ɾ	ˈiː	1.0
ˈi_ɭː	ˈi	1.0
ˈi_ð	ˈeː_t	1.0
ˈa_ɾ	ˈaː_r	1.0
ˈa_t	ˈa_t	1.0
ˈa_i	ˈaː	1.0
ʦ	ʧ	1.0
ʒ_i	s	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɭː	ˈɛ	1.0
ɣ_u	l_i	1.0
ɛ	-	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ɔ_z	s	1.0
ɔ	o	1.0
ŋ	ŋ	1.0
ð_a	d_e	1.0
ð	t	1.0
ŭ_#>	#>	1.0
ŭ	j	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_ɛ	l_t	1.0
t_a	t_e	1.0
s_ˈa	s_ˈa	1.0
s_u	ˈɛ_s	1.0
r_u	ˈɛ_r	1.0
r	r	1.0
p	p	1.0
o_z	o	1.0
o	-	1.0
n_ʤ	ɲ	1.0
n_u	ŋ	1.0
n_i	ŋ	1.0
m_i_n_i_#>	m_#>	1.0
m	m	1.0
l	l	1.0
k_u	k	1.0
ĭ	-	1.0
i_ɾ	i	1.0
f_ɾ	f_l	1.0
f	f	1.0
e	-	1.0
ă	-	1.0
a_ð	a_d	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
i_#>	#>	0.947
s	s	0.857
t	t	0.828
ʧ	ʧ	0.818
n	n	0.8
ɡ	ɡ	0.778
a	e	0.769
ˈa	ˈa	0.75
d	d	0.733
<#_a	<#	0.727
ɾ	r	0.652
ʤ	ʤ	0.6
ʒ	z	0.6
j	-	0.571
i	i	0.567
ˈi	ˈi	0.553
z	-	0.545
β	v	0.5
β	-	0.5
ɖː_u	ˈɛ_l	0.5
ɖː_u	l	0.5
w	w	0.5
w	-	0.5
k_ɾ	k_l	0.5
k_ɾ	k	0.5
<#	<#_ʧ	0.5
<#	<#_ɡ	0.5
k	c	0.486
b	v	0.472
ˈe	j	0.467
ɣ	-	0.462
z	s	0.455
k	k	0.429
j	j	0.429
b	b	0.417
ʤ	-	0.4
ʒ	ʧ	0.4
ˈu	ˈu	0.371
ˈu	ˈo	0.371
ˈɔ	ˈo	0.333
nː	ɲ	0.333
nː	ŋ	0.333
nː	n	0.333
ˈɛ	ˈe	0.32
ɣ	k	0.308
u	-	0.28
<#_a	<#_a	0.273
d	-	0.267
ˈo	ˈo	0.25
ˈɛ	j_ˈɛ	0.24
ˈi	ˈe	0.237
ɣ	ɡ	0.231
ɡ	-	0.222
ˈɔ	w	0.208
ˈe	ˈɛ	0.2
ˈe	ˈi	0.2
u	i	0.2
i	d_i	0.2
ʧ	-	0.182
ˈɔ	ˈɔ	0.167
ˈa	ˈaː	0.167
i	-	0.167
ˈɛ	ˈiː	0.16
ˈɛ	j	0.16
u	u	0.16
u	r	0.16
ˈo	ˈɔ	0.15
ˈo	ˈuː	0.15
ˈo	w_ˈa	0.15
ˈu	ˈuː	0.143
ˈe	-	0.133
ˈɔ	w_ˈɛ	0.125
a	a	0.123
ˈɛ	ˈɛ	0.12
u	o	0.12
ɾ	l	0.109
t	d	0.103
ˈo	ˈu	0.1
ˈo	w	0.1
ˈo	-	0.1
ɾ	-	0.087
s	-	0.086
k	-	0.086
ˈɔ	r	0.083
ˈɔ	-	0.083
u	ˈɛ_l	0.08
ˈi	ˈeː	0.079
ˈi	-	0.079
t	-	0.069
n	ˈi_n	0.067
n	ɲ	0.067
n	-	0.067
i	ˈiː	0.067
ɾ	a	0.065
ˈu	ˈɔ	0.057
ˈu	ˈoː	0.057
s	s_e	0.057
ˈa	-	0.056
b	z_v	0.056
b	v_i	0.056
ˈi	j	0.053
i_#>	l_#>	0.053
