West Frisian	Bavarian	probability
b	b̥	0.972
b	-	0.039
d	d̥	0.78
d	t	0.178
d	d	0.04
f	f	0.885
f	b̥	0.075
f	-	0.041
h	h	1.0
j	ˈai̯	0.31
j	-	0.289
j	j	0.14
j	ˈiɐ̯	0.106
j	ˈi	0.07
j_ə	n	1.0
k	kʰ	0.316
k	x	0.235
k	k	0.2
k	-	0.122
k	ç	0.092
k_ə	ç	1.0
l	l	0.573
l	j	0.407
l	-	0.033
m	m	1.0
n	n	0.554
n	n_d̥	0.167
n	-	0.154
n	ŋ	0.065
n	l	0.03
p	f	0.824
p	p	0.174
r	r	0.549
r	ɐ	0.247
r	d̥_a	0.091
r	-	0.073
r	a	0.034
r_ˈɛ	r	1.0
s	s	0.664
s	ʃ	0.331
s_k	ʃ	1.0
t	d̥	0.276
t	t	0.276
t	s	0.256
t	ʦ	0.184
v	ʋ	0.518
v	m	0.137
v	f	0.137
v	b̥	0.116
v	-	0.058
z	ŋ	0.561
z	s	0.133
z	r	0.074
ŋ	ŋ	0.859
ŋ	-	0.14
ɕ	s	0.486
ə	-	0.468
ə	n	0.311
ə	a	0.177
ə	i	0.029
ə	ə	0.028
ə_r	a	1.0
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.725
ɣ	-	0.268
ɪ	i	0.461
ɪ	-	0.258
ɪ	ɪ	0.08
ʋ	ʋ	1.0
ʦ	kʰ	0.488
ʦ	ʦ	0.28
ʦ	d̥	0.17
ˈa	ˈo	0.147
ˈa	ˈɒ	0.128
ˈa	ˈoː	0.101
ˈa	ˈɒː	0.099
ˈa	ˈɔ	0.086
ˈaː	ˈoɐ̯	0.232
ˈaː	ˈaː	0.153
ˈaː	ˈɒː	0.153
ˈaː	ˈɒ	0.11
ˈaː	ˈɔ	0.11
ˈeː	ˈɛː	0.28
ˈeː	ˈi	0.28
ˈeː	ˈou̯	0.17
ˈeː	ˈeː	0.17
ˈi	ˈi	0.414
ˈi	ˈai̯	0.321
ˈi	ˈɛ	0.133
ˈi	ˈoɐ̯	0.096
ˈiə̯	ˈe	0.149
ˈiə̯	ˈɛː	0.13
ˈiə̯	ˈiː	0.113
ˈiə̯	ˈɒː	0.086
ˈiə̯	ˈu	0.086
ˈiə̯_n	ˈoɐ̯	1.0
ˈiː	ˈai̯	0.366
ˈiː	ˈi	0.256
ˈiː	ˈoɐ̯	0.155
ˈiː	ˈɑː	0.089
ˈiː	ˈa	0.067
ˈoə̯	ˈu	0.443
ˈoə̯	ˈoɐ̯	0.386
ˈoə̯	ˈɔ	0.121
ˈoː	ˈuɐ̯	0.574
ˈoː	ˈeɐ̯	0.279
ˈu	ˈoː	0.369
ˈu	ˈu	0.179
ˈuə̯	ˈuɐ̯	1.0
ˈuə̯_r	a	0.236
ˈuː	ˈau̯	0.639
ˈuː	ˈou̯	0.107
ˈuː	ˈu	0.107
ˈuː	-	0.08
ˈuː	ˈai̯	0.061
ˈy	ˈɛ	1.0
ˈyː	ˈu	0.279
ˈyː	ˈai̯	0.156
ˈyː	ˈau̯	0.1
ˈø	ˈɛ	1.0
ˈøə̯	ˈai̯	0.236
ˈɔ	ˈo	0.257
ˈɔ	ˈu	0.229
ˈɔ	-	0.18
ˈɔ	ˈɔ	0.156
ˈɔ	ˈi	0.071
ˈɔu̯	ˈi	0.321
ˈɔu̯	ˈo	0.321
ˈɔː	ˈo	0.585
ˈɔː	ˈɔ	0.126
ˈɔː	ˈa	0.121
ˈɔː	ˈiː	0.085
ˈɛ	ɐ	0.292
ˈɛ	ˈa	0.254
ˈɛ	ˈɛ	0.221
ˈɛ	ˈɒ	0.168
ˈɛ	ˈeɐ̯	0.038
ˈɛ_j	ˈai̯	0.486
ˈɛi̯	ˈa	0.268
ˈɛi̯	ˈoɐ̯	0.268
ˈɛi̯	ˈe	0.162
ˈɛi̯	ˈoː	0.162
ˈɛi̯	ˈeː	0.041
ˈɛː	ˈa	0.28
ˈɛː	ˈoː	0.17
ˈɛː	ˈai̯	0.109
ˈɛː	ˈe	0.109
ˈɛː	ˈu	0.109
ˈɪ	ˈi	0.511
ˈɪ	ˈʏ	0.064
ˈɪ	ˈu	0.064
ˈɪ	ˈiː	0.064
ˈɪ	ˈo	0.064
ˈɪə̯	ˈaː	0.191
ˈɪə̯	ˈoɐ̯	0.157
ˈɪə̯	ˈou̯	0.134
ˈɪə̯	ˈe	0.126
ˈɪə̯	ˈa	0.101
ˈɵ	ˈiɐ̯	0.486
χ	ɡ̊	0.468
χ	x	0.455
χ	-	0.07
