Čakavian	Slovak	probability
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ	ɦ	1.0
z	z	1.0
x	x	1.0
ǔː	ˈuː	1.0
t_a	t_a	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩̂	ˈr̩	1.0
r	r	1.0
p	p	1.0
ôː	ˈɔ	1.0
o_r	ˈɔ_r	1.0
m	m	1.0
l_aː	ɫ	1.0
j	j	1.0
ǐː	ɪ̯ˈɛ	1.0
iː	ɪ̯ˈɛ	1.0
êː	ˈæ	1.0
e_#>	ɛ_#>	1.0
b	b	1.0
ǎː_ʋ	v	1.0
âː	ˈa	1.0
a_n	ɛ_m	1.0
<#_ô	<#_ˈɔ	1.0
ʋ	ʋ	0.889
k	k	0.792
ô	ˈɔ	0.75
e	ˈɛ	0.75
ê	ˈɛ	0.714
d	d	0.706
o	ɔ	0.692
n	n	0.688
i	-	0.667
â	a	0.643
îː	ˈɛ	0.625
a	a	0.615
t	t	0.536
ûː	ˈɫ̩	0.5
ûː	ˈu	0.5
t	c	0.464
l	ɫ	0.455
îː	ˈi	0.375
l	l	0.364
â	ˈa	0.357
i	i	0.333
n	ɲ	0.312
o	ˈɔ	0.308
î	ˈi	0.308
î	ɛ	0.308
d	ɟ	0.294
ê	ˈa	0.286
ô	ɔ	0.25
e	ɛ	0.25
î	ɪ̯ˈɛ	0.231
a	-	0.231
l	ʎ	0.182
î	ˈɛ	0.154
a	ɛ	0.154
k	x	0.125
ʋ	v	0.111
k	k_iː	0.083
