English	Gothic	probability
b	b	1.0
h	h	1.0
j	j	1.0
l	l	1.0
ð	θ	1.0
ɡ	ɡ	1.0
ʃ	s_k	1.0
ˈuː	ˈoː	1.0
ˈæ	ˈa	1.0
ˈɒ	ˈa	1.0
ˈɜː	ˈɔ_r	1.0
ˈɑː	ˈa	0.481
ˈʊ	ˈu	0.561
f	f_s	0.152
kʰ	k	0.682
s	s	0.942
v	β	0.392
v	f	0.552
w	ʍ	0.082
ə	a_r	0.392
ɹ	r	0.982
ˈe	j	0.172
ˈiː	ˈeː	0.152
ˈɔː	ˈa	0.662
ˈɪ	ˈiu̯	0.052
d	θ	0.273
f	f	0.793
ə	a	0.143
ɫ	ɡ_l_s	0.13
ˈaɪ̯	ˈiu̯	0.063
ˈe	ˈɔː	0.083
ˈeɪ̯	ˈa	0.623
ˈiː	ˈɔː	0.203
ˈɐ	ˈu	0.953
ˈɑː	ˈa_r	0.13
ˈɔː	ˈɔː	0.223
k	k_s	0.114
m	m_s	0.264
n	n_s	0.084
ŋ	ŋ_ɡ	0.324
ˈaɪ̯	ˈi	0.644
ˈeɪ̯	ˈi_ɡ	0.124
ˈeɪ̯	ˈa_h	0.254
ˈəʊ̯	ˈɛː	0.684
ˈɪ	ˈi	0.84
f	-	0.055
n	u_n	0.055
p	p	0.425
ˈaɪ̯	ˈɔː	0.055
ˈaʊ̯	ˈu	0.465
ˈaʊ̯	ˈuː	0.535
ˈe	ˈɔ	0.145
ˈe	ˈi	0.145
ˈe	ˈa	0.375
ˈɔː	ˈɔ_r	0.115
ˈɪ	ˈɔː	0.065
θ	θ	0.955
k	k	0.886
m	m	0.736
p	p_a	0.456
t	t	0.466
v	β_a	0.056
ə	-	0.106
ə	r	0.206
ˈiː	ˈiː_s	0.176
ˈiː	ˈi	0.26
ˈəʊ̯	ˈa	0.126
d	d	0.377
t	t_a	0.227
t	t_s	0.307
ŋ	ŋ	0.607
kʰ	k_ˈa	0.318
s	<#_h	0.058
tʰ	n_#>	0.058
tʰ	t	0.818
w	w	0.918
ˈe	i	0.08
d	d_s	0.089
d	θ_s	0.179
n	n	0.829
p	p_s	0.119
tʰ	s_#>	0.069
ə	oː	0.109
ɫ	l	0.849
ˈaɪ̯	ˈiː	0.239
ˈiː	ˈiu̯	0.209
ˈɑː	oː	0.389
ˈəʊ̯	ˈu	0.19
ˈʊ	ˈoː	0.439
