Alsatian	Middle English	probability
ˈɛ	ˈɛ	1.0
ˈəi̯	ˈɔː	1.0
ˈœ	ˈæi̯	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈuː	1.0
ˈiː_s	ˈiː_t	1.0
ˈiː_j	ˈiː_ə	1.0
ˈi_n	ˈiː	1.0
ˈaː_ʋ	ˈæi̯	1.0
ˈai̯	ˈeː	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʁ_ˈu	r	1.0
ə_ʁ	r_ə	1.0
w	w	1.0
p͡f	p	1.0
p	p	1.0
m	m	1.0
j	j	1.0
h	h	1.0
eː	eː	1.0
e	-	1.0
ʁ	r	0.893
b̥	b	0.893
ˈeː	-	0.856
ˈu	ˈu	0.82
ˈoː	ˈɛː	0.811
t	d	0.8
ɡ̊	ɡ	0.792
kʰ	k	0.757
ŋ	ŋ_ɡ	0.752
n	n	0.749
ˈyː	ˈuː	0.731
ʋ	w	0.719
f	f	0.679
ˈi	ˈi	0.625
ˈɒ_n	ˈɔː_n	0.609
ˈe	ˈɛ	0.605
ˈʊː	ˈoː	0.594
s	s	0.59
ˈæ	ˈɛ	0.589
x	x	0.577
i	-	0.577
l	l	0.553
d̥	d	0.549
ˈɒː	-	0.543
ˈo	ˈu	0.542
ʃ	ʃ	0.538
ˈiː	ˈiː	0.531
ə	ə	0.519
ˈæː	ˈeː	0.5
ˈæː	-	0.5
ˈei̯	ˈɔː	0.5
ˈei̯	ˈiu̯	0.5
ˈiː	ˈeː	0.469
ˈo	ˈɔ	0.458
ˈɒː	ˈa	0.457
k	ʤ	0.454
x	ç	0.423
i	iː	0.423
ˈɒ	ˈa	0.421
ˈæ	-	0.411
ə	ə_n	0.411
l	ɫ	0.401
ˈɒ_n	ˈoː	0.391
d̥	θ	0.378
k	k	0.362
ˈɒ	ˈaː	0.349
ˈʊː	ˈɛː	0.288
ʃ	s	0.282
ˈyː	-	0.269
s	t	0.266
ˈi	ˈiː	0.249
ŋ	ɡ	0.248
kʰ	ʧ	0.243
ˈe	ˈu	0.241
f	p	0.21
ɡ̊	-	0.208
ˈoː	ˈoː	0.189
k	-	0.185
ʃ	ç	0.18
ˈɒ	ˈɔː	0.173
ʋ	-	0.164
ˈe	ˈi	0.154
ˈeː	ˈɔu̯	0.144
t	t	0.144
ˈi	ˈeː	0.126
n	-	0.119
ˈʊː	ˈeː	0.118
ʋ	ʍ	0.117
n	n_ə	0.109
b̥	v	0.107
s	z	0.104
ˈu	ˈi	0.095
ˈu	-	0.084
d̥	ð	0.073
ə	n	0.07
ʁ	r_ə	0.063
f	f_ˈɔ	0.06
t	-	0.056
f	v	0.051
