Asturian	Asturian	probability
θ_#>	s_#>	1.0
β_e_#>	w_#>	1.0
ˈi_ɾ	ˈi	1.0
ˈe_ʝ	ʎ	1.0
ˈe_ɾ	ʀ_ə	1.0
ˈe_n	ˈɪ_n	1.0
ˈe_l	ˈa_l	1.0
ˈa_ɾ	ˈa	1.0
ˈa_ð	ˈe_j	1.0
ʧ	t	1.0
ʃ	ʤ	1.0
ɾ_ˈa	ʀ_ˈa	1.0
ɾ_u	ə	1.0
ɾ_t	ʀ	1.0
ɾ_o	ə	1.0
ɾ_a	ʀ_ɔ	1.0
ɾ_#>	#>	1.0
ɲ_u	ɲ	1.0
ɲ	-	1.0
ɣ_u	k	1.0
ŋ	ŋ	1.0
w_a	ɔ	1.0
u_#>	#>	1.0
t_a	t_ɔ	1.0
s_ˈe	s_ˈɪ	1.0
s_ʎ	lː	1.0
r	ʀ	1.0
o_s	ˈa	1.0
n_u	ŋ	1.0
n_t	ŋ	1.0
n_d	ŋ	1.0
m_ˈo	l	1.0
l_m	m	1.0
k_w	k	1.0
k_u	k	1.0
f_e	b	1.0
e_s	ɪ	1.0
e_#>	#>	1.0
d	dʲ	1.0
a_t	ɥ	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_a	<#_ɒ	1.0
<#	<#_ˈa	1.0
#>	ɔ_#>	1.0
p	p	0.889
m	m	0.87
s	-	0.833
i	-	0.833
f	f	0.824
ʝ	ʎ	0.8
ɣ	ɡ	0.8
ð	d	0.75
t	t	0.75
a	ɔ	0.745
e	ə	0.731
j_ˈe	ˈe	0.7
θ	s	0.688
w	w	0.68
ɾ	ʀ	0.674
ˈa	ˈa	0.649
ɡ	ɡ	0.625
ˈi	ˈi	0.6
n	n	0.6
l	l	0.588
k	ʧ	0.571
ˈe_s	ˈɔ_s	0.5
ˈe_s	ˈɔ	0.5
b	v	0.48
o	-	0.474
ˈu	ˈy	0.467
ˈo	ˈu	0.459
k	k	0.429
o	u	0.421
j	j	0.4
j	-	0.4
β	b	0.381
ɡ	k	0.375
ʎ	ʎ	0.368
ʎ	l	0.368
ˈa	ˈã	0.351
ˈo	w	0.324
ˈe	ˈɔ	0.306
u	ə	0.3
β	w	0.286
b	b	0.28
ð	-	0.25
u	ɔ	0.25
t	ʧ	0.25
l	w	0.235
ˈe	ˈɪ	0.224
ˈe	ˈe	0.224
ˈu	ˈỹ	0.2
ˈu	-	0.2
ˈi	ˈĩ	0.2
ˈi	-	0.2
ʝ	-	0.2
ɣ	ɡʲ	0.2
n	ŋ	0.2
j_ˈe	ˈẽ	0.2
j	ʤ	0.2
β	-	0.19
l	-	0.176
f	fʲ	0.176
s	s	0.167
i	ĩ	0.167
w	ˈœ	0.16
w	-	0.16
b	vʲ	0.16
ʎ	p_l	0.158
u	-	0.15
a	ɒ	0.145
β	ʀ	0.143
ˈo	ˈɔ̃	0.135
ˈu	ˈu	0.133
m	mʲ	0.13
θ	z	0.125
θ	-	0.125
e	-	0.115
ʎ	k_l	0.105
o	ə	0.105
u	u	0.1
u	k	0.1
u	j	0.1
n	ɲ	0.1
n	ŋ_d	0.1
j_ˈe	ˈɪ̃	0.1
ˈe	-	0.082
ˈo	ˈũ	0.081
b	b_w	0.08
e	w	0.077
e	j	0.077
p	-	0.074
ɾ	ˈe	0.065
ɾ	ˈa	0.065
ɾ	ʀ_ə	0.065
θ	ʒ	0.062
