Auvergnat	Auvergnat	probability
ˈɛ	ˈɛə̯	1.0
ˈɔ̃	-	1.0
ˈɔ_w_#>	v_#>	1.0
ˈɔ_k	ɡ	1.0
ˈỹ	ˈo	1.0
ˈĩ	ˈẽ	1.0
ˈi_l	ˈɛ_l	1.0
ˈi_#>	ˈi_#>	1.0
ˈã	ˈʌ̃	1.0
ˈa_ʀ	ˈeə̯_r	1.0
ˈa_w	ˈɔə̯	1.0
ˈa_#>	ˈeə̯_#>	1.0
ʤ_ɔ	ɡ_ɐ	1.0
ʃ	-	1.0
ʀ_ˈɪ	r_ˈɛ	1.0
ɪ	s	1.0
ɔ_#>	#>	1.0
ɔ	ɐ	1.0
œ	u	1.0
z	z	1.0
w_ˈɔ̃	ˈõũ̯	1.0
w_t	t	1.0
w_b	l_b	1.0
vʲ	v	1.0
v	v	1.0
ũ	u	1.0
t	t	1.0
s_ˈa	s_ɐ	1.0
s_ə	s	1.0
pʲ	ɐ_v	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lː	z_u	1.0
l_#>	l_#>	1.0
k_ʀ	k_r	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
j	-	1.0
ĩ	i	1.0
i	i	1.0
fʲ	f	1.0
f	f	1.0
e	r	1.0
dʲ	d	1.0
d	d	1.0
b_ʀ	v_r	1.0
b	b	1.0
ã	ɐ	1.0
a	ɐ	1.0
<#_ˈã	<#_ˈʌ̃	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
ə_#>	#>	0.818
ʀ	r	0.795
ʧ	k	0.783
ʀ_ə	ɐ_r	0.778
ɡ	ɡ	0.778
ˈɪ̃	ˈɛ	0.75
ɲ	ɲ	0.75
u	u	0.75
ˈi	ˈi	0.667
k	k	0.667
ɒ	ɐ	0.615
s	s	0.613
ˈẽ	ˈẽ	0.6
ˈe_j	ˈa	0.6
<#_ˈa	<#_ˈeə̯	0.6
ˈu	ˈou̯	0.571
ˈœ	ˈɔ	0.5
ˈœ	-	0.5
ˈũ	ˈõũ̯	0.5
ˈũ	ˈo	0.5
w_ˈɔ	ˈɔə̯	0.5
j_#>	ð_#>	0.5
j_#>	#>	0.5
<#	<#_θ	0.5
<#	<#_l	0.5
ə	ɐ	0.467
ʤ	ð	0.455
ˈɔ	r	0.429
ˈy	ˈo	0.429
s_#>	z_#>	0.429
l	l	0.429
l	j	0.429
ˈe	ˈɛə̯	0.419
ˈẽ	ˈɛ	0.4
ˈe_j	ˈeə̯_d	0.4
<#_ˈa	<#	0.4
ʎ	ʧ	0.385
#>	t_#>	0.385
ʤ	-	0.364
s_#>	θ_#>	0.357
ˈa	ˈeə̯	0.333
ʎ	j	0.308
ŋ	-	0.306
w_ˈɔ	ˈɔ	0.3
ˈɔ	ˈɔə̯	0.286
ˈɔ	s	0.286
ˈy	ˈu	0.286
ˈy	-	0.286
ˈu	ˈo	0.286
ˈɪ	ˈɛ	0.278
ˈɪ	ˈeː	0.278
ə	-	0.267
ˈɪ̃	ˈɛ̃	0.25
ɲ	-	0.25
u	-	0.25
ˈa	ˈa	0.242
w	ˈɔə̯	0.241
ɒ	a	0.231
ˈe	ˈɛ	0.226
s	θ	0.226
ˈɪ	ˈi	0.222
ʀ_ə	r	0.222
ɡ	ɡ_v	0.222
s_#>	#>	0.214
w_ˈɔ	ˈo	0.2
ŋ	n_t	0.194
ŋ	n	0.194
#>	r_#>	0.192
ˈa	ˈʌ̃	0.182
ʤ	ð_ɐ	0.182
ə_#>	ˈeː_#>	0.182
w	-	0.172
ˈɪ	-	0.167
ˈi	ˈẽ	0.167
ˈi	-	0.167
ŋ	ŋ	0.167
k	ɡ	0.167
k	k_v	0.167
ˈe	ˈeː	0.161
ʎ	ʤ	0.154
ʎ	l	0.154
ɒ	-	0.154
ˈu	ˈu	0.143
l	-	0.143
w	v	0.138
ə	r_i	0.133
ə	i	0.133
ʧ	ɡ	0.13
#>	p_#>	0.115
ʀ	-	0.103
w	ˈo	0.103
ˈe	ˈi	0.097
s	-	0.097
ˈa	j	0.091
ʧ	-	0.087
ŋ	j̃	0.083
#>	ɐ_#>	0.077
#>	v_#>	0.077
#>	s_#>	0.077
#>	l_#>	0.077
w	ˈɔ	0.069
w	ˈu	0.069
w	ˈeə̯	0.069
w	v_ɐ	0.069
w	l	0.069
ˈe	ˈɛə̯_s	0.065
s	z	0.065
ˈa	ˈɛ	0.061
ˈa	-	0.061
ˈɪ	ˈe	0.056
ŋ	t	0.056
ʀ	ɐ	0.051
ʀ	r_ɐ	0.051
