Sicilian	Sicilian	probability
ˈɔ_n	ˈo_n	1.0
ˈo	ˈo	1.0
ˈi_ɟː	ˈi	1.0
ˈe	ˈe	1.0
ʧː	t	1.0
ʦː	-	1.0
ʦ	-	1.0
ʤː	-	1.0
ʐː	ˈe_r	1.0
ʐ	r	1.0
ʊ_#>	o_#>	1.0
ʈː	t	1.0
ʃː_ɪ	θ_ˈe	1.0
ʃː	ʃ	1.0
ʃ	e_s	1.0
ɾ_n	ɾ_n	1.0
ɽ_ɪ	ɾ_e	1.0
ɽ	ɾ	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_#>	#>	1.0
ɟː	ʝ	1.0
ɕ	θ	1.0
ŋ	ŋ	1.0
ç	-	1.0
z_ʊ	ˈi	1.0
w_r	ˈo_ɾ	1.0
v_ˈi	b_ˈe	1.0
v_ˈa	β_ˈa	1.0
t_ʊ	u	1.0
t_ɪ	t_e	1.0
sː	ˈe_s	1.0
s	s	1.0
r	ɾ	1.0
p_ˈi	p_ˈe	1.0
o	-	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈi	ʎ_ˈe	1.0
l_ʊ	l_u	1.0
kː	k	1.0
k_ʊ	ˈe_u	1.0
k_ɾ	k	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
d	d	1.0
c	ʎ	1.0
bː	β	1.0
a_w	o	1.0
a_t	a_ð	1.0
a_s	e_s	1.0
<#_ˈi	<#_ˈe	1.0
<#_ɕ	<#_θ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_j	<#	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
a	a	0.956
ʊ	u	0.908
<#_n	<#_n	0.875
ˈa	ˈa	0.864
p	p	0.794
k	k	0.789
ɾ	ɾ	0.759
n	n	0.756
<#_ˈa	<#_ˈa	0.75
ɡ	ɡ	0.7
b	b	0.692
nː	ɲ	0.667
w	w	0.625
l	ʎ	0.607
ʤ	ʃ	0.6
ʈ	ð	0.6
cː	ˈe_ʝ	0.6
i	e	0.55
v	b	0.542
t	t	0.538
ɪ	e	0.529
u	u	0.5
u	o	0.5
j	ʃ	0.5
ˈɛ	j_ˈe	0.467
ˈɔ	w_ˈe	0.464
ˈi	ˈi	0.459
ˈi	ˈe	0.459
v	β	0.458
ˈu	ˈu	0.457
ˈu	ˈo	0.457
tː	ʧ	0.444
#>	s_#>	0.429
ʤ	-	0.4
ʈ	t	0.4
cː	ʝ	0.4
w	l	0.375
ɖː	ʎ	0.364
ɪ	-	0.353
t	ð	0.346
tː	t	0.333
nː	n_d	0.333
ˈɔ	w	0.321
ɡ	ɣ	0.3
l	l	0.286
#>	u_#>	0.286
#>	i_#>	0.286
ɖː	ˈe_ʎ	0.273
i	-	0.25
<#_ˈa	<#	0.25
ˈɛ	ˈe	0.233
ˈɛ	j	0.233
tː	-	0.222
ˈɔ	ˈo	0.214
p	β	0.206
ɖː	ˈo_s	0.182
ɖː	l	0.182
n	ŋ	0.171
j	ʝ	0.167
j	s	0.167
j	-	0.167
b	β	0.154
b	f_e	0.154
k	ɣ	0.132
<#_n	<#	0.125
ɪ	ˈe	0.118
t	-	0.115
ɾ	-	0.111
l	-	0.107
i	ˈi	0.1
i	ɾ	0.1
ʊ	e	0.092
ˈi	-	0.081
k	-	0.079
n	-	0.073
ˈa	ˈe	0.068
ˈa	a	0.068
ˈɛ	ɾ_m	0.067
ɾ	ˈe	0.056
