West Flemish	German	probability
b	b	1.0
d	d	0.448
d	tʰ	0.355
d	t	0.1
d	-	0.085
f	p	0.839
f	p͡f	0.133
h	x	0.343
h	-	0.275
h	ç	0.217
h	k	0.135
j	j	0.784
j	ˈaɪ̯	0.126
k	kʰ	0.458
k	ç	0.199
k	x	0.122
k	-	0.116
k	k	0.086
l	l	1.0
m	m	1.0
n	n	0.98
n	-	0.031
p	f	0.56
p	p͡f	0.312
p	p	0.122
s	ʃ	0.493
s	s	0.339
s	z	0.104
s	k_s	0.055
t	t	0.588
t	s	0.187
t	ʦ	0.137
t	l_t	0.04
t	-	0.039
v	f	0.872
v	b	0.127
w	l	0.75
w	-	0.25
z	z	0.633
z	ʃ	0.268
z	ʁ	0.053
z	s	0.044
ç	ç	0.494
ŋ	ŋ	0.903
ŋ	ç	0.09
ə	-	0.53
ə	ə	0.423
ə	ɪ	0.039
ɦ	ɡ	0.782
ɦ	k	0.136
ɦ	h	0.049
ɦ	-	0.039
ɪ	ɪ	0.494
ɾ	ɐ	0.615
ɾ	ʁ	0.349
ɾ	-	0.036
ɾ_s	s	0.494
ʃ	ʃ	1.0
ʋ	v	0.9
ʋ	-	0.094
ˈeː	ˈɛ	0.378
ˈeː	ˈeː	0.256
ˈeː	ˈaɪ̯	0.2
ˈeː	ˈiː	0.1
ˈeː	ˈɔʏ̯	0.061
ˈi	ˈaɪ̯	0.886
ˈi	ˈiː	0.102
ˈiə̯	ˈiː	0.503
ˈiə̯	ˈɔʏ̯	0.225
ˈiə̯	ˈeː	0.167
ˈiə̯	ˈaɪ̯	0.06
ˈiə̯	ˈa	0.047
ˈoː	ˈoː	0.298
ˈoː	ˈɔ	0.268
ˈoː	ˈaʊ̯	0.236
ˈoː	ˈøː	0.109
ˈoː	-	0.046
ˈu	ˈʊ	0.477
ˈu	ˈa	0.209
ˈu	ˈaʊ̯	0.158
ˈu	ˈa_l	0.069
ˈu	ˈɔ	0.049
ˈuə̯	ˈuː	0.646
ˈuə̯	ˈyː	0.306
ˈuə̯	ˈʊ	0.049
ˈyː	ˈaʊ̯	0.683
ˈyː	ˈɔʏ̯	0.14
ˈyː	ˈaɪ̯	0.086
ˈæ	ˈɛ	0.412
ˈæ	ˈɪ	0.38
ˈæ	ˈa	0.109
ˈæ	ˈeː	0.084
ˈøː	ˈoː	0.699
ˈøː	ˈaː	0.149
ˈœ	ˈɔ	0.363
ˈœ	ˈʏ	0.327
ˈœ	ˈɛ	0.163
ˈœ	ˈɪ	0.111
ˈɑ	ˈa	0.787
ˈɑ	ˈaː	0.177
ˈɑ	ˈɛ	0.041
ˈɒː	ˈaː	0.543
ˈɒː	ˈa	0.215
ˈɒː	ˈɛː	0.111
ˈɒː	ˈɛ	0.056
ˈɒː	ˈeː	0.045
ˈɔ	ˈɔ	0.595
ˈɔ	ˈʊ	0.172
ˈɔ	ˈa	0.12
ˈɔ	ˈœ	0.087
ˈɛ	ˈɪ	0.435
ˈɛ	ˈaɪ̯	0.252
ˈɛ	ˈɛ	0.172
ˈɛ	ˈaː	0.077
ˈɛː	ˈaɪ̯	0.675
ˈɛː	ˈeː	0.172
ˈɛː	ˈɛ	0.13
ˈɪ	ˈɪ	0.767
ˈɪ	ˈɛ	0.089
ˈɪ	-	0.067
ˈɪ	ˈʏ	0.067
ˈʏ	ˈʏ	1.0
