West Flemish	German	probability
b	b	0.971
d	d	0.439
d	tʰ	0.385
d	t	0.095
d	-	0.081
f	p	0.948
h	-	0.351
h	ç	0.284
h	x	0.186
h	k	0.179
iə̯	eː	1.0
j	j	0.772
j	ˈaɪ̯	0.228
k	kʰ	0.417
k	k	0.277
k	ç	0.233
k	x	0.073
l	l	1.0
m	m	0.933
m	ɪ	0.067
n	n	0.964
p	f	0.787
p	p͡f	0.142
p	p	0.071
s	ʃ	0.459
s	s	0.345
s	z	0.128
s	k_s	0.069
t	t	0.485
t	s	0.291
t	ʦ	0.196
v	f	0.78
v	b	0.22
w	l	0.954
z	z	0.808
z	ʃ	0.097
z	h	0.056
ç	ç	1.0
ŋ	ŋ	0.905
ŋ	ç	0.095
ə	ə	0.71
ə	-	0.268
ɦ	ɡ	0.743
ɦ	-	0.127
ɦ	k	0.085
ɪ	ɪ	1.0
ɾ	ɐ	0.608
ɾ	ʁ	0.371
ʃ	ʃ	1.0
ʋ	v	0.935
ˈeː	ˈeː	0.353
ˈeː	ˈɛ	0.282
ˈeː	ˈaɪ̯	0.188
ˈeː	ˈɔʏ̯	0.068
ˈeː	ˈɔ	0.055
ˈeː	ˈiː	0.054
ˈi	ˈaɪ̯	0.76
ˈi	ˈiː	0.24
ˈiə̯	ˈiː	0.465
ˈiə̯	ˈɔʏ̯	0.225
ˈiə̯	ˈeː	0.204
ˈiə̯	ˈa	0.087
ˈoː	ˈɔ	0.432
ˈoː	ˈaʊ̯	0.189
ˈoː	ˈoː	0.181
ˈoː	ˈøː	0.166
ˈu	ˈʊ	0.605
ˈu	ˈaʊ̯	0.181
ˈu	ˈa	0.158
ˈu	l	0.055
ˈuə̯	ˈuː	0.668
ˈuə̯	ˈyː	0.301
ˈyː	ˈaʊ̯	0.739
ˈyː	ˈɔʏ̯	0.183
ˈyː	ˈaɪ̯	0.078
ˈæ	ˈɛ	0.456
ˈæ	ˈɪ	0.289
ˈæ	ˈa	0.129
ˈæ	-	0.092
ˈøː	ˈoː	0.512
ˈøː	ˈyː	0.219
ˈøː	ˈaː	0.162
ˈøː	ˈʊ	0.106
ˈœ	ˈʏ	0.489
ˈœ	ˈɔ	0.311
ˈœ	ˈɪ	0.145
ˈœ	ˈɛ	0.054
ˈɑ	ˈa	0.856
ˈɑ	ˈaː	0.121
ˈɒː	ˈaː	0.483
ˈɒː	ˈa	0.262
ˈɒː	ˈoː	0.079
ˈɒː	ˈɛː	0.078
ˈɒː	ˈeː	0.069
ˈɔ	ˈɔ	0.452
ˈɔ	ˈʊ	0.412
ˈɔ	ˈa	0.071
ˈɛ	ˈɪ	0.408
ˈɛ	ˈɛ	0.299
ˈɛ	ˈaɪ̯	0.225
ˈɛ	ˈaː	0.067
ˈɛː	ˈaɪ̯	0.773
ˈɛː	ˈoː	0.102
ˈɛː	ˈɛ	0.073
ˈɛː	ˈeː	0.051
ˈɪ	ˈɪ	0.787
ˈɪ	ˈɛ	0.091
ˈɪ	ˈʏ	0.082
