Sassarese	Sassarese	probability
β_i	f	1.0
ˈo_j	ˈoː	1.0
ˈi_#>	i_#>	1.0
ˈe_#>	ˈeː_#>	1.0
ˈa_tː	ˈa_t	1.0
ˈa_mː	ˈa_m	1.0
ˈa_i	ˈaː_t	1.0
ˈa_#>	ˈaː_#>	1.0
ʧː_u	l_i	1.0
ʧː	l	1.0
ʧ	k_l	1.0
ʦ_i_#>	s_#>	1.0
ʦ	ʧ	1.0
ʤː	-	1.0
ʣ	ˈɛ_ʧ	1.0
ʒ	z	1.0
ʃː	s	1.0
ɡ_u_#>	k_#>	1.0
ŋ	ŋ	1.0
xː	c	1.0
x	k	1.0
w	w	1.0
v	v	1.0
u_#>	#>	1.0
tː	t	1.0
t_ˈo	d_ˈu	1.0
t_i	t	1.0
t	t	1.0
s	s	1.0
rː_u	ˈɛ_r	1.0
rː	r	1.0
r_i	r	1.0
pː	s_p	1.0
p_j	p_l	1.0
p	p	1.0
o	o	1.0
n_u	ŋ	1.0
n_i	ŋ	1.0
n	n	1.0
m	m	1.0
lː	l	1.0
kː	c	1.0
i_dː	i_t	1.0
fː	f	1.0
f	f	1.0
e	l	1.0
dː_u	i	1.0
dː_a	d_e	1.0
d_u	t	1.0
d_i	t	1.0
d	d	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʧ	1.0
<#_ʤ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#_l	0.889
<#_n	<#_n	0.857
j	-	0.824
b	b	0.818
a	e	0.803
ˈa	ˈa	0.762
ʤ	ʤ	0.75
<#_i	<#	0.714
r	r	0.711
ɡ	ɡ	0.7
ʦː	ʧ	0.667
<#	<#_v	0.667
#>	s_#>	0.667
ˈi	ˈi	0.645
ɲː	ɲ	0.625
ʎː	j	0.6
sː	s	0.6
mː	m	0.6
a_r	a_r	0.556
k	k	0.531
ˈu	ˈu	0.5
ɡː	k	0.5
ɡː	-	0.5
z	z	0.5
z	-	0.5
u_r	u_l	0.5
u_r	o_l	0.5
nː	n	0.5
nː	-	0.5
bː	v	0.5
bː	-	0.5
k	c	0.469
ˈo	ˈo	0.444
a_r	r	0.444
ˈe	ˈe	0.417
ɬ	s	0.417
ʎː	-	0.4
sː	ˈɛ_s	0.4
mː	-	0.4
i	-	0.396
ɲː	-	0.375
β	v	0.333
β	f	0.333
β	-	0.333
ʦː	l_s	0.333
ɬ	l	0.333
i	i	0.333
<#	<#_z	0.333
#>	ŋ_#>	0.333
dː	ˈɛ_l	0.312
ˈɛ	ˈɛ	0.303
ɡ	-	0.3
ˈe	j	0.292
<#_i	<#_i	0.286
ˈu	ˈuː	0.25
ʤ	ɟ	0.25
ɬ	r	0.25
r	l	0.244
ˈa	ˈaː	0.238
u	ˈo	0.231
u	o	0.231
ˈɔ	ˈuː	0.212
u	i	0.192
dː	t	0.188
dː	l	0.188
dː	d	0.188
ˈo	ˈɔ	0.185
ˈɛ	ˈi	0.182
ˈɛ	j	0.182
ˈɔ	ˈɔ	0.182
ˈɔ	ˈo	0.182
b	v	0.182
j	l	0.176
a	a	0.169
ˈi	ˈiː	0.161
u	u	0.154
ˈɛ	j_ˈɛ	0.152
ˈu	ˈo	0.15
ˈo	ˈoː	0.148
ˈo	w	0.148
<#_n	<#_ɲ	0.143
ˈi	-	0.129
ˈe	ˈiː	0.125
i	e	0.125
dː	ˈeː_t	0.125
ˈɛ	ˈe	0.121
ˈɔ	w_ˈa	0.121
u	ŋ	0.115
<#_l	<#_j	0.111
ˈu	ˈo_s	0.1
ˈɔ	w	0.091
ˈe	ˈeː	0.083
ˈe	-	0.083
u	r	0.077
ˈo	ˈu	0.074
ˈi	i	0.065
i	s	0.062
ˈɛ	-	0.061
ˈɔ	w_ˈɛ	0.061
ˈɔ	w_ˈi	0.061
ˈɔ	-	0.061
