Middle High German	Saterland Frisian	probability
ˈɛ_r	ˈɛɪ̯	1.0
ˈɑː_n	ˈoːu̯_n	1.0
ˈɑ_n	ˈoːu̯_n	1.0
ˈøː	ˈeː	1.0
ˈøy̯	-	1.0
ˈæː	s_ˈiː	1.0
ˈyə̯	ˈɛɪ̯	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈoː	1.0
ˈo_r	ˈoːu̯	1.0
ˈiː_t	ˈiː_d	1.0
ˈi_r	ˈi	1.0
ˈeː	ˈeː	1.0
ʦː	t	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ɛ_h	i	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ə	k	1.0
xː	k	1.0
w_ˈei̯	v_ˈoː	1.0
tː	d	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ə	z_ə	1.0
s_t	s_t	1.0
s	s	1.0
r_ʦ	t	1.0
r_ə	r	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈoː	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_ə	ɣ̥	1.0
kː	-	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i	ɪ	1.0
fː	p	1.0
f	p	1.0
d̥	d	1.0
d	d	1.0
b	b	1.0
v	f	0.955
n	n	0.905
h	h	0.88
w	v	0.873
ˈiː	ˈi	0.804
ˈei̯	ˈeː	0.804
ə_n	ə	0.781
r	r	0.763
ə	ə	0.762
ˈuː	ˈuː	0.74
ʃː	s	0.732
ˈyː	j_ˈuː	0.714
ɡ	ɣ	0.695
ˈuə̯	ˈoːu̯	0.69
x	x	0.668
n_ə	n	0.64
t	d	0.63
ɡ̊	ɣ̥	0.614
ˈe	-	0.6
ʃ	s_k	0.545
ˈu	ˈʊ	0.54
ˈi	ˈɪ	0.531
b_ə	v_ə	0.526
ˈɑː	ˈiː	0.517
b̥	ˈoː_f	0.51
b̥	-	0.49
ˈɑː	ˈɛɪ̯	0.483
ˈy	ˈɛː	0.482
b_ə	ə	0.474
ˈɛ	-	0.466
ʃ	s	0.455
ˈiə̯	j_ˈoː	0.419
ˈe	ˈa	0.4
ɡ̊	-	0.386
t	t	0.37
n_ə	n_ɪ	0.36
ˈiə̯	-	0.347
ˈy	ˈɔ	0.346
ˈi	ˈiː	0.34
x	k	0.332
ˈɑ	ˈɔː	0.324
ˈuə̯	-	0.31
ˈu	ˈuː	0.3
ˈyː	ˈuː	0.286
ʃː	s_k	0.268
ˈo	ˈoːu̯_d	0.25
ˈiə̯	j	0.234
ˈɑ	ˈoː	0.227
ə_n	j_ə	0.219
ɡ	j	0.215
ˈɛ	ˈɛ	0.209
ˈo	ˈuː	0.203
ˈuː	-	0.199
ˈiː	-	0.196
ˈei̯	ˈaː	0.196
ə	-	0.189
ˈo	ˈoːu̯	0.181
ˈy	ˈœː	0.172
ˈu	ˈɔː	0.16
ˈo	ˈʊ	0.14
ˈo	ˈɔ	0.14
ˈɑ	ˈɔ	0.135
ˈi	-	0.129
w	-	0.127
ˈɛ	ˈeː	0.125
ˈɛ	j	0.125
h	-	0.12
r	ˈiː_r	0.113
ɡ	-	0.09
ˈo	-	0.087
ˈɑ	ˈaː	0.071
ˈɑ	ˈɛː	0.069
ˈɑ	-	0.068
ˈuː	ˈøː	0.061
n	ə_n	0.054
ˈɑ	ˈɛ	0.053
ˈɑ	ˈa	0.053
